a,also_acceptable,b,id,marker,raw_text,text_html,text_readable
california,,pennsylvania,K1627415596,True,"Lifted by his strength in big states such as California, Pennsylvania and Ohio, he had a solid victory in the Electoral College.","Lifted by his strength in big states such as <span style=""color: #9A14B2; font-weight: bold"">california:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">pennsylvania:[OBJECT_B]</span> and Ohio, he had a solid victory in the Electoral College.","Lifted by his strength in big states such as *california*, §pennsylvania$ and Ohio, he had a solid victory in the Electoral College."
michigan,,oregon,P2593133460,True,"The one-loss SEC teams are in better shape than Oregon, Stanford and Michigan State because they would have the resume-building wins over Alabama.","The one-loss SEC teams are in better shape than <span style=""color: #9A14B2; font-weight: bold"">oregon:[OBJECT_A]</span>, Stanford and <span style=""color: #6CB219; font-weight: bold"">michigan:[OBJECT_B]</span> State because they would have the resume-building wins over Alabama.","The one-loss SEC teams are in better shape than *oregon*, Stanford and §michigan$ State because they would have the resume-building wins over Alabama."
wii,,ps2,I1392773963,True,I think the Wii version is actually better than the PS2 version.,"I think the <span style=""color: #9A14B2; font-weight: bold"">wii:[OBJECT_A]</span> version is actually better than the <span style=""color: #6CB219; font-weight: bold"">ps2:[OBJECT_B]</span> version.",I think the *wii* version is actually better than the §ps2$ version.
football,,hockey,D503957435,True,"Comments: I purchased 3 decent boxes 1 hockey, 1 football, 1 baseball.","Comments: I purchased 3 decent boxes 1 <span style=""color: #9A14B2; font-weight: bold"">hockey:[OBJECT_A]</span>, 1 <span style=""color: #6CB219; font-weight: bold"">football:[OBJECT_B]</span>, 1 baseball.","Comments: I purchased 3 decent boxes 1 *hockey*, 1 §football$, 1 baseball."
concrete,,cement,Q2724926980,True,"The strength, longevity, and energy efficiency is vastly superior to Portland cement based concrete.","The strength, longevity, and energy efficiency is vastly superior to Portland <span style=""color: #9A14B2; font-weight: bold"">cement:[OBJECT_A]</span> based <span style=""color: #6CB219; font-weight: bold"">concrete:[OBJECT_B]</span>.","The strength, longevity, and energy efficiency is vastly superior to Portland *cement* based §concrete$."
beer,,tea,S3038733751,True,We'd assume with a water bottle of this style we could probably pass beer as tea with no one the wiser.,"We'd assume with a water bottle of this style we could probably pass <span style=""color: #9A14B2; font-weight: bold"">beer:[OBJECT_A]</span> as <span style=""color: #6CB219; font-weight: bold"">tea:[OBJECT_B]</span> with no one the wiser.",We'd assume with a water bottle of this style we could probably pass *beer* as §tea$ with no one the wiser.
california,,carolina,L1909788358,True,"Only Baylor, North Carolina and California signed better classes than the Gamecocks, according to the organization's rankings.","Only Baylor, North <span style=""color: #9A14B2; font-weight: bold"">carolina:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">california:[OBJECT_B]</span> signed better classes than the Gamecocks, according to the organization's rankings.","Only Baylor, North *carolina* and §california$ signed better classes than the Gamecocks, according to the organization's rankings."
playstation,,wii,T3179188500,True,Wii U GPU And CPU Slower Than Xbox 360 And PlayStation 3,"<span style=""color: #9A14B2; font-weight: bold"">wii:[OBJECT_A]</span> U GPU And CPU Slower Than Xbox 360 And <span style=""color: #6CB219; font-weight: bold"">playstation:[OBJECT_B]</span> 3",*wii* U GPU And CPU Slower Than Xbox 360 And §playstation$ 3
steel,,stone,M1939485281,True,"Other materials include enameled steel, tempered glass, stone, wood, acrylic and solid surface.","Other materials include enameled <span style=""color: #9A14B2; font-weight: bold"">steel:[OBJECT_A]</span>, tempered glass, <span style=""color: #6CB219; font-weight: bold"">stone:[OBJECT_B]</span>, wood, acrylic and solid surface.","Other materials include enameled *steel*, tempered glass, §stone$, wood, acrylic and solid surface."
holiday,,birthday,I1286225070,True,"In short, my assessment is the Mr. Beer kit isn't a bad way to get started, and definitely a decent holiday or birthday gift... but there are better ways to go if you want good tasting hard apple cider.","In short, my assessment is the Mr. Beer kit isn't a bad way to get started, and definitely a decent <span style=""color: #9A14B2; font-weight: bold"">holiday:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">birthday:[OBJECT_B]</span> gift... but there are better ways to go if you want good tasting hard apple cider.","In short, my assessment is the Mr. Beer kit isn't a bad way to get started, and definitely a decent *holiday* or §birthday$ gift... but there are better ways to go if you want good tasting hard apple cider."
football,,lacrosse,A15581820,True,10. Marcus Davis - Midfield - Victoria - Uncommitted - Davis is a superb lacrosse player who might be even better at football!,"10. Marcus Davis - Midfield - Victoria - Uncommitted - Davis is a superb <span style=""color: #9A14B2; font-weight: bold"">lacrosse:[OBJECT_A]</span> player who might be even better at <span style=""color: #6CB219; font-weight: bold"">football:[OBJECT_B]</span>!",10. Marcus Davis - Midfield - Victoria - Uncommitted - Davis is a superb *lacrosse* player who might be even better at §football$!
amazon,,youtube,S2978049516,True,"Update! Web Clipper works great with any site, but saving the sites you might browse most often like LinkedIn, YouTube, Amazon and Gmail has just gotten better.","Update! Web Clipper works great with any site, but saving the sites you might browse most often like LinkedIn, <span style=""color: #9A14B2; font-weight: bold"">youtube:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">amazon:[OBJECT_B]</span> and Gmail has just gotten better.","Update! Web Clipper works great with any site, but saving the sites you might browse most often like LinkedIn, *youtube*, §amazon$ and Gmail has just gotten better."
holiday,,wedding,T3200978271,True,"With the Halloween holiday upon us, what better time to look into wedding ideas inspired by the king of haunting himself, Tim Burton.","With the Halloween <span style=""color: #9A14B2; font-weight: bold"">holiday:[OBJECT_A]</span> upon us, what better time to look into <span style=""color: #6CB219; font-weight: bold"">wedding:[OBJECT_B]</span> ideas inspired by the king of haunting himself, Tim Burton.","With the Halloween *holiday* upon us, what better time to look into §wedding$ ideas inspired by the king of haunting himself, Tim Burton."
wii,,ps3,Q2762211945,True,The Wii U is a better machine than the PS3.,"The <span style=""color: #9A14B2; font-weight: bold"">wii:[OBJECT_A]</span> U is a better machine than the <span style=""color: #6CB219; font-weight: bold"">ps3:[OBJECT_B]</span>.",The *wii* U is a better machine than the §ps3$.
georgia,,michigan,P2587896385,True,"The numbers were even worse in the five other states: 68% in Wisconsin, 69% in Pennsylvania, 71% in Michigan, 77% in Iowa and 78% in Georgia.","The numbers were even worse in the five other states: 68% in Wisconsin, 69% in Pennsylvania, 71% in <span style=""color: #9A14B2; font-weight: bold"">michigan:[OBJECT_A]</span>, 77% in Iowa and 78% in <span style=""color: #6CB219; font-weight: bold"">georgia:[OBJECT_B]</span>.","The numbers were even worse in the five other states: 68% in Wisconsin, 69% in Pennsylvania, 71% in *michigan*, 77% in Iowa and 78% in §georgia$."
reagan,,nixon,N2105441107,True,"Richard Nixon and Ronald Reagan did even better than that, pulling two-thirds of white men in 1972 and 1984.","Richard <span style=""color: #9A14B2; font-weight: bold"">nixon:[OBJECT_A]</span> and Ronald <span style=""color: #6CB219; font-weight: bold"">reagan:[OBJECT_B]</span> did even better than that, pulling two-thirds of white men in 1972 and 1984.","Richard *nixon* and Ronald §reagan$ did even better than that, pulling two-thirds of white men in 1972 and 1984."
timber,,lumber,R2903579767,True,"Timber Processing's June issue discusses how the third generation H.W. Culp Lumber Co. sees better than projected results with the ""horizontal shape sawing"" system.","<span style=""color: #9A14B2; font-weight: bold"">timber:[OBJECT_A]</span> Processing's June issue discusses how the third generation H.W. Culp <span style=""color: #6CB219; font-weight: bold"">lumber:[OBJECT_B]</span> Co. sees better than projected results with the ""horizontal shape sawing"" system.","*timber* Processing's June issue discusses how the third generation H.W. Culp §lumber$ Co. sees better than projected results with the ""horizontal shape sawing"" system."
fox,,cnn,A40830734,True,"1. Once again, I never said anything about Fox being worse than CNN.","1. Once again, I never said anything about <span style=""color: #9A14B2; font-weight: bold"">fox:[OBJECT_A]</span> being worse than <span style=""color: #6CB219; font-weight: bold"">cnn:[OBJECT_B]</span>.","1. Once again, I never said anything about *fox* being worse than §cnn$."
psp,,ps2,R2873546361,True,"This title does look a little bit nicer than PS2/PSP games of this sort, but don't expect anything huge.","This title does look a little bit nicer than <span style=""color: #9A14B2; font-weight: bold"">ps2:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">psp:[OBJECT_B]</span> games of this sort, but don't expect anything huge.","This title does look a little bit nicer than *ps2*/§psp$ games of this sort, but don't expect anything huge."
suv,,jeep,T3164683336,True,"While the new 2012 is a much better SUV, a week's worth of driving begged the inevitable question: Is it a better Jeep?","While the new 2012 is a much better <span style=""color: #9A14B2; font-weight: bold"">suv:[OBJECT_A]</span>, a week's worth of driving begged the inevitable question: Is it a better <span style=""color: #6CB219; font-weight: bold"">jeep:[OBJECT_B]</span>?","While the new 2012 is a much better *suv*, a week's worth of driving begged the inevitable question: Is it a better §jeep$?"
fishing,,camping,F762689956,True,"For the past 17 years she enjoyed camping, boating and fishing on Lake Superior.","For the past 17 years she enjoyed <span style=""color: #9A14B2; font-weight: bold"">camping:[OBJECT_A]</span>, boating and <span style=""color: #6CB219; font-weight: bold"">fishing:[OBJECT_B]</span> on Lake Superior.","For the past 17 years she enjoyed *camping*, boating and §fishing$ on Lake Superior."
stone,,timber,P2487617097,True,The fine stone temple and timber-frame orphanage and quarters he built are far better than the average Peonian church.,"The fine <span style=""color: #9A14B2; font-weight: bold"">stone:[OBJECT_A]</span> temple and <span style=""color: #6CB219; font-weight: bold"">timber:[OBJECT_B]</span>-frame orphanage and quarters he built are far better than the average Peonian church.",The fine *stone* temple and §timber$-frame orphanage and quarters he built are far better than the average Peonian church.
fox,,espn,I1389791624,True,I think that ESPN or Fox would pay top dollar and provide better programing.,"I think that <span style=""color: #9A14B2; font-weight: bold"">espn:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">fox:[OBJECT_B]</span> would pay top dollar and provide better programing.",I think that *espn* or §fox$ would pay top dollar and provide better programing.
holiday,,birthday,M1992490069,True,PFCU VISA Gift Cards make birthday and holiday gift-buying that much easier.,"PFCU VISA Gift Cards make <span style=""color: #9A14B2; font-weight: bold"">birthday:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">holiday:[OBJECT_B]</span> gift-buying that much easier.",PFCU VISA Gift Cards make *birthday* and §holiday$ gift-buying that much easier.
paint,,chalk,N2240249955,True,"So, I think I missed it... does the paint work better than 'chalk'?","So, I think I missed it... does the <span style=""color: #9A14B2; font-weight: bold"">paint:[OBJECT_A]</span> work better than '<span style=""color: #6CB219; font-weight: bold"">chalk:[OBJECT_B]</span>'?","So, I think I missed it... does the *paint* work better than '§chalk$'?"
bread,,steak,T3266222459,True,Your basic material well-being will be easier to maintain when a loaf of Grandma's Automated Bread goes for a nickel & steak for 20 cents a pound.,"Your basic material well-being will be easier to maintain when a loaf of Grandma's Automated <span style=""color: #9A14B2; font-weight: bold"">bread:[OBJECT_A]</span> goes for a nickel & <span style=""color: #6CB219; font-weight: bold"">steak:[OBJECT_B]</span> for 20 cents a pound.",Your basic material well-being will be easier to maintain when a loaf of Grandma's Automated *bread* goes for a nickel & §steak$ for 20 cents a pound.
soup,,sandwich,S3114286480,True,What's better than a grilled cheese sandwich and soup on a rainy weekend?,"What's better than a grilled cheese <span style=""color: #9A14B2; font-weight: bold"">sandwich:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">soup:[OBJECT_B]</span> on a rainy weekend?",What's better than a grilled cheese *sandwich* and §soup$ on a rainy weekend?
tea,,juice,O2344171182,True,Tea is steeped in boiling water and is a superior alternative to lobster juice.,"<span style=""color: #9A14B2; font-weight: bold"">tea:[OBJECT_A]</span> is steeped in boiling water and is a superior alternative to lobster <span style=""color: #6CB219; font-weight: bold"">juice:[OBJECT_B]</span>.",*tea* is steeped in boiling water and is a superior alternative to lobster §juice$.
milk,,beer,S3084799540,True,"We started at the Knox Store in Knox NY in 1997, playing in front of the milk and beer cooler every other Friday night for 5 years.","We started at the Knox Store in Knox NY in 1997, playing in front of the <span style=""color: #9A14B2; font-weight: bold"">milk:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">beer:[OBJECT_B]</span> cooler every other Friday night for 5 years.","We started at the Knox Store in Knox NY in 1997, playing in front of the *milk* and §beer$ cooler every other Friday night for 5 years."
beer,,cider,E641578706,True,"- Eiderdown (Louisville) - the pretzel sticks here were great, decent beer/wine selection although no cider on tap.","- Eiderdown (Louisville) - the pretzel sticks here were great, decent <span style=""color: #9A14B2; font-weight: bold"">beer:[OBJECT_A]</span>/wine selection although no <span style=""color: #6CB219; font-weight: bold"">cider:[OBJECT_B]</span> on tap.","- Eiderdown (Louisville) - the pretzel sticks here were great, decent *beer*/wine selection although no §cider$ on tap."
lumber,,plywood,O2426601190,True,The cabinet was constructed of Honduras Mahogany solid lumber and plywood.,"The cabinet was constructed of Honduras Mahogany solid <span style=""color: #9A14B2; font-weight: bold"">lumber:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">plywood:[OBJECT_B]</span>.",The cabinet was constructed of Honduras Mahogany solid *lumber* and §plywood$.
soup,,sandwich,T3130494602,True,"When it comes to losing weight, which is the better lunch choice: soup or a sandwich?","When it comes to losing weight, which is the better lunch choice: <span style=""color: #9A14B2; font-weight: bold"">soup:[OBJECT_A]</span> or a <span style=""color: #6CB219; font-weight: bold"">sandwich:[OBJECT_B]</span>?","When it comes to losing weight, which is the better lunch choice: *soup* or a §sandwich$?"
baseball,,softball,M2029204295,True,"Preps Briefs: Trojans looking solid for '11, Dade practice, All-district baseball and softball","Preps Briefs: Trojans looking solid for '11, Dade practice, All-district <span style=""color: #9A14B2; font-weight: bold"">baseball:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">softball:[OBJECT_B]</span>","Preps Briefs: Trojans looking solid for '11, Dade practice, All-district *baseball* and §softball$"
stanford,,mit,F741349877,True,"For engineering fields, CMU is often comparable to or better than MIT or Stanford.","For engineering fields, CMU is often comparable to or better than <span style=""color: #9A14B2; font-weight: bold"">mit:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">stanford:[OBJECT_B]</span>.","For engineering fields, CMU is often comparable to or better than *mit* or §stanford$."
playstation,,gamecube,L1805813510,False,Nintendo Gamecube 37. Playstation 2 38.,"Nintendo <span style=""color: #9A14B2; font-weight: bold"">gamecube:[OBJECT_A]</span> 37. <span style=""color: #6CB219; font-weight: bold"">playstation:[OBJECT_B]</span> 2 38.",Nintendo *gamecube* 37. §playstation$ 2 38.
california,,oregon,D441012682,True,"California, Utah, Arizona and Oregon State appear solid at the position.","<span style=""color: #9A14B2; font-weight: bold"">california:[OBJECT_A]</span>, Utah, Arizona and <span style=""color: #6CB219; font-weight: bold"">oregon:[OBJECT_B]</span> State appear solid at the position.","*california*, Utah, Arizona and §oregon$ State appear solid at the position."
football,,tennis,D544420737,True,"Cycling is safer than: Fishing, horseback riding, swimming, athletic training, football and tennis.","Cycling is safer than: Fishing, horseback riding, swimming, athletic training, <span style=""color: #9A14B2; font-weight: bold"">football:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">tennis:[OBJECT_B]</span>.","Cycling is safer than: Fishing, horseback riding, swimming, athletic training, *football* and §tennis$."
california,,georgia,I1329676350,True,"I play in a party of people spread all over the country (California, Texas, Georgia, New York, Ohio, Pennsylvania, North Dakota) and it actually seems to play better.","I play in a party of people spread all over the country (<span style=""color: #9A14B2; font-weight: bold"">california:[OBJECT_A]</span>, Texas, <span style=""color: #6CB219; font-weight: bold"">georgia:[OBJECT_B]</span>, New York, Ohio, Pennsylvania, North Dakota) and it actually seems to play better.","I play in a party of people spread all over the country (*california*, Texas, §georgia$, New York, Ohio, Pennsylvania, North Dakota) and it actually seems to play better."
thanksgiving,,halloween,I1384229950,True,I think Halloween is actually safer than Christmas and Thanksgiving.,"I think <span style=""color: #9A14B2; font-weight: bold"">halloween:[OBJECT_A]</span> is actually safer than Christmas and <span style=""color: #6CB219; font-weight: bold"">thanksgiving:[OBJECT_B]</span>.",I think *halloween* is actually safer than Christmas and §thanksgiving$.
football,,hockey,G956016280,True,"Hockey has become a sport of wimps, even faster than football.","<span style=""color: #9A14B2; font-weight: bold"">hockey:[OBJECT_A]</span> has become a sport of wimps, even faster than <span style=""color: #6CB219; font-weight: bold"">football:[OBJECT_B]</span>.","*hockey* has become a sport of wimps, even faster than §football$."
playstation,,wii,T3179186439,True,Wii U and Playstation 4 are looking better and better to consumers.,"<span style=""color: #9A14B2; font-weight: bold"">wii:[OBJECT_A]</span> U and <span style=""color: #6CB219; font-weight: bold"">playstation:[OBJECT_B]</span> 4 are looking better and better to consumers.",*wii* U and §playstation$ 4 are looking better and better to consumers.
concrete,,cement,N2243614061,True,"Solid black Cement/ Concrete FireBalls , & Fire Clay Rocks .","Solid black <span style=""color: #9A14B2; font-weight: bold"">cement:[OBJECT_A]</span>/ <span style=""color: #6CB219; font-weight: bold"">concrete:[OBJECT_B]</span> FireBalls , & Fire Clay Rocks .","Solid black *cement*/ §concrete$ FireBalls , & Fire Clay Rocks ."
phone,,laptop,H1199558703,True,I mean the phone ran better than the laptop dock.,"I mean the <span style=""color: #9A14B2; font-weight: bold"">phone:[OBJECT_A]</span> ran better than the <span style=""color: #6CB219; font-weight: bold"">laptop:[OBJECT_B]</span> dock.",I mean the *phone* ran better than the §laptop$ dock.
metal,,stone,S3081981777,True,"Werkmaster™ Concrete And Stone Tooling is made of resin, metal or stainless steel for superior performance.","Werkmaster™ Concrete And <span style=""color: #9A14B2; font-weight: bold"">stone:[OBJECT_A]</span> Tooling is made of resin, <span style=""color: #6CB219; font-weight: bold"">metal:[OBJECT_B]</span> or stainless steel for superior performance.","Werkmaster™ Concrete And *stone* Tooling is made of resin, §metal$ or stainless steel for superior performance."
youtube,,hulu,Q2724801755,True,"The streaming of Hulu, Netflix, YouTube and dozens of other channels makes it an even better deal.","The streaming of <span style=""color: #9A14B2; font-weight: bold"">hulu:[OBJECT_A]</span>, Netflix, <span style=""color: #6CB219; font-weight: bold"">youtube:[OBJECT_B]</span> and dozens of other channels makes it an even better deal.","The streaming of *hulu*, Netflix, §youtube$ and dozens of other channels makes it an even better deal."
coffee,,beer,C370648418,True,A solid coffee beer.,"A solid <span style=""color: #9A14B2; font-weight: bold"">coffee:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">beer:[OBJECT_B]</span>.",A solid *coffee* §beer$.
suv,,jeep,P2533561651,True,The Jeep Commander is a solid SUV with good features and a spacey interior.,"The <span style=""color: #9A14B2; font-weight: bold"">jeep:[OBJECT_A]</span> Commander is a solid <span style=""color: #6CB219; font-weight: bold"">suv:[OBJECT_B]</span> with good features and a spacey interior.",The *jeep* Commander is a solid §suv$ with good features and a spacey interior.
psp,,ps3,K1587901276,True,"Killzone 's first sequel was released not on PS3, but on PSP, and to mediocre reviews.","Killzone 's first sequel was released not on <span style=""color: #9A14B2; font-weight: bold"">ps3:[OBJECT_A]</span>, but on <span style=""color: #6CB219; font-weight: bold"">psp:[OBJECT_B]</span>, and to mediocre reviews.","Killzone 's first sequel was released not on *ps3*, but on §psp$, and to mediocre reviews."
metal,,plywood,T3263289692,True,"You need a solid barbecue with a lid - some pitmasters build this from concrete blocks, a metal grill and plywood.","You need a solid barbecue with a lid - some pitmasters build this from concrete blocks, a <span style=""color: #9A14B2; font-weight: bold"">metal:[OBJECT_A]</span> grill and <span style=""color: #6CB219; font-weight: bold"">plywood:[OBJECT_B]</span>.","You need a solid barbecue with a lid - some pitmasters build this from concrete blocks, a *metal* grill and §plywood$."
soup,,pizza,K1727064126,True,"mom luckly for me grant's babysitter, soledad, had cooked up some soup and grilled some chicken that was better and even easier than me calling out for PIZZA!","mom luckly for me grant's babysitter, soledad, had cooked up some <span style=""color: #9A14B2; font-weight: bold"">soup:[OBJECT_A]</span> and grilled some chicken that was better and even easier than me calling out for <span style=""color: #6CB219; font-weight: bold"">pizza:[OBJECT_B]</span>!","mom luckly for me grant's babysitter, soledad, had cooked up some *soup* and grilled some chicken that was better and even easier than me calling out for §pizza$!"
metal,,plywood,T3207388388,True,"--Wooden frame: Solid wood and plywood, imported metal coil springs and fabric rubber for foam sagging preventing.","--Wooden frame: Solid wood and <span style=""color: #9A14B2; font-weight: bold"">plywood:[OBJECT_A]</span>, imported <span style=""color: #6CB219; font-weight: bold"">metal:[OBJECT_B]</span> coil springs and fabric rubber for foam sagging preventing.","--Wooden frame: Solid wood and *plywood*, imported §metal$ coil springs and fabric rubber for foam sagging preventing."
google,,amazon,F847723352,True,"Harder still the days before the Hollis catalogue, Amazon, or Google Books.","Harder still the days before the Hollis catalogue, <span style=""color: #9A14B2; font-weight: bold"">amazon:[OBJECT_A]</span>, or <span style=""color: #6CB219; font-weight: bold"">google:[OBJECT_B]</span> Books.","Harder still the days before the Hollis catalogue, *amazon*, or §google$ Books."
football,,volleyball,H1218207269,True,I'm sure the same people who think UH won't have trouble filling an independent football schedule must think that Wahine volleyball will have an easier time.,"I'm sure the same people who think UH won't have trouble filling an independent <span style=""color: #9A14B2; font-weight: bold"">football:[OBJECT_A]</span> schedule must think that Wahine <span style=""color: #6CB219; font-weight: bold"">volleyball:[OBJECT_B]</span> will have an easier time.",I'm sure the same people who think UH won't have trouble filling an independent *football* schedule must think that Wahine §volleyball$ will have an easier time.
carolina,,pennsylvania,K1656856547,True,"Luckily, in many states, such as West Virginia, Virginia, North Carolina and Pennsylvania, the laws are relatively consistent and the answer is easier than expected.","Luckily, in many states, such as West Virginia, Virginia, North <span style=""color: #9A14B2; font-weight: bold"">carolina:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">pennsylvania:[OBJECT_B]</span>, the laws are relatively consistent and the answer is easier than expected.","Luckily, in many states, such as West Virginia, Virginia, North *carolina* and §pennsylvania$, the laws are relatively consistent and the answer is easier than expected."
lumber,,plywood,T3207652003,True,"WOOD SPECIE NOTICE: BALTIC BIRCH is 1/2"" thick of solid lumber plys with no voids and is the superior form of plywood.","WOOD SPECIE NOTICE: BALTIC BIRCH is 1/2"" thick of solid <span style=""color: #9A14B2; font-weight: bold"">lumber:[OBJECT_A]</span> plys with no voids and is the superior form of <span style=""color: #6CB219; font-weight: bold"">plywood:[OBJECT_B]</span>.","WOOD SPECIE NOTICE: BALTIC BIRCH is 1/2"" thick of solid *lumber* plys with no voids and is the superior form of §plywood$."
steel,,aluminum,E690769957,True,Extruded Aluminum Frame with Solid Steel Support,"Extruded <span style=""color: #9A14B2; font-weight: bold"">aluminum:[OBJECT_A]</span> Frame with Solid <span style=""color: #6CB219; font-weight: bold"">steel:[OBJECT_B]</span> Support",Extruded *aluminum* Frame with Solid §steel$ Support
tennis,,volleyball,K1632193894,False,Like volleyball and tennis.,"Like <span style=""color: #9A14B2; font-weight: bold"">volleyball:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">tennis:[OBJECT_B]</span>.",Like *volleyball* and §tennis$.
potato,,steak,T3176894342,True,Why should I give you $6 for a lousy potato when I've aready paid $35 for a steak?,"Why should I give you $6 for a lousy <span style=""color: #9A14B2; font-weight: bold"">potato:[OBJECT_A]</span> when I've aready paid $35 for a <span style=""color: #6CB219; font-weight: bold"">steak:[OBJECT_B]</span>?",Why should I give you $6 for a lousy *potato* when I've aready paid $35 for a §steak$?
plastic,,cement,N2243676760,True,"Solid material shall mean cement, brick, durable plastic, or other suitable material other than wood.","Solid material shall mean <span style=""color: #9A14B2; font-weight: bold"">cement:[OBJECT_A]</span>, brick, durable <span style=""color: #6CB219; font-weight: bold"">plastic:[OBJECT_B]</span>, or other suitable material other than wood.","Solid material shall mean *cement*, brick, durable §plastic$, or other suitable material other than wood."
milk,,soda,K1716927885,True,"Milk & water are just plain better than soda, tea or juice.","<span style=""color: #9A14B2; font-weight: bold"">milk:[OBJECT_A]</span> & water are just plain better than <span style=""color: #6CB219; font-weight: bold"">soda:[OBJECT_B]</span>, tea or juice.","*milk* & water are just plain better than §soda$, tea or juice."
wii,,ps2,D425269487,True,But who really expected it to sell better than Wii or PS2.,"But who really expected it to sell better than <span style=""color: #9A14B2; font-weight: bold"">wii:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">ps2:[OBJECT_B]</span>.",But who really expected it to sell better than *wii* or §ps2$.
bread,,steak,B294980730,True,An earlier dish of thinly sliced room temperature steak on top of piping hot bread pudding wasn't much better.,"An earlier dish of thinly sliced room temperature <span style=""color: #9A14B2; font-weight: bold"">steak:[OBJECT_A]</span> on top of piping hot <span style=""color: #6CB219; font-weight: bold"">bread:[OBJECT_B]</span> pudding wasn't much better.",An earlier dish of thinly sliced room temperature *steak* on top of piping hot §bread$ pudding wasn't much better.
football,,golf,A135049144,True,A couple of his others are Semi-Tough (football) and Dead Solid Perfect (golf).,"A couple of his others are Semi-Tough (<span style=""color: #9A14B2; font-weight: bold"">football:[OBJECT_A]</span>) and Dead Solid Perfect (<span style=""color: #6CB219; font-weight: bold"">golf:[OBJECT_B]</span>).",A couple of his others are Semi-Tough (*football*) and Dead Solid Perfect (§golf$).
coffee,,juice,E559249272,True,decent coffee & orange juice too.).,"decent <span style=""color: #9A14B2; font-weight: bold"">coffee:[OBJECT_A]</span> & orange <span style=""color: #6CB219; font-weight: bold"">juice:[OBJECT_B]</span> too.).",decent *coffee* & orange §juice$ too.).
georgia,,oregon,T3156524109,True,"While Alabama proved they are leagues ahead of Notre Dame, Oregon may have provided better competition, like Texas A&M and Georgia did against the Crimson Tide.","While Alabama proved they are leagues ahead of Notre Dame, <span style=""color: #9A14B2; font-weight: bold"">oregon:[OBJECT_A]</span> may have provided better competition, like Texas A&M and <span style=""color: #6CB219; font-weight: bold"">georgia:[OBJECT_B]</span> did against the Crimson Tide.","While Alabama proved they are leagues ahead of Notre Dame, *oregon* may have provided better competition, like Texas A&M and §georgia$ did against the Crimson Tide."
carolina,,pennsylvania,I1303314324,True,"In the days before the conventions begin, Obama has taken a solid lead in Minnesota, leads outside the margin of error in Michigan, Pennsylvania and New Mexico, and he is within 2% in red Florida, North Carolina, Nevada.","In the days before the conventions begin, Obama has taken a solid lead in Minnesota, leads outside the margin of error in Michigan, <span style=""color: #9A14B2; font-weight: bold"">pennsylvania:[OBJECT_A]</span> and New Mexico, and he is within 2% in red Florida, North <span style=""color: #6CB219; font-weight: bold"">carolina:[OBJECT_B]</span>, Nevada.","In the days before the conventions begin, Obama has taken a solid lead in Minnesota, leads outside the margin of error in Michigan, *pennsylvania* and New Mexico, and he is within 2% in red Florida, North §carolina$, Nevada."
golf,,hockey,D548319332,True,"Daniel Negreanu loves ice hockey and golf, Phil Ivey loves pretty much anything, especially boxing and Doyle Brunson loves nothing better than basketball.","Daniel Negreanu loves ice <span style=""color: #9A14B2; font-weight: bold"">hockey:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">golf:[OBJECT_B]</span>, Phil Ivey loves pretty much anything, especially boxing and Doyle Brunson loves nothing better than basketball.","Daniel Negreanu loves ice *hockey* and §golf$, Phil Ivey loves pretty much anything, especially boxing and Doyle Brunson loves nothing better than basketball."
harvard,,mit,K1722429906,False,MIT. Or Harvard.,"<span style=""color: #9A14B2; font-weight: bold"">mit:[OBJECT_A]</span>. Or <span style=""color: #6CB219; font-weight: bold"">harvard:[OBJECT_B]</span>.",*mit*. Or §harvard$.
georgia,,missouri,R2922591653,True,"To make things easier to manage, he pulled back from offices in Missouri, Georgia, Pennsylvania, Ohio, Minnesota and Wisconsin.","To make things easier to manage, he pulled back from offices in <span style=""color: #9A14B2; font-weight: bold"">missouri:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">georgia:[OBJECT_B]</span>, Pennsylvania, Ohio, Minnesota and Wisconsin.","To make things easier to manage, he pulled back from offices in *missouri*, §georgia$, Pennsylvania, Ohio, Minnesota and Wisconsin."
