,sentence,object_a,object_b,pred_if,pred_lex,gold,most_frequent_percentage,s_len
M2032209894,"Pretty much if we took in a MBZ,BMW or Lexus it was solid gold ( sport car hands down a Porshe, Audi wasn't our first choice to have on the lot.",Lexus,Audi,NONE,NONE,BETTER,1.0,144
M2034317638,"Primarily Ruby on Rails 3.2, but always wanting to get better at JavaScript too.",Ruby,JavaScript,NONE,NONE,BETTER,1.0,80
M2037680565,"Probably it's that Windows 98 does not recognize your audio interface, something that Windows XP does better about the drivers.",Windows 98,Windows XP,NONE,NONE,WORSE,0.8,127
M2047625883,P.S.: I think Pepsi works better in flavored colas than Coke because Cokes trademark acidity (which I enjoy most in its old-relable regular Coca-Cola form) sometimes conflicts with the other flavors.,Pepsi,Coca-Cola,NONE,NONE,BETTER,1.0,199
M2054175207,"Python/Django/GeoDjango are a mature combination, with a somewhat slower, steadier development pace than Ruby/Rails/RGeo, which ...",Python,Ruby,WORSE,NONE,BETTER,0.6,131
M2054181256,"Python has a better standard library, but Perl has a better nonstandard library.",Python,Perl,BETTER,WORSE,NONE,0.8,80
M2054185098,Python is also object oriented and it's faster (as fast as PHP).,Python,PHP,WORSE,BETTER,NONE,0.8571428571428571,64
M2054186891,"Python is much better suited as a ""glue"" language, while Java is better characterized as a low-level implementation language.",Python,Java,BETTER,BETTER,NONE,0.8333333333333334,125
M2054187004,"Python is nice and easy to use and learn but it runs like treacle much much slower than C, C++ or Java etc... if you're looking to explore the world of non C style programming try a functional language like Haskell it's a recursive programming language, no for loops and no variables it's quite interesting though.",Python,Haskell,BETTER,BETTER,WORSE,1.0,314
M2054187295,"Python isn't perfect, but it sure made a lot of things easier when coming from C++/Java/Perl",Python,Java,NONE,NONE,BETTER,1.0,92
M2054187406,"Python is one of the faster scripting languages I've seen around, but last time I checked it was still 10x slower than Java and 20x slower than C for most stuff.",Python,Java,BETTER,BETTER,WORSE,0.6,161
M2054203759,"Python skills a plus, but not required, especially if you're solid at JavaScript.",Python,JavaScript,NONE,NONE,BETTER,0.8,81
M2054206661,"Python , the best language a business can use without risking the lack of programmers ( Common Lisp is better, but I don't know anyone who knows it except for me)",Python,Lisp,NONE,NONE,WORSE,1.0,162
M2058376611,"- QUICK MOVEMENT The speed of your player is based on the weight of your gun, so when the round starts, switching to the pistol or even better, your knife, will result in much faster movement.",pistol,knife,NONE,NONE,WORSE,1.0,192
M2068011329,"Rather than take a sporty approach, and build a true rear-wheel drive competitor to the BMW 3-Series and Mercedes-Benz 190E sedans, Lexus took a much softer and safer route, basing their entry-level ES, or ""Executive Sedan,"" on the very un-sporty front-wheel drive Toyota Camry.",BMW,Toyota,NONE,NONE,BETTER,1.0,278
M2083039731,Regarding this C/C++/D/Java/C#/etc are worse and Python and Go are better.,Java,Python,NONE,NONE,WORSE,1.0,74
N2102304931,"Reviewed by: Lianne Reitter , send e-mail Published by: Stardock Corporation, go to the web site Requires: Works best with Windows XP, but also works with Windows 98, ME and 2000; Pentium III or faster CPU, 128MB RAM MSRP: $49.95",Windows XP,Windows 98,NONE,NONE,BETTER,1.0,229
N2120480346,"Ruby 1.9 is about 3x faster, which should put it in the 20x slower than native ballpark that Perl and Python are at today.",Ruby,Python,WORSE,NONE,BETTER,1.0,122
N2120520018,"Ruby looks pretty easy to learn, and it even looks fun; but I'm skeptical about whether or not I'd be safer going down the more established PHP route.",Ruby,PHP,NONE,NONE,WORSE,0.8,150
N2124153523,"Ryan, it's called conductivity stone transfers heat at a slower rate than steel.",stone,steel,BETTER,NONE,WORSE,1.0,80
N2130852735,Samsung got the market jump on Nokia going the faster but less vetted approach of Android.,Samsung,Nokia,NONE,NONE,BETTER,1.0,90
N2130997766,"Samsung voids warranty for rooting, Motorola doesn't.",Samsung,Motorola,NONE,NONE,WORSE,0.8,53
N2137844702,Scala enums are inferior to Java enums _and_ are incompatible.,Scala,Java,NONE,BETTER,WORSE,1.0,62
N2137845767,"Scala is a hell of a lot faster than PLT Scheme, and it plays perfectly with the vast Java ecosystem, while Scheme does not.",Scala,Java,BETTER,BETTER,NONE,1.0,124
N2164548773,Setting up Python running as FastCGI on either Apache or lighttpd is much harder than creating a page of PHP.,Python,PHP,WORSE,BETTER,NONE,1.0,109
N2200288249,Should Bluetooth mp3 access be faster than USB memory stick?,Bluetooth,USB,BETTER,BETTER,NONE,1.0,60
N2200917031,"Shouldn't nixon have surrendered to McGovern in 1972, the better to lay the groundwork for a reagan resurgence in 1976?",nixon,reagan,NONE,NONE,WORSE,1.0,119
N2204403635,"Sigma makes some decent lenses, but Nikon knows their own exposure system better than anyone.",Sigma,Nikon,NONE,NONE,WORSE,1.0,93
N2209429179,"Since 2003 I owned about 15 phones, and to be honest, Nokia and SonyEricsson will always stand high, but as I said, Siemens in the end just lost it due to not being smart enough to realise that there were/are better companies, and that you need to develop everything in the phone except for what they've just done, change the design.",Nokia,Siemens,WORSE,NONE,BETTER,1.0,333
N2223380016,Smalltalk had a nice bytecoded multi-platform virtual machine long before Java.,Smalltalk,Java,NONE,NONE,BETTER,1.0,79
N2237022505,"So if you've built a TV library around iTunes, you own iOS devices and you rip your DVDs, the Apple TV will probably be a better choice.",iOS,Apple TV,NONE,NONE,WORSE,1.0,136
N2243612645,Solid beer but not my cup of tea.,beer,tea,NONE,BETTER,WORSE,0.6,33
N2243691224,Solid pitching efforts earn michigan baseball team a 5-2 win againt Coastal carolina,michigan,carolina,NONE,NONE,BETTER,1.0,84
N2262482539,Sony behaves like Apple but without the ability to make something better than what it is trying to emulate.,Sony,Apple,NONE,NONE,WORSE,1.0,107
N2262488509,Sony can now build up from the Cell and just make it more powerful and faster in the way Intel advances their tech.,Sony,Intel,NONE,NONE,BETTER,0.6,115
N2262543090,"Sony, Grass Valley, Lightworks, even the inferior Apple.",Sony,Apple,NONE,NONE,BETTER,1.0,56
O2266722675,So Scala is no better off then Java.,Scala,Java,BETTER,BETTER,WORSE,0.6,36
O2270037495,So the standard (C)Python is not necessarily slower than Java or C#.,Python,Java,WORSE,WORSE,NONE,1.0,68
O2278291014,So why is Mario golf World Tour superior to Mario tennis Open?,golf,tennis,NONE,NONE,BETTER,1.0,62
O2288711987,"-SQL Server is significantly superior to MySQL, faster than PostgreSQL, and for most businesses is cheaper than Oracle.",MySQL,PostgreSQL,BETTER,BETTER,NONE,1.0,119
O2297499894,steel is 3 times harder than aluminum.,steel,aluminum,BETTER,WORSE,NONE,1.0,38
O2302644844,"Still much better in Java, but the Scala plugin is catching up fast.",Java,Scala,WORSE,WORSE,NONE,0.8,68
O2305298937,stone is harder than metal.,stone,metal,WORSE,WORSE,NONE,0.6,27
O2320890850,"Summary: I think Asus can sale a faster computer for that price anyway, it is good but not cheap, the touch screen is the best part, well if the computer have Windows 8, but every body knows that Microsoft Windows XP, vista, 7, 8 are crap, i will install on it Red Hat Enterprise Linux Desktop, Linux is the...",Windows 8,Windows XP,WORSE,NONE,BETTER,0.6,310
O2325937425,"Surely, I can do no worse suggesting lame ideas for beating Google than Microsoft already has.",Google,Microsoft,BETTER,BETTER,NONE,1.0,94
O2344171182,tea is steeped in boiling water and is a superior alternative to lobster juice.,tea,juice,NONE,NONE,BETTER,1.0,79
O2349796846,Terrible football field; worse baseball field.,football,baseball,WORSE,NONE,BETTER,1.0,46
O2351021185,Tethering over Bluetooth is slower but being wireless is a great advantage over USB.,Bluetooth,USB,WORSE,NONE,BETTER,1.0,84
O2356291690,Thanks to Apple removing Google maps which is 1000x better.,Apple,Google,NONE,NONE,WORSE,1.0,59
O2369458727,That makes the 2013 Fusion Energi 8 MPGe better than the Chevrolet Volt and 13 MPGe more fuel efficient than the Toyota Prius Plug-In models.,Chevrolet,Toyota,BETTER,BETTER,NONE,1.0,141
O2373627341,"That said, the solid metal base provides a 25-degree range of motion, and much more stability than you get from the Samsung Series 7 (DP700A3B-A01US) ($1,099 direct, 3.5 stars) or the Sony VAIO VPC-L231FX/W ($999.99 list, 4.5 stars), if less than you get with the Dell Inspiron One 2320 ($1,249.99 direct, 4 stars).",Sony,Dell,NONE,NONE,BETTER,0.8,315
O2374227557,"That Samsung, LG, Sony, etc don't have the source code, just means that Google are able to release faster, surely?",Sony,Google,NONE,NONE,WORSE,0.8,114
O2374472881,"That's a problem for Dell, and it won't get any better until it starts beating Apple at its own game.",Dell,Apple,NONE,NONE,WORSE,1.0,101
O2375111457,That's BETTER CITY FUEL ECONOMY 2010 Ford THAN A SIX-CYLINDER TOYOTA CAMRY AND F-150 4.6L V8 15/21 Honda ACCORD.3,Ford,Honda,NONE,NONE,BETTER,0.8,113
O2375382008,"That second conclusion is obviously true, but virginia was slaughtered Saturday by the oregon Ducks, which makes BYU's loss a little uglier.",virginia,oregon,NONE,NONE,WORSE,1.0,140
O2380386984,"That's true, function passing is painless in Python and a little harder in Ruby.",Python,Ruby,NONE,NONE,BETTER,0.6,80
O2389306881,The 2012 numbers provides better news for Samsung fans as it dethrones Nokia as the world's top cellphone manufacturer.,Samsung,Nokia,WORSE,NONE,BETTER,1.0,119
O2391947780,"The 6th Generation of Chevrolet Camaro finally unveiled in Detroit, since 5th generation the Camaro is just getting better to rival the direct competition - Ford Mustang.",Chevrolet,Ford,NONE,NONE,BETTER,1.0,170
O2393366554,"The abstraction level of both C# and Java is mediocre; it's much better than C, somewhat weaker (!) than C++, and not nearly as good as languages that support both object-oriented and functional programming (such as Lisp and Ocaml).",Java,Lisp,BETTER,NONE,WORSE,1.0,232
O2401730773,"The answer, much like the iphone, is you better have your laptop with you.",iphone,laptop,NONE,NONE,WORSE,1.0,74
O2416140757,"The better young male athletes in the US, said McEnroe, prefer to play football and basketball over tennis.",football,tennis,NONE,NONE,BETTER,1.0,107
O2416675135,The bigger ill is that espn has performed much better than TNT and much worse than fox - which the vast majority of the print media will not discuss.,espn,fox,BETTER,BETTER,WORSE,1.0,149
P2444336259,"The company was late to get lens coatings sorted out, but beginning in the late 1980s it cemented its position as a leading maker of camera optics, to the point that today I consider it to be a peer of Zeiss and Leica and, broadly speaking, slightly superior to Canon or Nikon as a lensmaker.",Leica,Nikon,NONE,NONE,BETTER,1.0,292
P2447016108,The consensus seems to be that Java killed Smalltalk.,Java,Smalltalk,NONE,NONE,BETTER,0.8,53
P2462335318,"The developers explained that Direct3D, the 3D component of DirectX, was a miserable hack and was very much inferior to OpenGL",Direct3D,OpenGL,BETTER,BETTER,WORSE,1.0,126
P2464927842,"The discussion turned to having other people work on the project, and why I felt people who knew Lisp would be better to attract than people who knew, say, Java.",Lisp,Java,BETTER,WORSE,NONE,1.0,161
P2469199001,"The ds versions looks really good, but wii could look alot better.",ds,wii,NONE,NONE,WORSE,1.0,66
P2475268117,"The entity may even provide sample Java code, but Perl is a far better solution.",Java,Perl,NONE,NONE,WORSE,1.0,80
P2498575631,"The frame is made from ONE-PIECE solid stainless steel, not cheap metal or aluminum like other inferior replicas.",steel,aluminum,NONE,NONE,BETTER,1.0,113
P2504608892,"The GIS functions of MySQL, and even better ones of PostgreSQL, make light work of this, but I started simply.",MySQL,PostgreSQL,NONE,NONE,WORSE,1.0,110
P2512573673,The Haskell program that uses lazy ByteStrings is about 30% slower than the Python script.,Haskell,Python,BETTER,BETTER,WORSE,1.0,90
P2526085198,The interface should be written in Java (or even better Groovy).,Java,Groovy,NONE,NONE,WORSE,0.8,64
P2538926122,"The language seems to place itself as 'faster than Groovy, simpler than Scala and incorporates all the benefits of Java'.",Scala,Java,NONE,NONE,BETTER,1.0,121
P2543981020,"The lens from Sigma just as good(or better) as any other lenses from Nikon , Cannon or Minolta.",Sigma,Nikon,NONE,NONE,BETTER,0.6,95
P2545585453,"The likes of Ford, BMW, Audi, Mercedes, Toyota etc don't even have to try to market a car in Europe because it just happens, but Chevrolet along with their Corvette brand has to work at it much harder.",Ford,Chevrolet,WORSE,WORSE,NONE,1.0,201
P2558204659,The Mercedes-Benz E220 provides a solid option but it can't match the driving dynamics of the BMW or the style and interior luxury of the Audi.,Mercedes-Benz,Audi,NONE,NONE,WORSE,1.0,143
P2565066914,The most important difference is that you did your tests using an upclocked nVidia GTX570 GPU that is great for CUDA but lousy for OpenCL.,CUDA,OpenCL,NONE,NONE,BETTER,1.0,138
P2567375670,"The MS-product which is handling the game proper is DirectX/Direct3D, which is pretty damn decent and generally regarded as the best there is (the competitor is OpenGL).",Direct3D,OpenGL,WORSE,NONE,BETTER,1.0,169
P2569316420,"Then again, without the Modern UI, Windows 8 doesn't offer many advantages, aside from faster performance, over Windows 7.",Windows 8,Windows 7,BETTER,NONE,WORSE,1.0,122
P2576227089,The new Windows 7 is said to be so much better than the problems ridden Windows Vista and is a considerable improvement on Windows XP.,Windows Vista,Windows XP,NONE,NONE,WORSE,0.8,134
P2578097270,"The NFL and professional baseball are covered to death in this country, and hockey is just cooler.""",baseball,hockey,NONE,NONE,WORSE,0.6,99
P2583885800,"The NP900X4C was decidedly mediocre at gaming tests, thanks to its Intel HD Graphics 4000 integrated graphics, but the 62Wh battery let it last a long time on the MobileMark battery test: just short of 7 hours, ahead of the Zenbook Prime UX32VD (5:26) and the Sony VAIO E15 (4:34) by a wide margin.",Intel,Sony,NONE,NONE,BETTER,0.6,298
P2596183037,The only sport that's slower to watch than golf is baseball.,golf,baseball,NONE,NONE,BETTER,1.0,60
P2596262355,The only thing better than a cold glass of beer is tea with Miss McGill.,beer,tea,NONE,NONE,WORSE,1.0,72
P2596419929,The only thing I like better than pizza is pasta.,pizza,pasta,NONE,BETTER,WORSE,0.8,49
P2596541142,The only thing left is ditching their Direct3D stuff for OpenGL/OpenCL support to make porting games easier (which will admittedly probably never happen).,Direct3D,OpenGL,NONE,NONE,WORSE,1.0,154
P2596879199,"The only thing worse than bringing small children to a wedding, is being invited to a small child's birthday party.",wedding,birthday,NONE,NONE,BETTER,1.0,115
P2596880743,The only thing worse than pro football is pro hockey!,football,hockey,NONE,NONE,BETTER,1.0,53
Q2606707362,The pasta is mediocre BUT the pizza is very good.,pasta,pizza,NONE,NONE,WORSE,1.0,49
Q2612180852,The pizza use to be better and the Crazy bread was definately better.,pizza,bread,NONE,NONE,WORSE,0.8333333333333334,69
Q2613409660,"The player is working just as well as my older Toshiba 1080p upconverting DVD player/recorder and I think the quality is actually better on my Samsung 61"" DLP 1080p HDTV.",Toshiba,Samsung,BETTER,NONE,WORSE,1.0,170
Q2617345446,"The PowerPC CPU (Apple had a hand in it, but it was mainly Motorola and IBM) was always a much better design than Intel's x86.",Apple,IBM,NONE,BETTER,WORSE,1.0,126
Q2627704040,The ps3 MOVE is just the wii with better graphics.,ps3,wii,WORSE,NONE,BETTER,1.0,50
Q2627770948,"The PSP does support a few thing that ds can't, They are DLC, better sound, ps2-like Graphics.",ds,ps2,WORSE,BETTER,NONE,0.8,94
Q2640628660,"There are other languages which may be better suited than PHP if you want to see things from a different angle - I suggest that you try a functional language like Lisp, Scheme, Haskell, F#, or a weakly typed language like Python.",Lisp,Python,NONE,NONE,BETTER,1.0,229
Q2653881562,There is also no sane reason to use mySQL (or Oracle) when PostgreSQL is better than both in almost every respect.,Oracle,PostgreSQL,NONE,NONE,WORSE,1.0,114
Q2654999678,"There is a real, major benefit of using Java over other languages, such as C or Haskell or Smalltalk, which is this: it lets you work with other mediocre programmers, and has limitations that prevents them from doing anything too crazy.",Java,Haskell,NONE,NONE,BETTER,1.0,236
Q2657868295,There is no obvious reason as to why Lisp should have better performance than Python.,Lisp,Python,BETTER,BETTER,NONE,1.0,85
Q2671009969,"The restaurant is doing much better,"" Sal reveals of Papa C's Eastside cafe.",restaurant,cafe,NONE,NONE,BETTER,1.0,76
Q2671107127,The restaurant would have to be better than just a simple cafe or pizza place.,restaurant,cafe,BETTER,BETTER,NONE,1.0,78
Q2687184395,"The Samsung LN22A450 produces a well-contrasted picture for its size, yet I kept coming back to the Toshiba 22AV500U as a superior small-screen choice, as it features better color quality and an additional HDMI port.",Samsung,Toshiba,NONE,BETTER,WORSE,0.8,216
Q2711799276,"The shuttle is a decent space truck, but we need a cheaper (and safer) space ""bus.""",truck,bus,BETTER,NONE,WORSE,0.8,83
Q2717239590,The sooner people stop buying these Lexus things the better as I'm sick of people saying how nice it is when they are considering a new Audi etc. It's a stinking over priced Toyota - get over it!!!,Lexus,Audi,WORSE,BETTER,NONE,0.8333333333333334,197
Q2736487353,"The thing is that when I look at Ruby, or maybe Groovy or Scala is even better since they're closer to Java, these languages have sets of features that support each other.",Groovy,Java,BETTER,BETTER,WORSE,1.0,171
Q2750908162,The USB 3.0 port enables 10 times faster file transfer while the Bluetooth and WLAN IEEE 802.11 ac standards enable network communications.,USB,Bluetooth,NONE,NONE,BETTER,1.0,139
Q2753828157,"The vaunted Intel roadmap is nice, but no nicer than the AMD roadmap, and nothing that IBM couldn't have matched.",Intel,IBM,NONE,NONE,WORSE,1.0,113
Q2761387385,"The whole Florida line didn't play well versus missouri, but was better against georgia.",missouri,georgia,BETTER,BETTER,NONE,0.8,88
Q2771987524,"They are more reliable than Apple, less expensive than Dell, and just plain better overall.",Apple,Dell,BETTER,BETTER,NONE,1.0,91
Q2774278666,They are very nice - with solid wood backs (not the cheap cardboard back type).,wood,cardboard,NONE,NONE,BETTER,1.0,79
Q2776529464,"They can't be bothered to trade in their old Honda Accord for a new $100,000 BMW or Mercedes because the fancy new car won't get them anywhere any faster than the existing car.",Honda,BMW,NONE,NONE,BETTER,1.0,176
R2777962701,They cut off tennis coverage to show us Women's college basketball or even worse little league baseball...,tennis,baseball,WORSE,NONE,BETTER,1.0,106
R2816819765,"This colleague, let's call him Phil, was a role model of self-taught analysis-programming physicists, until he decided that choosing a script language like Python for the said task was completely insane, because, you know, Bash scripts do things much faster, don't they?",Python,Bash,NONE,NONE,WORSE,1.0,270
R2820815780,"This does NOT have to be Bluetooth tethering, by the way, I'm perfectly content to do this via USB if it makes things easier.",Bluetooth,USB,NONE,BETTER,WORSE,0.8,125
R2828645977,"This implementation is based on Integer arithmetic, while the second-generation versions RANLXS and RANLXD described above provide Floating-point implementations which will be faster on many platforms.",Integer,Floating-point,NONE,NONE,WORSE,1.0,201
R2832672616,"This is all done via the gigabit Ethernet interface, rather than the much slower USB interface.",Ethernet,USB,WORSE,NONE,BETTER,1.0,95
R2839991108,"This is most likely done to optimize for Integer calculations, rather than slower Floating-point math.",Integer,Floating-point,BETTER,BETTER,NONE,1.0,102
R2842758063,This is one where a company like Dell can dominate a company like Apple that makes a better product.,Dell,Apple,NONE,NONE,BETTER,0.8,100
R2847891401,"This is updated to take full advantage of Java 8. - Scala is slightly nicer some syntactic flourishments (for comprehensions, pattern matching), but it's not necessary.",Java,Scala,NONE,NONE,WORSE,1.0,168
R2848866556,"This is where Scala stops being a better Java, in the sense Groovy is, and becomes its own language.",Scala,Java,BETTER,NONE,WORSE,1.0,100
R2849215469,"This is why it is easier to install Windows 98 first, then Windows XP.",Windows 98,Windows XP,NONE,NONE,BETTER,1.0,70
R2849512597,"This is Windows XP not Vista !! Windows Vista has nicer desktop than xp, because it has more additional features.",Windows XP,Windows Vista,NONE,NONE,WORSE,0.8,113
R2861649606,"This post looks at Pepsi-Cola, a huge multinational corporation that's trying harder and harder to catch up to number one, Coca-Cola.",Pepsi,Coca-Cola,NONE,NONE,WORSE,1.0,133
R2862116213,This printer has always been slow but it's even slower now that I'm using a USB connection instead of Ethernet.,USB,Ethernet,NONE,NONE,WORSE,0.8,111
R2870085823,"This's the first kernel I'm running on this board; it's a Gigabyte with H61 chipset; what about you? _________________ Buy from companies supporting opensource -- IBM, Dell, HP, Hitachi, Google etc... Disfavor companies supporting only Win -- Logitech, Epson, Pioneer, Kingston, WD, Yahoo, MSI, XFX, Huawei My blog",Google,Kingston,BETTER,BETTER,NONE,1.0,314
R2877716398,This was one of my favourite games on the ps2 and looks fantastic on the ds: the same but better!,ps2,ds,NONE,NONE,WORSE,1.0,97
R2892724872,"Thoughts that day turned not to coffee, but to water and juice, the cooler the better.",coffee,juice,NONE,NONE,WORSE,1.0,86
R2922617051,"To make this delectable side bread, it's easier that saying pizza pie!",bread,pizza,BETTER,NONE,WORSE,0.8,70
R2924455060,"Tomorrow, the ps2 and some WALL-E (I can not play that game on the ds anymore, cuz it is sooooo much slower, more boring, and all you can do is make/throw cubes).",ps2,ds,NONE,NONE,BETTER,0.6,162
R2934555772,"To that I say crap, America does is better then any other country on the planet, America always has done it better, and we always will, so if you want to help your country, buy American products, buy the LG TV rather then the Samsung, buy the Chevrolet rather then the Toyota.",Chevrolet,Toyota,NONE,NONE,BETTER,1.0,276
R2938116469,"Toyota continues to dominate the market with an excellent 21.2% share this month thanks to 884 sales, ahead of BMW very solid at 631 units and 15.1% vs. 13% year-to-date, Mercedes with 510 sales and 12.2% and Volkswagen at 456 units and 10.9% vs. 9.1% year-to-date.",Toyota,BMW,NONE,NONE,BETTER,1.0,265
S2948497211,Try shooting a wedding on a manual focus Hasselblad and a Nikon F3 or worse still a Leica ;),Nikon,Leica,NONE,NONE,BETTER,0.8,92
S2960568812,Ubuntu/Mint is definitely slower than Windows 7 and Windows 8 is faster than that.,Windows 7,Windows 8,NONE,NONE,WORSE,1.0,82
S2962396197,"Ultimately I decided on Scala as it provided an easier transition, was more mature, had greater community support, better interoperability with existing Java code, and a nicer syntax.",Scala,Java,BETTER,WORSE,NONE,1.0,183
S2963080921,"Umberto, if you read my post carefully, you will see that I never say that Objective-C is superior as a language to Java.",Objective-C,Java,BETTER,BETTER,NONE,0.6,121
S2964316598,"Undefeated missouri jumped ahead of michigan State by winning 51-28 at Vanderbilt, and the Commodores are a better team than Iowa in my estimation.",missouri,michigan,NONE,NONE,BETTER,1.0,147
S2969102354,"Unfortunately, the Bluetooth mouse goes through batteries much faster than ""regular"" USB wireless mice do.",Bluetooth,USB,BETTER,BETTER,WORSE,0.6,106
S2973030164,"Unless you are working experienced Python web developers, PHP is easier to get started with.",Python,PHP,NONE,NONE,WORSE,1.0,92
S2973160638,"Unless you need USB 3.0, or better Bluetooth, or Fusion drive or something like that.....",USB,Bluetooth,NONE,NONE,WORSE,1.0,89
S2984110393,"Users of Windows 98 and previous versions will find Windows XP a change for the better, but it isn?t really much of an improvement over Windows 2000 or ME.",Windows 98,Windows XP,NONE,NONE,WORSE,1.0,155
S3002530523,Video: michigan not much better at policing abortion mills than pennsylvania,michigan,pennsylvania,BETTER,NONE,WORSE,1.0,76
S3005048842,"virginia coach Tony Bennett said georgia Tech is ""a better team"" this season.",virginia,georgia,NONE,NONE,WORSE,0.8,77
S3005172629,"virginia Tech put together a solid drive, but michigan forced a 37-yard field goal.",virginia,michigan,NONE,NONE,WORSE,0.8,83
S3008428816,"Volkswagen improves slightly slower than the market at +28% to 10% share in May, followed by Peugeot (+52%), Mercedes (+29%), BMW (+14%), Nissan up a gargantuan 79% and Ford up an equally impressive 78%.",Nissan,Ford,NONE,NONE,BETTER,0.6,203
S3024103739,We also plan to add Bluetooth support later but we do encourage our users to stay with USB for faster download.,Bluetooth,USB,NONE,NONE,WORSE,1.0,111
S3028376121,"We are looking at maybe moving to IBM hardware 2006/7 though whether that will be any better than Dell remains to be seen, I suspect not from what I have heard.",IBM,Dell,BETTER,BETTER,NONE,1.0,160
S3033272482,"We believe that your upgrade experience in Windows 8 will be a breeze by offering a faster experience, a single upgrade path, and compatibility from prior versions of Windows, ' Microsoft's Brandon LeBlanc claimed in a statement which handily overlooks the fact that upgrades from Windows XP won't migrate any programs or settings.",Windows 8,Windows XP,NONE,NONE,BETTER,1.0,331
S3037069425,"We chose for PostgreSQL (not to start an MySQL pg flamewar, but pg was the more suitable for our purposes) because it's open, and thus safer.",PostgreSQL,MySQL,NONE,NONE,BETTER,1.0,141
S3046779983,"We got some developers in the team that just started coming to Java from Delphi, so they already have some work to do, and Groovy is easier for its learning curve; also, pretty productive.",Java,Groovy,NONE,NONE,WORSE,1.0,188
S3047568913,"We had an option to go West, but the starter housing prices at the time in california made the decision to come to georgia a bit easier.",california,georgia,NONE,NONE,WORSE,1.0,136
S3058257909,"We know that Windows Vista is a lot harder to counterfeit than Windows XP, but we also know that pirates will keep trying,"" he closes.",Windows Vista,Windows XP,WORSE,WORSE,BETTER,1.0,134
S3074001085,We obviously linked to youtube above even though hulu has superior quality and content.,youtube,hulu,NONE,NONE,WORSE,1.0,87
S3074504449,"We often hear that Apple ""plays the game"" better than Sony, HP, Dell, etc - that's not quite right.",Apple,Sony,BETTER,BETTER,NONE,1.0,99
S3076590768,"We reached to 10k websites as we speak, and we find it 100x harder to run Python than PHP.",Python,PHP,BETTER,BETTER,WORSE,1.0,90
S3082464864,We say 'Java is the gateway to hell.' Lisp is just a better alternative to the intelligent Internet: It runs on 14 different platforms and doesn't need any type of virtual machine because it compiles directly to native machine instructions on all popular microprocessor architectures.',Java,Lisp,NONE,NONE,WORSE,0.6,285
S3089779542,"We use tennis balls to start because it's safer -- less chance of getting hurt,"" said Wes Hogan of Bartlett, Wolf Pack hockey Club organizer.",tennis,hockey,NONE,NONE,BETTER,0.8,141
S3089891317,"We usually don't like Microsoft, but I don't think they are worse than Google.",Microsoft,Google,WORSE,WORSE,BETTER,1.0,78
S3090092782,We've all seen these benchmarks where Python is 10 or even 100 times slower than Java or C#.,Python,Java,BETTER,BETTER,WORSE,1.0,92
S3090946788,We've found that downloads are generally slower in Windows Vista and 7 compared to Windows XP.,Windows Vista,Windows XP,NONE,BETTER,WORSE,0.8,94
S3102273273,What better ingredient to pair with cranberry juice than tea!,juice,tea,BETTER,BETTER,NONE,1.0,61
S3107985328,What if I can't find any aspect of PHP that is better than Ruby?,PHP,Ruby,BETTER,BETTER,NONE,1.0,64
S3108011691,"What if I have an integrated Intel card that only supports OpenGL 2.1, but for some reason supports Direct3D 10, which is apparently the better ""programmable"" version?",OpenGL,Direct3D,NONE,NONE,WORSE,1.0,167
S3113696778,What Perl can do better than Ruby and vice versa,Perl,Ruby,BETTER,BETTER,NONE,1.0,48
S3113863522,"What puzzles him, though, is that with hundreds of millions of computers still running Windows XP-and Microsoft keener than ever to get their owners to migrate to Windows 7, if not Windows 8-the least the firm might have done is to make the whole upgrade path a good deal easier road to travel.",Windows XP,Windows 8,BETTER,BETTER,NONE,1.0,294
S3114283329,What's better about Ruby than Python?,Ruby,Python,BETTER,BETTER,NONE,1.0,37
T3123181941,"When compared to the Ford products we owned before, the Toyota vehicles have been a better experience for us.",Ford,Toyota,NONE,NONE,WORSE,1.0,109
T3123186443,"When compared to Windows 7 , Windows 8 has a faster booting time .",Windows 7,Windows 8,NONE,NONE,WORSE,0.8,66
T3125206666,When giving presentations I find it easier to carry around my ipod and A/V chord instead of a laptop and chords.,ipod,laptop,NONE,NONE,BETTER,1.0,112
T3149667042,Where marketshare matters more -- the tablet market -- Apple dominates over Google and inferior competitors such as Microsoft and Blackberry .,Google,Microsoft,NONE,NONE,BETTER,1.0,142
T3157630763,"While Direct3D works, OpenGL seems to give better texture quality and smoother frame rate in CS1.6.",Direct3D,OpenGL,NONE,BETTER,WORSE,0.6,99
T3157696699,"While dozens of manufacturers will gladly slap an Intel, Microsoft, or NVIDIA advertisement on the palmrest of your brand new laptop, Google knows better than to partake in this annoying practice.",Intel,Google,NONE,NONE,WORSE,1.0,196
T3158179522,"While Gordon's Chevrolet excelled at the end, Busch's Toyota never got better.",Chevrolet,Toyota,NONE,NONE,BETTER,1.0,78
T3159828573,"While it is certainly true that few companies posted big wins in the equity markets this week, it remains striking that Google underperformed Oracle, IBM, Apple, Microsoft, and Yahoo! (all of whom posted losses much closer to those of NASDAQ) and HP did even worse.",Google,IBM,NONE,NONE,WORSE,1.0,265
T3161353899,"While Motorola has diminished, Samsung has excelled",Motorola,Samsung,NONE,NONE,WORSE,0.6,51
T3162418183,"While recognized as a great basketball player, he was only mediocre on the baseball diamond.",basketball,baseball,NONE,NONE,BETTER,1.0,92
