,caption,gold,id,most_frequent_percentage,object_a,object_b,origin,paths,pred_if,pred_lex,predicted,repeated,s_len,sentence,sentencer
H1182606824,middle_paths_unrestricted_16,ARG,,0.8,ipod,laptop,lex (unique),"[[""X/PROPN/compound/> touch/PROPN/ROOT/^ '/VERB/conj/< come/VERB/advcl/<"", 'on/ADP/prep/< Y/PROPN/pobj/<'], [""X/PROPN/compound/> touch/PROPN/ROOT/^ '/VERB/conj/< come/VERB/advcl/<"", 'on/ADP/prep/< my/ADJ/poss/V Y/PROPN/pobj/<'], [""X/PROPN/compound/> touch/PROPN/ROOT/^ '/VERB/conj/< come/VERB/advcl/<"", 'on/ADP/prep/< macbook/PROPN/compound/V Y/PROPN/pobj/<'], [""X/PROPN/compound/> touch/PROPN/ROOT/^ '/VERB/conj/< come/VERB/advcl/<"", 'on/ADP/prep/< pro/PROPN/compound/V Y/PROPN/pobj/<']]",,,NONE,True,138,"I'll get my AOL instantly on my Blackberry, and instantly on my ipod Touch, but it's a lot slower coming through on my MacBook Pro laptop.","I'll get my AOL instantly on my Blackberry, and instantly on my ipod"", ""Touch, but it's a lot slower coming through on my MacBook Pro laptop."
H1187070887,middle_paths_unrestricted_16,ARG,,1.0,Chevrolet,Ford,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/dobj/<'], [""X/PROPN/ROOT/^ '/VERB/conj/V Y/PROPN/dobj/<""], ['X/PROPN/ROOT/^ be/VERB/advcl/V Y/PROPN/dobj/<']]",,,NONE,False,130,"I loved the look of Chevrolet and that's what I really wanted, but if the price was better, a Ford would have suited me just fine.","I loved the look of Chevrolet and that's what I really wanted, but if"", 'the price was better, a Ford would have suited me just fine."
H1188147033,middle_paths_unrestricted_16,NONE,,0.6,Leica,Nikon,lex (unique),"[['X/PROPN/npadvmod/> miss/VERB/ROOT/^ override/NOUN/npadvmod/<', 'of/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/npadvmod/> miss/VERB/ROOT/^ override/NOUN/npadvmod/<', 'of/ADP/prep/< my/ADJ/poss/V Y/PROPN/pobj/<']]",,,ARG,False,329,"i love my GF1 but i will like the Gf2 to became a rangefinder, i need a finder sometimes, a real finder on the corner like a Leica, i'm also missing the focus , manual override of my Nikon lenses, and i believe in the systme, we will have more and more lenses from diferente brands and high ISO will be better in the early years,","i love my GF1 but i will like the Gf2 to became a rangefinder, i need', ""a finder sometimes, a real finder on the corner like a Leica, i'm also"", 'missing the focus , manual override of my Nikon lenses, and i believe', 'in the systme, we will have more and more lenses from diferente brands', 'and high ISO will be better in the early years,"
H1188824574,middle_paths_unrestricted_16,ARG,,1.0,Sony,Dell,lex (unique),"[['X/PROPN/compound/> laptop/NOUN/ROOT/^ better/ADV/conj/<', 'than/ADP/prep/< one/NOUN/pobj/< come/VERB/relcl/< with/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/compound/> laptop/NOUN/ROOT/^ better/ADV/conj/<', 'than/ADP/prep/< one/NOUN/pobj/< come/VERB/relcl/< with/ADP/prep/<', 'my/ADJ/poss/V Y/PROPN/pobj/<']]",,,NONE,True,170,"I love the Apple Bluetooth keyboard , which is even better than the keyboard on my 18-inch Sony VAIO laptop and way better than the one that came with my Dell desktop PC.","I love the Apple Bluetooth keyboard , which is even better than the', 'keyboard on my 18-inch Sony VAIO laptop and way better than the one', 'that came with my Dell desktop PC."
H1190314120,middle_paths_unrestricted_16,ARG,,1.0,Groovy,Java,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ good/ADJ/advmod/V Y/PROPN/pobj/<']]",,,NONE,False,53,"I love working in Groovy, it's tons better than Java.","I love working in Groovy, it's tons better than Java."
H1193463957,middle_paths_unrestricted_16,NONE,,1.0,coffee,juice,lex (unique),"[['X/PROPN/nsubj/> lend/VERB/ROOT/^ help/VERB/advcl/< Y/PROPN/dobj/<'], ['X/PROPN/nsubj/> lend/VERB/ROOT/^ help/VERB/advcl/< the/DET/det/V', 'Y/PROPN/dobj/<'], ['X/PROPN/nsubj/> lend/VERB/ROOT/^ help/VERB/advcl/<', 'orange/NOUN/compound/V Y/PROPN/dobj/<']]",,,ARG,False,93,imagine if the coffee could lend a little of its energy to help the orange juice stay cooler.,"imagine if the coffee could lend a little of its energy to help the', 'orange juice stay cooler."
H1195869632,middle_paths_unrestricted_16,ARG,,1.0,Perl,PHP,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ believe/VERB/advcl/V Y/PROPN/pobj/<']]",,,NONE,True,91,"I'm asking about Perl because I believe it is more stable, more secure and faster than PHP.","I'm asking about Perl because I believe it is more stable, more secure"", 'and faster than PHP."
H1213407500,middle_paths_unrestricted_16,NONE,,1.0,Swift,Objective-C,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ into/ADP/prep/V Y/PROPN/pobj/<']]",,,ARG,False,32,Importing Swift into Objective-C,Importing Swift into Objective-C
H1217441506,middle_paths_unrestricted_16,ARG,,0.8,Google,IBM,lex (unique),[['NOPATH']],,,NONE,True,177,I'm sure Google wants to move faster than the JCP would allow and probably has made changes and tailored Harmony to suit their needs in such a way that Oracle/IBM wouldn't like.,"I'm sure Google wants to move faster than the JCP would allow and"", 'probably has made changes and tailored Harmony to suit their needs in', ""such a way that Oracle/IBM wouldn't like."
I1243050773,middle_paths_unrestricted_16,ARG,,0.8,Nokia,Motorola,lex (unique),[['X/PROPN/nsubj/> win/VERB/ROOT/^ Y/PROPN/dobj/<']],,,NONE,False,40,"In brief, Nokia will never win Motorola.","In brief, Nokia will never win Motorola."
I1257165572,middle_paths_unrestricted_16,ARG,,1.0,Amazon,Google,lex (unique),[['X/PROPN/nsubj/> do/VERB/ROOT/^ in/ADP/prep/< Y/PROPN/pobj/<']],,,NONE,False,56,"In fact, Amazon did poorly in Google overall in general.","In fact, Amazon did poorly in Google overall in general."
I1262972660,middle_paths_unrestricted_16,ARG,,0.6,Integer,Floating-point,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ or/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ run/VERB/conj/V Y/PROPN/pobj/<']]",,,NONE,True,108,"In FPGAs, Integer or fixed-point math can often run 10 to 100 times faster than Floating-point computations.","In FPGAs, Integer or fixed-point math can often run 10 to 100 times', 'faster than Floating-point computations."
I1270904407,middle_paths_unrestricted_16,NONE,,0.6,Java,Smalltalk,lex (unique),"[['X/PROPN/nsubj/> seem/VERB/ROOT/^ close/ADJ/oprd/< to/PART/prep/<', 'Y/PROPN/pobj/<']]",,,ARG,True,57,"In many ways, Java seems closer to Smalltalk than to C++.","In many ways, Java seems closer to Smalltalk than to C++."
I1285133819,middle_paths_unrestricted_16,ARG,,1.0,Siemens,Nokia,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ be/VERB/relcl/V Y/PROPN/pobj/<']]",,,NONE,True,315,"(In saying that, at least they were successful to begin with - I recall seeing similar stupidity from Siemens, who've never been anywhere near as good at making decent phones as Nokia, and whose reaction to having inadvertently produced a decent handset was to panic and junk it before anyone had time to notice...)","(In saying that, at least they were successful to begin with - I', ""recall seeing similar stupidity from Siemens, who've never been"", 'anywhere near as good at making decent phones as Nokia, and whose', 'reaction to having inadvertently produced a decent handset was to', 'panic and junk it before anyone had time to notice...)"
I1287269570,middle_paths_unrestricted_16,NONE,,1.0,Smalltalk,Java,lex (unique),"[[""X/PROPN/npadvmod/> 'm/VERB/ROOT/^ Y/PROPN/attr/<""]]",,,ARG,False,77,In Smalltalk (I'm a Java developer by trade though) I'd write something like:,"In Smalltalk (I'm a Java developer by trade though) I'd write"", 'something like:"
I1294308631,middle_paths_unrestricted_16,ARG,,1.0,cement,concrete,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ bad/ADJ/amod/V Y/PROPN/conj/<']]",,,NONE,False,74,In summary - a plaigarized technology - a bad cement and a worse concrete.,"In summary - a plaigarized technology - a bad cement and a worse', 'concrete."
I1295237559,middle_paths_unrestricted_16,NONE,,0.6,Intel,Microsoft,lex (unique),"[['X/PROPN/nsubj/> scale/VERB/ROOT/^ collaborate/VERB/conj/<', 'with/ADP/prep/< Y/PROPN/pobj/<']]",,,ARG,False,124,"Intel also faster, scale them farther, and achieve collaborated closely with Microsoft on the mission-critical availability.","Intel also faster, scale them farther, and achieve collaborated', 'closely with Microsoft on the mission-critical availability."
I1296402453,middle_paths_unrestricted_16,NONE,,1.0,Dell,Intel,lex (unique),"[['X/PROPN/nsubj/> offer/VERB/ROOT/^ in/ADP/prep/< time/NOUN/pobj/<', 'Y/PROPN/relcl/<'], ['X/PROPN/nsubj/> offer/VERB/ROOT/^ in/ADP/prep/< time/NOUN/pobj/<', 'where/ADV/advmod/V Y/PROPN/relcl/<']]",,,ARG,False,189,"Interestingly enough, Dell will offer a 2P Opteron server in a time where Intel is considered to offer a very competitive or even superior solution with its Xeon 5100 ""Woodcrest"" processor.","Interestingly enough, Dell will offer a 2P Opteron server in a time', 'where Intel is considered to offer a very competitive or even superior', 'solution with its Xeon 5100 ""Woodcrest"" processor."
I1301096258,middle_paths_unrestricted_16,ARG,,1.0,Perl,PHP,lex (unique),[['X/PROPN/compound/> be/VERB/ROOT/^ deploy/VERB/ccomp/< Y/PROPN/dobj/<']],,,NONE,True,117,"In the age of BP, deploying solid Perl web applications was significantly harder than say deploying PHP applications.","In the age of BP, deploying solid Perl web applications was', 'significantly harder than say deploying PHP applications."
I1301892343,middle_paths_unrestricted_16,ARG,,1.0,pizza,sandwich,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/nsubj/> be/VERB/ROOT/^ the/DET/det/V Y/PROPN/conj/<']]",,,NONE,False,112,In the Cafe Promenade the pizza was good but the sandwich selection could have been better compared to Carnival.,"In the Cafe Promenade the pizza was good but the sandwich selection', 'could have been better compared to Carnival."
I1303314324,middle_paths_unrestricted_16,NONE,,1.0,pennsylvania,carolina,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/appos/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/appos/<'], ['X/PROPN/ROOT/^ mexico/PROPN/conj/V Y/PROPN/appos/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/appos/<'], ['X/PROPN/ROOT/^ be/VERB/conj/V Y/PROPN/appos/<'], ['X/PROPN/ROOT/^ north/PROPN/compound/V Y/PROPN/appos/<']]",,,ARG,False,220,"In the days before the conventions begin, Obama has taken a solid lead in Minnesota, leads outside the margin of error in Michigan, pennsylvania and New Mexico, and he is within 2% in red Florida, North carolina, Nevada.","In the days before the conventions begin, Obama has taken a solid lead', 'in Minnesota, leads outside the margin of error in Michigan,', 'pennsylvania and New Mexico, and he is within 2% in red Florida, North', 'carolina, Nevada."
I1315295589,middle_paths_unrestricted_16,ARG,,0.6,Java,PHP,lex (unique),[['NOPATH']],,,NONE,True,97,In the work I've done so far I've come across numerous things that make Java better than PHP IMO:,"In the work I've done so far I've come across numerous things that"", 'make Java better than PHP IMO:"
I1327242487,middle_paths_unrestricted_16,NONE,,0.4,iOS,Apple TV,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ with/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> be/VERB/ROOT/^ with/ADP/prep/< plus/CONJ/cc/V', 'Y/PROPN/pobj/<']]",,,ARG,False,73,iOS is easier to play with plus Apple TV is better than Chrome (for now).,"iOS is easier to play with plus Apple TV is better than Chrome (for', 'now)."
I1330428245,middle_paths_unrestricted_16,NONE,,1.0,california,oregon,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ or/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ one/NOUN/conj/V Y/PROPN/pobj/<']]",,,ARG,True,87,I prefer pinot noir from cooler growing areas in california or ones produced in oregon.,"I prefer pinot noir from cooler growing areas in california or ones', 'produced in oregon."
I1335759347,middle_paths_unrestricted_16,ARG,,1.0,Windows 8,Windows 7,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ but/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ have/VERB/conj/V Y/PROPN/pobj/<']]",,,NONE,True,73,"i really like Windows 8, but i have to admit that i like Windows 7 better","i really like Windows 8, but i have to admit that i like Windows 7', 'better"
I1335809216,middle_paths_unrestricted_16,ARG,,1.0,Windows 8,Windows 7,lex (unique),"[['X/PROPN/nsubj/> think/VERB/ROOT/^ Y/PROPN/ccomp/<'], ['X/PROPN/nsubj/> but/CONJ/cc/V think/VERB/ROOT/^ Y/PROPN/ccomp/<']]",,,NONE,True,60,i really loved Windows 8 but i think Windows 7 is better....,i really loved Windows 8 but i think Windows 7 is better....
I1350052718,middle_paths_unrestricted_16,ARG,,1.0,Java,Python,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ fast/ADJ/acomp/V Y/PROPN/pobj/<']]",,,NONE,True,91,Is Java really that much faster than Python or is there some serious optimization going on?,"Is Java really that much faster than Python or is there some serious', 'optimization going on?"
I1351789341,middle_paths_unrestricted_16,ARG,,0.6,PHP,Perl,lex (unique),[['NOPATH']],,,NONE,True,42,I so much disagree... PHP safer than Perl?,I so much disagree... PHP safer than Perl?
I1352567657,middle_paths_unrestricted_16,ARG,,1.0,PHP,Perl,lex (unique),[['NOPATH']],,,NONE,True,35,Is PHP better than Perl? - Discuss.,Is PHP better than Perl? - Discuss.
I1361562997,middle_paths_unrestricted_16,ARG,,0.6,Nikon,Leica,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ at/ADP/prep/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ feel/VERB/conj/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ the/DET/det/V Y/PROPN/pobj/<']]",,,NONE,False,92,I switched from Nikon at the time and feel the camera build quality of the Leica was better.,"I switched from Nikon at the time and feel the camera build quality of', 'the Leica was better."
I1365028328,middle_paths_unrestricted_16,ARG,,0.8333333333333334,plywood,lumber,lex (unique),"[['X/PROPN/nsubj/> swell/VERB/ROOT/^ crack/VERB/conj/< like/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> swell/VERB/ROOT/^ crack/VERB/conj/< like/ADP/prep/<', 'solid/ADJ/amod/V Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> swell/VERB/ROOT/^ crack/VERB/conj/< like/ADP/prep/<', 'sawed/ADJ/amod/V Y/PROPN/pobj/<']]",,,NONE,False,105,It also results in extra dimensional stability -- plywood doesn't swell or crack like solid sawed lumber.,"It also results in extra dimensional stability -- plywood doesn't"", 'swell or crack like solid sawed lumber."
I1368119323,middle_paths_unrestricted_16,ARG,,1.0,Perl,PHP,lex (unique),"[['X/PROPN/compound/> code/NOUN/ROOT/^ quickly/ADV/advmod/<', 'slow/ADJ/conj/< in/ADP/prep/< Y/PROPN/pobj/<']]",,,NONE,False,66,It can be very easy to change Perl code quickly but slower in PHP.,It can be very easy to change Perl code quickly but slower in PHP.
I1370990630,middle_paths_unrestricted_16,ARG,,0.8,PHP,JavaScript,lex (unique),"[['X/PROPN/npadvmod/> have/VERB/ROOT/^ use/VERB/xcomp/< Y/PROPN/dobj/<'], ['X/PROPN/npadvmod/> but/CONJ/cc/V have/VERB/ROOT/^ use/VERB/xcomp/<', 'Y/PROPN/dobj/<']]",,,NONE,False,76,It'd be a lot easier (for me) in PHP but I have to use JavaScript this time.,"It'd be a lot easier (for me) in PHP but I have to use JavaScript this"", 'time."
I1389095408,middle_paths_unrestricted_16,NONE,,1.0,PostgreSQL,Oracle,lex (unique),"[['X/PROPN/nsubj/> support/VERB/ROOT/^ be/VERB/advcl/<', 'question/NOUN/conj/< via/ADP/prep/< Y/PROPN/pobj/<']]",,,ARG,True,178,"I think PostgreSQL can support all syntax H.Q. Is more easy created question via Oracle syntax, and processing is faster (maybe better optimalisation now), than ANSI WITH syntax.","I think PostgreSQL can support all syntax H.Q. Is more easy created', 'question via Oracle syntax, and processing is faster (maybe better', 'optimalisation now), than ANSI WITH syntax."
I1392685976,middle_paths_unrestricted_16,ARG,,1.0,Toyota,Nissan,lex (unique),"[['X/PROPN/nsubj/> stop/VERB/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/nsubj/> stop/VERB/ROOT/^ the/DET/det/V Y/PROPN/conj/<']]",,,NONE,True,70,"I think the Toyota stopped fine, but the Nissan was definitely better.","I think the Toyota stopped fine, but the Nissan was definitely better."
I1394951385,middle_paths_unrestricted_16,NONE,,0.6,Java,Objective-C,lex (unique),"[['X/PROPN/compound/> me/PROPN/ROOT/^ sdks/NOUN/conj/< like/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/compound/> me/PROPN/ROOT/^ sdks/NOUN/conj/< like/ADP/prep/<', 'the/DET/det/V Y/PROPN/pobj/<']]",,,ARG,True,116,I think you'd be much better off looking at Java ME or perhaps proprietary SDKs like the Objective-C SDK for iPhone.,"I think you'd be much better off looking at Java ME or perhaps"", 'proprietary SDKs like the Objective-C SDK for iPhone."
I1404072421,middle_paths_unrestricted_16,NONE,,1.0,BMW,Ferrari,lex (unique),"[['X/PROPN/dep/> Y/ADJ/ROOT/^'], ['X/PROPN/dep/> not/ADV/neg/V Y/ADJ/ROOT/^']]",,,ARG,False,23,"It is BMW, not Ferrari.","It is BMW, not Ferrari."
I1406247445,middle_paths_unrestricted_16,ARG,,0.6,Python,Java,lex (unique),[['NOPATH']],,,NONE,True,181,"It is faster and easier then Python, far easier than C++ or C#/Java, etc... Is commonly used as a embedded scripting language, and has a few wonderful libraries to get started with.","It is faster and easier then Python, far easier than C++ or C#/Java,', 'etc... Is commonly used as a embedded scripting language, and has a', 'few wonderful libraries to get started with."
J1411796379,middle_paths_unrestricted_16,ARG,,1.0,Honda,BMW,lex (unique),[['NOPATH']],,,NONE,True,131,"It isn't Honda good, but it is better than my old 2001 330Ci which felt like shifting a rubber band in 1-2 (even with the BMW SSK).","It isn't Honda good, but it is better than my old 2001 330Ci which"", 'felt like shifting a rubber band in 1-2 (even with the BMW SSK)."
J1413384229,middle_paths_unrestricted_16,ARG,,1.0,SQLite,MySQL,lex (unique),[['X/PROPN/dep/> use/VERB/ROOT/^ Y/PROPN/dobj/<']],,,NONE,True,195,"It is powered (OTS) by SQLite, but for larger systems can use MySQL (obviously quite capable), supports multiple playlists, global hotkeys, a decent search (no support for regex tho, AFAIK), etc.","It is powered (OTS) by SQLite, but for larger systems can use MySQL', '(obviously quite capable), supports multiple playlists, global', 'hotkeys, a decent search (no support for regex tho, AFAIK), etc."
J1424348462,middle_paths_unrestricted_16,ARG,,0.8,Java,Scala,lex (unique),[['X/ADJ/amod/> developer/NOUN/ROOT/^ Y/PROPN/conj/<']],,,NONE,True,96,"It might be easier to hire Java developers, but a Scala team will be able to get a lot more done","It might be easier to hire Java developers, but a Scala team will be', 'able to get a lot more done"
J1429211763,middle_paths_unrestricted_16,ARG,,1.0,Samsung,Nokia,lex (unique),[['NOPATH']],,,NONE,False,142,I traded in a much nicer Samsung cell phone for a lesser (in terms of bells and whistles) Nokia phone because I just like their layout better.,"I traded in a much nicer Samsung cell phone for a lesser (in terms of', 'bells and whistles) Nokia phone because I just like their layout', 'better."
J1432025339,middle_paths_unrestricted_16,ARG,,1.0,Google,Microsoft,lex (unique),"[['X/PROPN/neg/> Y/PROPN/ROOT/^'], ['X/PROPN/neg/> good/ADJ/compound/V Y/PROPN/ROOT/^']]",,,NONE,True,51,I trust Google about 1% better than I do Microsoft.,I trust Google about 1% better than I do Microsoft.
J1444905287,middle_paths_unrestricted_16,ARG,,0.4,baseball,football,lex (unique),"[['X/PROPN/compound/> movie/NOUN/ROOT/^ basketball/NOUN/conj/<', 'Y/PROPN/conj/<']]",,,NONE,True,94,Its easier to create a mediocre baseball movie than and mediocre basketball or football movie.,"Its easier to create a mediocre baseball movie than and mediocre', 'basketball or football movie."
J1468455593,middle_paths_unrestricted_16,ARG,,0.8,Lisp,Java,lex (unique),"[['X/PROPN/npadvmod/> have/VERB/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/npadvmod/> have/VERB/ROOT/^ that/ADJ/mark/V Y/PROPN/conj/<']]",,,NONE,True,228,"It still doesn't have macros the way Lisp does and it doesn't have sexprs (yes, I really do like the parenthesis), but it is a better follow-on to C than C++ and still hits the system-programming domain that Java missed so bady.","It still doesn't have macros the way Lisp does and it doesn't have"", 'sexprs (yes, I really do like the parenthesis), but it is a better', 'follow-on to C than C++ and still hits the system-programming domain', 'that Java missed so bady."
J1471041800,middle_paths_unrestricted_16,ARG,,0.8,Python,Perl,lex (unique),[['NOPATH']],,,NONE,True,48,It's what makes Python easier to test than Perl.,It's what makes Python easier to test than Perl.
J1479385783,middle_paths_unrestricted_16,ARG,,0.4,Samsung,Nokia,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ see/VERB/advcl/V Y/PROPN/pobj/<']]",,,NONE,True,74,It was easier for Samsung to see what was happening than it was for Nokia.,"It was easier for Samsung to see what was happening than it was for', 'Nokia."
J1484607005,middle_paths_unrestricted_16,ARG,,0.6,sandwich,soup,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ good/ADJ/conj/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ can/VERB/amod/V Y/PROPN/pobj/<']]",,,NONE,True,67,It was quite good with a sandwich and better than most canned soup.,It was quite good with a sandwich and better than most canned soup.
J1491860466,middle_paths_unrestricted_16,NONE,,0.8,Apple,Intel,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ switch/VERB/acl/V Y/PROPN/pobj/<']]",,,ARG,True,99,It would be interesting to see if Apple switching to Intel means macs are better at games (or not).,"It would be interesting to see if Apple switching to Intel means macs', 'are better at games (or not)."
J1500520082,middle_paths_unrestricted_16,ARG,,0.6,PostgreSQL,MySQL,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ 9.2/NUM/nummod/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ release/VERB/acl/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ perform/VERB/conj/V Y/PROPN/pobj/<']]",,,NONE,True,107,I've been using PostgreSQL 9.2 (officially released today) and it performs substantially better than MySQL.,"I've been using PostgreSQL 9.2 (officially released today) and it"", 'performs substantially better than MySQL."
J1501029538,middle_paths_unrestricted_16,ARG,,1.0,MySQL,PostgreSQL,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ know/VERB/parataxis/V Y/PROPN/dobj/<']]",,,NONE,False,90,I've compared Firebird with MySQL (don't know PostgreSQL so well) and it is really better.,"I've compared Firebird with MySQL (don't know PostgreSQL so well) and"", 'it is really better."
J1501267550,middle_paths_unrestricted_16,NONE,,1.0,Java,Haskell,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ lot/NOUN/appos/V Y/PROPN/pobj/<']]",,,ARG,False,166,"I've done a lot of C programming, a decent amount of Java, a lot of Matlab, some D and a lot of Haskell, but never really had a chance to program in C++ oddly enough.","I've done a lot of C programming, a decent amount of Java, a lot of"", 'Matlab, some D and a lot of Haskell, but never really had a chance to', 'program in C++ oddly enough."
J1512008411,middle_paths_unrestricted_16,ARG,,1.0,PHP,JavaScript,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ know/VERB/advcl/V Y/PROPN/pobj/<']]",,,NONE,False,54,I want to use PHP as I know it better than JavaScript.,I want to use PHP as I know it better than JavaScript.
J1513428786,middle_paths_unrestricted_16,NONE,,1.0,Intel,Dell,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ windows/PROPN/conj/V Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ get/VERB/relcl/V Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ the/DET/det/V Y/PROPN/dobj/<']]",,,ARG,False,116,"I was a noobie to Intel and Windows when I got the Dell, but I have to say that building a system is so much better.","I was a noobie to Intel and Windows when I got the Dell, but I have to', 'say that building a system is so much better."
J1517412012,middle_paths_unrestricted_16,ARG,,0.8,Leica,Nikon,lex (unique),[['NOPATH']],,,NONE,False,343,"I was merely Kidding :) ... As a photographer who does large prints(and needs a MF camera) the hasselblad is visibly superior than a Dx format camera, and as a street photographer the Leica is unnoticeable and often can foil as a Point n shoot but, If you want to go out and just take great pictures (like the ones you have)a Nikon is perfect.","I was merely Kidding :) ... As a photographer who does large', 'prints(and needs a MF camera) the hasselblad is visibly superior than', 'a Dx format camera, and as a street photographer the Leica is', 'unnoticeable and often can foil as a Point n shoot but, If you want to', 'go out and just take great pictures (like the ones you have)a Nikon is', 'perfect."
J1524498799,middle_paths_unrestricted_16,ARG,,1.0,Lisp,Python,lex (unique),[['NOPATH']],,,NONE,True,137,"I will admit to only one significant thing I like about Lisp better than Python, and that's easy programmatic manipulation of other code.","I will admit to only one significant thing I like about Lisp better', ""than Python, and that's easy programmatic manipulation of other code."
J1532423700,middle_paths_unrestricted_16,ARG,,1.0,USB,Bluetooth,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ assume/VERB/acl/V Y/PROPN/pobj/<']]",,,NONE,True,67,I would do it via USB (assuming that's much faster than Bluetooth).,I would do it via USB (assuming that's much faster than Bluetooth).
J1536598045,middle_paths_unrestricted_16,ARG,,0.8,PostgreSQL,MySQL,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ handle/VERB/advcl/V Y/PROPN/pobj/<']]",,,NONE,True,82,"I would recommend PostgreSQL, as it can handle hierarchical data better than MySQL","I would recommend PostgreSQL, as it can handle hierarchical data', 'better than MySQL"
