id,caption,sentence,object_a,object_b,predicted,gold,most_frequent_percentage,origin,sentencer,paths,s_len
I1389616809,middle_paths_unrestricted_16,- I think Swift is much more readable then Objective-C at this point.,Swift,Objective-C,WORSE,BETTER,1.0,lex (unique),- I think Swift is much more readable then Objective-C at this point.,"[['X/PROPN/nsubj/> be/VERB/ROOT/^ Y/PROPN/npadvmod/<'], ['X/PROPN/nsubj/> be/VERB/ROOT/^ then/ADV/advmod/V Y/PROPN/npadvmod/<']]",69
I1390985108,middle_paths_unrestricted_16,"I think the 750ti is a great card by Nvidia, specially for someone looking for a low power and low heat card, either with the MSI twin frozr or going custom aftermeket, but the GTX760 is also a great card, if you feel it furfill your needs better go for it.",Nvidia,MSI,WORSE,NONE,0.6,lex (unique),"I think the 750ti is a great card by Nvidia, specially for someone', 'looking for a low power and low heat card, either with the MSI twin', 'frozr or going custom aftermeket, but the GTX760 is also a great card,', 'if you feel it furfill your needs better go for it.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ for/ADP/prep/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ the/DET/det/V Y/PROPN/pobj/<']]",257
I1392685976,middle_paths_unrestricted_16,"I think the Toyota stopped fine, but the Nissan was definitely better.",Toyota,Nissan,NONE,WORSE,0.8,lex (unique),"I think the Toyota stopped fine, but the Nissan was definitely better.","[['X/PROPN/nsubj/> stop/VERB/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/nsubj/> stop/VERB/ROOT/^ the/DET/det/V Y/PROPN/conj/<']]",70
I1394951385,middle_paths_unrestricted_16,I think you'd be much better off looking at Java ME or perhaps proprietary SDKs like the Objective-C SDK for iPhone.,Java,Objective-C,WORSE,NONE,1.0,lex (unique),"I think you'd be much better off looking at Java ME or perhaps"", 'proprietary SDKs like the Objective-C SDK for iPhone.","[['X/PROPN/compound/> me/PROPN/ROOT/^ sdks/NOUN/conj/< like/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/compound/> me/PROPN/ROOT/^ sdks/NOUN/conj/< like/ADP/prep/<', 'the/DET/det/V Y/PROPN/pobj/<']]",116
I1406247445,middle_paths_unrestricted_16,"It is faster and easier then Python, far easier than C++ or C#/Java, etc... Is commonly used as a embedded scripting language, and has a few wonderful libraries to get started with.",Python,Java,NONE,BETTER,1.0,lex (unique),"It is faster and easier then Python, far easier than C++ or C#/Java,', 'etc... Is commonly used as a embedded scripting language, and has a', 'few wonderful libraries to get started with.",[['NOPATH']],181
J1411796379,middle_paths_unrestricted_16,"It isn't Honda good, but it is better than my old 2001 330Ci which felt like shifting a rubber band in 1-2 (even with the BMW SSK).",Honda,BMW,NONE,BETTER,1.0,lex (unique),"It isn't Honda good, but it is better than my old 2001 330Ci which"", 'felt like shifting a rubber band in 1-2 (even with the BMW SSK).",[['NOPATH']],131
J1413384229,middle_paths_unrestricted_16,"It is powered (OTS) by SQLite, but for larger systems can use MySQL (obviously quite capable), supports multiple playlists, global hotkeys, a decent search (no support for regex tho, AFAIK), etc.",SQLite,MySQL,NONE,WORSE,1.0,lex (unique),"It is powered (OTS) by SQLite, but for larger systems can use MySQL', '(obviously quite capable), supports multiple playlists, global', 'hotkeys, a decent search (no support for regex tho, AFAIK), etc.",[['X/PROPN/dep/> use/VERB/ROOT/^ Y/PROPN/dobj/<']],195
J1424348462,middle_paths_unrestricted_16,"It might be easier to hire Java developers, but a Scala team will be able to get a lot more done",Java,Scala,NONE,WORSE,0.8,lex (unique),"It might be easier to hire Java developers, but a Scala team will be', 'able to get a lot more done",[['X/ADJ/amod/> developer/NOUN/ROOT/^ Y/PROPN/conj/<']],96
J1428101866,middle_paths_unrestricted_16,I totally agree with your conclusion that Sony products are better off tham Apple products.,Sony,Apple,WORSE,BETTER,0.6,lex (unique),"I totally agree with your conclusion that Sony products are better off', 'tham Apple products.","[['X/ADJ/amod/> be/VERB/ROOT/^ Y/PROPN/xcomp/<'], ['X/ADJ/amod/> be/VERB/ROOT/^ tham/NOUN/compound/V Y/PROPN/xcomp/<']]",91
J1432025339,middle_paths_unrestricted_16,I trust Google about 1% better than I do Microsoft.,Google,Microsoft,NONE,BETTER,0.6,lex (unique),I trust Google about 1% better than I do Microsoft.,"[['X/PROPN/neg/> Y/PROPN/ROOT/^'], ['X/PROPN/neg/> good/ADJ/compound/V Y/PROPN/ROOT/^']]",51
J1444905287,middle_paths_unrestricted_16,Its easier to create a mediocre baseball movie than and mediocre basketball or football movie.,baseball,football,NONE,BETTER,1.0,lex (unique),"Its easier to create a mediocre baseball movie than and mediocre', 'basketball or football movie.","[['X/PROPN/compound/> movie/NOUN/ROOT/^ basketball/NOUN/conj/<', 'Y/PROPN/conj/<']]",94
J1446024704,middle_paths_unrestricted_16,It seems like Java loads slower than PHP is it so ?,Java,PHP,BETTER,WORSE,1.0,lex (unique),It seems like Java loads slower than PHP is it so ?,"[['X/ADJ/amod/> load/NOUN/ROOT/^ slow/ADJ/amod/< than/ADP/prep/<', 'Y/PROPN/pobj/<']]",51
J1456030841,middle_paths_unrestricted_16,It's more explicit and faster (especially since regex in Python is not super optimized like Perl).,Python,Perl,BETTER,WORSE,0.6,lex (unique),"It's more explicit and faster (especially since regex in Python is not"", 'super optimized like Perl).","[['X/PROPN/nsubj/> be/VERB/ROOT/^ optimize/VERB/acomp/< like/ADP/prep/<', 'Y/PROPN/pobj/<']]",98
J1468455593,middle_paths_unrestricted_16,"It still doesn't have macros the way Lisp does and it doesn't have sexprs (yes, I really do like the parenthesis), but it is a better follow-on to C than C++ and still hits the system-programming domain that Java missed so bady.",Lisp,Java,NONE,BETTER,1.0,lex (unique),"It still doesn't have macros the way Lisp does and it doesn't have"", 'sexprs (yes, I really do like the parenthesis), but it is a better', 'follow-on to C than C++ and still hits the system-programming domain', 'that Java missed so bady.","[['X/PROPN/npadvmod/> have/VERB/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/npadvmod/> have/VERB/ROOT/^ that/ADJ/mark/V Y/PROPN/conj/<']]",228
J1471041800,middle_paths_unrestricted_16,It's what makes Python easier to test than Perl.,Python,Perl,NONE,BETTER,1.0,lex (unique),It's what makes Python easier to test than Perl.,[['NOPATH']],48
J1479385783,middle_paths_unrestricted_16,It was easier for Samsung to see what was happening than it was for Nokia.,Samsung,Nokia,NONE,BETTER,1.0,lex (unique),"It was easier for Samsung to see what was happening than it was for', 'Nokia.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ see/VERB/advcl/V Y/PROPN/pobj/<']]",74
J1484607005,middle_paths_unrestricted_16,It was quite good with a sandwich and better than most canned soup.,sandwich,soup,NONE,BETTER,1.0,lex (unique),It was quite good with a sandwich and better than most canned soup.,"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ good/ADJ/conj/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ can/VERB/amod/V Y/PROPN/pobj/<']]",67
J1491860466,middle_paths_unrestricted_16,It would be interesting to see if Apple switching to Intel means macs are better at games (or not).,Apple,Intel,BETTER,NONE,1.0,lex (unique),"It would be interesting to see if Apple switching to Intel means macs', 'are better at games (or not).","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ switch/VERB/acl/V Y/PROPN/pobj/<']]",99
J1500520082,middle_paths_unrestricted_16,I've been using PostgreSQL 9.2 (officially released today) and it performs substantially better than MySQL.,PostgreSQL,MySQL,NONE,BETTER,1.0,lex (unique),"I've been using PostgreSQL 9.2 (officially released today) and it"", 'performs substantially better than MySQL.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ 9.2/NUM/nummod/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ release/VERB/acl/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ perform/VERB/conj/V Y/PROPN/pobj/<']]",107
J1501306550,middle_paths_unrestricted_16,I've done it before with Perl but I'm not particularly solid with PHP.,Perl,PHP,WORSE,NONE,1.0,lex (unique),I've done it before with Perl but I'm not particularly solid with PHP.,"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ but/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ be/VERB/conj/V Y/PROPN/pobj/<']]",70
J1522952692,middle_paths_unrestricted_16,"I watch fox, British newspapers, live feeds, even Reuters photos and worse, cnn reports..",fox,cnn,BETTER,NONE,0.8,lex (unique),"I watch fox, British newspapers, live feeds, even Reuters photos and', 'worse, cnn reports..","[['X/PROPN/nsubj/> live/VERB/ROOT/^ feed/NOUN/dobj/< Y/PROPN/appos/<'], ['X/PROPN/nsubj/> newspaper/NOUN/appos/V live/VERB/ROOT/^', 'feed/NOUN/dobj/< Y/PROPN/appos/<']]",89
J1524498799,middle_paths_unrestricted_16,"I will admit to only one significant thing I like about Lisp better than Python, and that's easy programmatic manipulation of other code.",Lisp,Python,NONE,BETTER,1.0,lex (unique),"I will admit to only one significant thing I like about Lisp better', ""than Python, and that's easy programmatic manipulation of other code.",[['NOPATH']],137
J1532423700,middle_paths_unrestricted_16,I would do it via USB (assuming that's much faster than Bluetooth).,USB,Bluetooth,NONE,BETTER,1.0,lex (unique),I would do it via USB (assuming that's much faster than Bluetooth).,"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ assume/VERB/acl/V Y/PROPN/pobj/<']]",67
J1536598045,middle_paths_unrestricted_16,"I would recommend PostgreSQL, as it can handle hierarchical data better than MySQL",PostgreSQL,MySQL,NONE,BETTER,1.0,lex (unique),"I would recommend PostgreSQL, as it can handle hierarchical data', 'better than MySQL","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ handle/VERB/advcl/V Y/PROPN/pobj/<']]",82
J1537561438,middle_paths_unrestricted_16,"I would think that dynamic languages (new dialects of Lisp, etc.) will see a renaissance in the medium-term future, simply because hardware is now available to accomodate these systems and languages like Java, Python are all moving in that direction (especially when mixed with Javascript and XML to provide some poor man's S-expressions), and more ambitious projects in dynamic modelling and simulation can be attempted because of more powerful hardware and better understood problem domains than 20 years ago.",Lisp,Python,BETTER,NONE,0.8,lex (unique),"I would think that dynamic languages (new dialects of Lisp, etc.) will', 'see a renaissance in the medium-term future, simply because hardware', 'is now available to accomodate these systems and languages like Java,', 'Python are all moving in that direction (especially when mixed with', ""Javascript and XML to provide some poor man's S-expressions), and more"", 'ambitious projects in dynamic modelling and simulation can be', 'attempted because of more powerful hardware and better understood', 'problem domains than 20 years ago.","[['X/PROPN/nsubj/> see/VERB/ROOT/^ be/VERB/advcl/< available/ADJ/acomp/<', 'accomodate/VERB/xcomp/< system/NOUN/dobj/< like/ADP/prep/<', 'java/PROPN/pobj/< Y/PROPN/conj/<'], ['X/PROPN/nsubj/> etc/X/conj/V see/VERB/ROOT/^ be/VERB/advcl/<', 'available/ADJ/acomp/< accomodate/VERB/xcomp/< system/NOUN/dobj/<', 'like/ADP/prep/< java/PROPN/pobj/< Y/PROPN/conj/<']]",511
J1544946593,middle_paths_unrestricted_16,Java 8X Faster than Python,Java,Python,NONE,BETTER,0.8,lex (unique),Java 8X Faster than Python,[['X/PROPN/compound/> faster/PROPN/ROOT/^ Y/PROPN/pobj/<']],26
J1544953919,middle_paths_unrestricted_16,Java apps on Mac are slower and bulkier than their native Objective-C counterparts.,Java,Objective-C,BETTER,WORSE,1.0,lex (unique),"Java apps on Mac are slower and bulkier than their native Objective-C', 'counterparts.","[['X/PROPN/compound/> be/VERB/ROOT/^ bulky/ADJ/conj/< than/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/compound/> be/VERB/ROOT/^ bulky/ADJ/conj/< than/ADP/prep/<', 'their/ADJ/poss/V Y/PROPN/pobj/<'], ['X/PROPN/compound/> be/VERB/ROOT/^ bulky/ADJ/conj/< than/ADP/prep/<', 'native/ADJ/amod/V Y/PROPN/pobj/<']]",83
J1545027407,middle_paths_unrestricted_16,"Java isn't too bad of a first language, but Python is a little easier to pick up.",Java,Python,BETTER,WORSE,1.0,lex (unique),"Java isn't too bad of a first language, but Python is a little easier"", 'to pick up.",[['X/PROPN/nsubj/> be/VERB/ROOT/^ Y/PROPN/conj/<']],81
J1545028523,middle_paths_unrestricted_16,Java is Smalltalk history repeated as farce.,Java,Smalltalk,BETTER,NONE,0.8571428571428571,lex (unique),Java is Smalltalk history repeated as farce.,[['X/PROPN/nsubj/> be/VERB/ROOT/^ Y/PROPN/attr/<']],44
J1545112705,middle_paths_unrestricted_16,JavaScript is widely considered even worse than PHP and yet is unavoidable in Web development.,JavaScript,PHP,BETTER,WORSE,1.0,lex (unique),"JavaScript is widely considered even worse than PHP and yet is', 'unavoidable in Web development.","[['X/PROPN/nsubjpass/> consider/VERB/ROOT/^ bad/ADJ/oprd/<', 'than/ADP/prep/< Y/PROPN/pobj/<']]",94
J1545141614,middle_paths_unrestricted_16,Java: The best argument for Smalltalk since C++,Java,Smalltalk,BETTER,NONE,0.6,lex (unique),Java: The best argument for Smalltalk since C++,"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ argument/NOUN/appos/V Y/PROPN/pobj/<']]",47
J1549219079,middle_paths_unrestricted_16,"Jesse James returned to missouri, while Frank went to safer territory in virginia.",missouri,virginia,BETTER,NONE,1.0,lex (unique),"Jesse James returned to missouri, while Frank went to safer territory', 'in virginia.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ go/VERB/advcl/V Y/PROPN/pobj/<']]",82
J1551554068,middle_paths_unrestricted_16,"Jimmy Clark wrote: To be concise, the application in this post written in Java may perform faster that the application written in Perl.",Java,Perl,NONE,BETTER,1.0,lex (unique),"Jimmy Clark wrote: To be concise, the application in this post written', 'in Java may perform faster that the application written in Perl.","[['X/PROPN/nsubj/> perform/VERB/ROOT/^ application/NOUN/dobj/<', 'write/VERB/acl/< in/ADP/prep/< Y/PROPN/pobj/<']]",135
J1554986431,middle_paths_unrestricted_16,"John Carmack, the co-founder of id Software who pretty much helped invent the first-person shooter genre, not to mention an all-around fantastic gentleman (we hung on his every word during last year's QuakeCon ), has said that he now believes Direct3D is a superior API to OpenGL .",Direct3D,OpenGL,NONE,BETTER,1.0,lex (unique),"John Carmack, the co-founder of id Software who pretty much helped', 'invent the first-person shooter genre, not to mention an all-around', ""fantastic gentleman (we hung on his every word during last year's"", 'QuakeCon ), has said that he now believes Direct3D is a superior API', 'to OpenGL .",[['X/PROPN/nsubj/> be/VERB/ROOT/^ to/PART/prep/< Y/PROPN/pobj/<']],281
K1587901276,middle_paths_unrestricted_16,"Killzone 's first sequel was released not on ps3, but on psp, and to mediocre reviews.",ps3,psp,BETTER,NONE,1.0,lex (unique),"Killzone 's first sequel was released not on ps3, but on psp, and to"", 'mediocre reviews.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ on/ADP/conj/V Y/PROPN/pobj/<']]",86
K1597683892,middle_paths_unrestricted_16,"lacrosse was harder than Soccer by far, and still didn't come close to football.",lacrosse,football,BETTER,WORSE,0.8,lex (unique),"lacrosse was harder than Soccer by far, and still didn't come close to"", 'football.","[['X/PROPN/nsubj/> be/VERB/ROOT/^ come/VERB/conj/< close/ADV/advmod/<', 'to/ADP/prep/< Y/PROPN/pobj/<']]",80
K1608188510,middle_paths_unrestricted_16,"Later, when reagan came to power, I kept thinking, my God, he's worse than nixon.",reagan,nixon,BETTER,WORSE,1.0,lex (unique),"Later, when reagan came to power, I kept thinking, my God, he's worse"", 'than nixon.","[[""X/PROPN/nsubj/> come/VERB/ROOT/^ keep/VERB/conj/< '/VERB/conj/<"", 'bad/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/<']]",81
K1608487141,middle_paths_unrestricted_16,"Latex paint provides better fade- and mildew-resistance, flexibility, chalk resistance and adhesion.",paint,chalk,BETTER,NONE,1.0,lex (unique),"Latex paint provides better fade- and mildew-resistance, flexibility,', 'chalk resistance and adhesion.",[['X/PROPN/nsubj/> provide/VERB/ROOT/^ Y/PROPN/npadvmod/<']],100
K1614856915,middle_paths_unrestricted_16,"Lee, Ruby is as old as Java.",Ruby,Java,BETTER,NONE,1.0,lex (unique),"Lee, Ruby is as old as Java.","[['X/PROPN/nsubj/> be/VERB/ROOT/^ old/ADJ/acomp/< as/ADP/prep/<', 'Y/PROPN/pobj/<']]",28
K1628185655,middle_paths_unrestricted_16,Light weight wood or one of the various board substitutes is better than cardboard.,wood,cardboard,NONE,BETTER,0.6,lex (unique),"Light weight wood or one of the various board substitutes is better', 'than cardboard.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ or/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ be/VERB/conj/V Y/PROPN/pobj/<']]",83
K1632507130,middle_paths_unrestricted_16,"Likewise, its no doubt easier to get a job programming Java or C, rather than Lisp or J.",Java,Lisp,NONE,BETTER,1.0,lex (unique),"Likewise, its no doubt easier to get a job programming Java or C,', 'rather than Lisp or J.","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ or/CONJ/cc/V Y/PROPN/conj/<']]",88
K1636185641,middle_paths_unrestricted_16,Lisa Su and David Cummings mentioned the OpenCL way that is the path of choice for FirePro cards and how the open compute platform provides better flexibility than CUDA and Quadro/Tesla counterparts.,OpenCL,CUDA,NONE,BETTER,0.6,lex (unique),"Lisa Su and David Cummings mentioned the OpenCL way that is the path', 'of choice for FirePro cards and how the open compute platform provides', 'better flexibility than CUDA and Quadro/Tesla counterparts.","[['X/PROPN/compound/> way/NOUN/ROOT/^ provide/VERB/ccomp/<', 'flexibility/NOUN/dobj/< than/ADP/prep/< Y/PROPN/pobj/<']]",199
K1654161907,middle_paths_unrestricted_16,Love the plastic....so much better than the Kingdome's green concrete.,plastic,concrete,NONE,BETTER,1.0,lex (unique),Love the plastic....so much better than the Kingdome's green concrete.,"[['X/NOUN/ROOT/^ Y/PROPN/pobj/<'], ['X/NOUN/ROOT/^ good/ADJ/amod/V Y/PROPN/pobj/<'], ['X/NOUN/ROOT/^ kingdome/PROPN/poss/V Y/PROPN/pobj/<'], ['X/NOUN/ROOT/^ green/ADJ/amod/V Y/PROPN/pobj/<']]",70
K1666746349,middle_paths_unrestricted_16,"Make sure you are using the Ethernet port rather than the USB one, it will be faster with 98 anyway and should just work with linux.",Ethernet,USB,NONE,BETTER,1.0,lex (unique),"Make sure you are using the Ethernet port rather than the USB one, it', 'will be faster with 98 anyway and should just work with linux.","[['X/PROPN/compound/> port/NOUN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/compound/> port/NOUN/ROOT/^ the/DET/det/V Y/PROPN/conj/<']]",132
K1676019430,middle_paths_unrestricted_16,"Many people think Ruby is Python with lax whitespace, or PHP with better OO.",Ruby,Python,BETTER,NONE,0.6,lex (unique),"Many people think Ruby is Python with lax whitespace, or PHP with', 'better OO.",[['X/PROPN/nsubj/> be/VERB/ROOT/^ Y/PROPN/attr/<']],76
K1712967246,middle_paths_unrestricted_16,michigan is no better than california.,michigan,california,BETTER,WORSE,0.4,lex (unique),michigan is no better than california.,"[['X/PROPN/nsubj/> be/VERB/ROOT/^ good/ADJ/acomp/< than/ADP/prep/<', 'Y/PROPN/pobj/<']]",38
K1713800708,middle_paths_unrestricted_16,Microsoft Live Maps Looks Better Than Google Maps/Earth,Microsoft,Google,NONE,BETTER,1.0,lex (unique),Microsoft Live Maps Looks Better Than Google Maps/Earth,"[['X/PROPN/compound/> maps/PROPN/nsubj/> maps/PROPN/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/compound/> maps/PROPN/nsubj/> maps/PROPN/ROOT/^', 'than/PROPN/compound/V Y/PROPN/dobj/<']]",55
K1713801223,middle_paths_unrestricted_16,"Microsoft looked like a decent bet, especially after Amazon went with Texas Instruments '   ( Nasdaq: TXN     ) processor again in the recent Kindle Fires.",Microsoft,Amazon,BETTER,NONE,0.8,lex (unique),"Microsoft looked like a decent bet, especially after Amazon went with', ""Texas Instruments ' \xa0 ( Nasdaq: TXN \xa0 \xa0 ) processor again in the"", 'recent Kindle Fires.",[['X/PROPN/nsubj/> look/VERB/ROOT/^ after/ADP/prep/< Y/PROPN/pobj/<']],155
K1713860315,middle_paths_unrestricted_16,Microsoft (perhaps even worse than IBM) thinks that,Microsoft,IBM,BETTER,WORSE,1.0,lex (unique),Microsoft (perhaps even worse than IBM) thinks that,[['X/PROPN/intj/> bad/ADJ/ROOT/^ than/ADP/prep/< Y/PROPN/pobj/<']],51
K1722130226,middle_paths_unrestricted_16,"misunderstanding to think that Ruby is an attempt at better Perl,",Ruby,Perl,NONE,WORSE,1.0,lex (unique),"misunderstanding to think that Ruby is an attempt at better Perl,","[['X/PROPN/nsubj/> be/VERB/ROOT/^ attempt/NOUN/attr/< at/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> be/VERB/ROOT/^ attempt/NOUN/attr/< at/ADP/prep/<', 'good/ADJ/amod/V Y/PROPN/pobj/<']]",65
K1727064126,middle_paths_unrestricted_16,"mom luckly for me grant's babysitter, soledad, had cooked up some soup and grilled some chicken that was better and even easier than me calling out for pizza!",soup,pizza,NONE,BETTER,1.0,lex (unique),"mom luckly for me grant's babysitter, soledad, had cooked up some soup"", 'and grilled some chicken that was better and even easier than me', 'calling out for pizza!","[['X/PROPN/nsubj/> grill/VERB/ROOT/^ chicken/NOUN/dobj/< be/VERB/relcl/<', 'better/ADV/acomp/< easy/ADJ/conj/< than/ADP/prep/< call/VERB/pcomp/<', 'for/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> and/CONJ/cc/V grill/VERB/ROOT/^ chicken/NOUN/dobj/<', 'be/VERB/relcl/< better/ADV/acomp/< easy/ADJ/conj/< than/ADP/prep/<', 'call/VERB/pcomp/< for/ADP/prep/< Y/PROPN/pobj/<']]",158
K1732625899,middle_paths_unrestricted_16,"More open to possibilities that once seemed outlandish, Apple couldn't have found a better enterprise partner than IBM.",Apple,IBM,BETTER,NONE,1.0,lex (unique),"More open to possibilities that once seemed outlandish, Apple couldn't"", 'have found a better enterprise partner than IBM.","[['X/PROPN/nsubj/> find/VERB/ROOT/^ partner/NOUN/dobj/< than/ADP/prep/<', 'Y/PROPN/pobj/<']]",119
K1740197782,middle_paths_unrestricted_16,"Most observers, in fact, seemed to think reagan got the better of kennedy.",reagan,kennedy,NONE,BETTER,1.0,lex (unique),"Most observers, in fact, seemed to think reagan got the better of', 'kennedy.","[['X/PROPN/nsubj/> get/VERB/ROOT/^ good/ADJ/dobj/< of/ADP/prep/<', 'Y/PROPN/pobj/<']]",74
L1754065103,middle_paths_unrestricted_16,"Much better to ask what the strengths and weaknesses are of particular languages, eg. for programming a particular kind of task, for future employability of developers and maintainers, for compiler efficiency, for expressive completeness, for FFI, etc. Python clearly has many strengths that Lisp/scheme lack, also vica versa.",Python,Lisp,NONE,BETTER,1.0,lex (unique),"Much better to ask what the strengths and weaknesses are of particular', 'languages, eg. for programming a particular kind of task, for future', 'employability of developers and maintainers, for compiler efficiency,', 'for expressive completeness, for FFI, etc. Python clearly has many', 'strengths that Lisp/scheme lack, also vica versa.","[['X/PROPN/nsubj/> have/VERB/ROOT/^ strength/NOUN/dobj/< that/ADJ/relcl/<', 'Y/PROPN/nsubj/<']]",326
L1763230147,middle_paths_unrestricted_16,My Dell Adamo has a definite affinity for Windows 8. It's more stable and faster than Windows 7.,Windows 8,Windows 7,NONE,BETTER,1.0,lex (unique),"My Dell Adamo has a definite affinity for Windows 8. It's more stable"", 'and faster than Windows 7.",[['NOPATH']],96
L1763348345,middle_paths_unrestricted_16,My dining companion said the soup was lousy and the meat in the club sandwich was extremely tough.,soup,sandwich,BETTER,NONE,1.0,lex (unique),"My dining companion said the soup was lousy and the meat in the club', 'sandwich was extremely tough.",[['X/PROPN/nsubj/> be/VERB/ROOT/^ meat/NOUN/conj/< Y/PROPN/appos/<']],98
L1766093795,middle_paths_unrestricted_16,"My Ford is a much bigger PIA to work on than my BMW, except it is easier to crawl under...",Ford,BMW,WORSE,BETTER,1.0,lex (unique),"My Ford is a much bigger PIA to work on than my BMW, except it is', 'easier to crawl under...","[['X/PROPN/nsubj/> be/VERB/ROOT/^ work/VERB/xcomp/< than/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> be/VERB/ROOT/^ work/VERB/xcomp/< than/ADP/prep/<', 'my/ADJ/poss/V Y/PROPN/pobj/<']]",90
L1770666002,middle_paths_unrestricted_16,"My main sport was football, but I was determined to get better at golf,"" Norwood says.",football,golf,NONE,WORSE,1.0,lex (unique),"My main sport was football, but I was determined to get better at', 'golf,"" Norwood says.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ but/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ be/VERB/conj/V Y/PROPN/pobj/<']]",86
L1775756281,middle_paths_unrestricted_16,My roommate likes Bash for his scripting needs but I think Python is a better glue language.,Bash,Python,NONE,WORSE,1.0,lex (unique),"My roommate likes Bash for his scripting needs but I think Python is a', 'better glue language.",[['X/PROPN/nsubj/> need/VERB/ROOT/^ think/VERB/conj/< Y/PROPN/dobj/<']],92
L1777173235,middle_paths_unrestricted_16,"MySQL might be faster for simple operations, but PostgreSQL completely demolishes it in complex queries.",MySQL,PostgreSQL,WORSE,NONE,0.8,lex (unique),"MySQL might be faster for simple operations, but PostgreSQL completely', 'demolishes it in complex queries.",[['X/PROPN/nsubj/> be/VERB/ROOT/^ Y/PROPN/conj/<']],104
L1778730367,middle_paths_unrestricted_16,"My use of Scala to date has been as a ""better Java.",Scala,Java,NONE,BETTER,1.0,lex (unique),"My use of Scala to date has been as a ""better Java.","[['X/PROPN/nsubj/> be/VERB/ROOT/^ as/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> be/VERB/ROOT/^ as/ADP/prep/< good/ADJ/amod/V', 'Y/PROPN/pobj/<']]",51
L1784833999,middle_paths_unrestricted_16,Nat Pryce noticed that collections were processed easier (and with less code) in the Haskell and Smalltalk solutions than in Java.,Haskell,Java,NONE,BETTER,1.0,lex (unique),"Nat Pryce noticed that collections were processed easier (and with', 'less code) in the Haskell and Smalltalk solutions than in Java.","[['X/PROPN/nsubj/> solution/NOUN/ROOT/^ than/ADP/prep/< in/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> and/CONJ/cc/V solution/NOUN/ROOT/^ than/ADP/prep/<', 'in/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> smalltalk/PROPN/conj/V solution/NOUN/ROOT/^', 'than/ADP/prep/< in/ADP/prep/< Y/PROPN/pobj/<']]",130
L1789037833,middle_paths_unrestricted_16,"Need to buy the Sigma dock to unlock fastest autofocus, and even then, it feels slightly slower than my Nikon 70-200 VRII.",Sigma,Nikon,BETTER,WORSE,1.0,lex (unique),"Need to buy the Sigma dock to unlock fastest autofocus, and even then,', 'it feels slightly slower than my Nikon 70-200 VRII.","[['X/ADJ/amod/> feel/VERB/ROOT/^ than/ADP/prep/< Y/PROPN/pobj/<'], ['X/ADJ/amod/> feel/VERB/ROOT/^ than/ADP/prep/< my/ADJ/poss/V', 'Y/PROPN/pobj/<']]",122
