,caption,sentence,object_a,object_b,predicted,gold,binary,occ
1619,"unigrams ('middle part', ExtractMiddlePart(processing=None))","One you match a better product with the power of so many manufacturers pushing (HP, Toshiba, Asus, Dell, Sony, etc) it's a mathematical certainty that Microsoft will dominate once again.",Microsoft,Dell,NONE,WORSE,False,2
1620,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Modern hardware/ multicore systems perform much better on Windows 7 or Windows 8, instead of Windows XP.",Windows XP,Windows 8,NONE,BETTER,False,1
1621,"unigrams ('middle part', ExtractMiddlePart(processing=None))","In addition, with eight pole positions and six victories, the new Audi A4 DTM in its debut year was the most successful car of the season and superior to the Mercedes-Benz C-Class.",Audi,Mercedes-Benz,NONE,BETTER,False,1
1622,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Canon, Nikon and Sony lenses longer than 400mm cost more than $8,000 (although Sigma and Tamron offer slower tele-zooms that go out to 500mm for around $1,000).",Sigma,Nikon,BETTER,NONE,False,2
1623,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Windows 8 has no better support than Windows 7 for NTVDM.,Windows 7,Windows 8,BETTER,NONE,False,2
1624,"unigrams ('middle part', ExtractMiddlePart(processing=None))","I notice many people say they will buy the ""better quality car"" when they make one well lately Cadillac was second only to Lexus and many here still bought Infinity, or Acura, Benz, etc. or kept their remaining.",Cadillac,Lexus,NONE,WORSE,False,2
1625,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Apple is reportedly planning to upgrade its current lineup of MacBook Air laptops on Tuesday with faster processors from Intel.,Apple,Intel,NONE,BETTER,False,2
1626,"unigrams ('middle part', ExtractMiddlePart(processing=None))","(ie: the slower, general-purpose Perl engine, versus the faster Python DFA-based engine).",Python,Perl,NONE,WORSE,False,2
1627,"unigrams ('middle part', ExtractMiddlePart(processing=None))",I say Google is the new Microsoft and in many cases they are even worse.,Microsoft,Google,NONE,WORSE,False,2
1628,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Chromatic aberration and distortion are better controlled on the Nikon, while Sigma does well in controlling vignetting.",Sigma,Nikon,NONE,BETTER,False,2
1629,"unigrams ('middle part', ExtractMiddlePart(processing=None))",The wii U version will be inferior to the others (except ps3 and Xbox 360.,wii,ps3,WORSE,NONE,False,2
1630,"unigrams ('middle part', ExtractMiddlePart(processing=None))","This last fact alone makes it easier to code in Java, even though the code can never be as terse and and elegant as the equivalent Groovy code.",Java,Groovy,NONE,WORSE,False,2
1631,"unigrams ('middle part', ExtractMiddlePart(processing=None))","I'm sure the dedicated winter tires help but I have found that my BMW handles better then some of my previous cars (00 Honda Accord EX-V6, 97 Ford Explorer, 96 Maxima SE).",Ford,BMW,NONE,BETTER,False,2
1632,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Samsung voids warranty for rooting, Motorola doesn't.",Samsung,Motorola,NONE,WORSE,False,2
1633,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Honda and Toyota may have factories here, but they're not controlled by an outside and (IMO) inferior corporate source such as Renault or Ford.",Ford,Toyota,WORSE,NONE,False,2
1634,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Our Sources tell us that Pepsi felt that Lynxxx who spent the better part of 2011 Touring and doing TV/Radio interviews has been career dead for just too long and this is affecting their brand presence in Nigeria which is currently controlled by arch rival Coca-Cola.,Coca-Cola,Pepsi,NONE,WORSE,False,1
1635,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Netflix, amazon and I think the new Genius tool for itunes have much better systems.",amazon,itunes,NONE,WORSE,False,2
1636,"unigrams ('middle part', ExtractMiddlePart(processing=None))","As an aside, who in their right mind would buy an inferior GM or Ford car when a very well engineered European car, like that from Mercedes Benz and BMW can be purchased for a much lower price than now when the euro falls.",Ford,BMW,NONE,WORSE,False,2
1637,"unigrams ('middle part', ExtractMiddlePart(processing=None))","That's true, and it's definitely doable in any language, but it's a lot harder in Java than it is in OCaml, Haskell, Scala, etc.",Java,Scala,BETTER,WORSE,False,1
1638,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Neither is a clear winner on performance; Perl is faster for some things, Python for others.",Python,Perl,NONE,BETTER,False,2
1639,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The Windows 8 Desktop is essentially a much, much faster and cleaner version of Windows 7. People are morons.",Windows 7,Windows 8,NONE,BETTER,False,1
1640,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Tomorrow, the ps2 and some WALL-E (I can not play that game on the ds anymore, cuz it is sooooo much slower, more boring, and all you can do is make/throw cubes).",ds,ps2,NONE,BETTER,False,2
1641,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Developers won't view Amazon as any better than Apple.,Apple,Amazon,BETTER,WORSE,False,1
1642,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Intel SSDs had a failure rate of 0.59%, while the solid-state competition from Corsair, Crucial, Kingston, and OCZ ranged from 2.17-2.93%.",Intel,Kingston,NONE,BETTER,False,2
1643,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Lemon juice clabbers milk slower so it works better.,milk,juice,NONE,WORSE,False,2
1644,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Penetration of Windows 2000 wasn't really that great, Windows XP was better, but there's still a lot of people out there running Windows 98 in all honesty.",Windows XP,Windows 98,BETTER,NONE,False,2
1645,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The restaurant is doing much better,"" Sal reveals of Papa C's Eastside cafe.",restaurant,cafe,NONE,BETTER,False,1
1646,"unigrams ('middle part', ExtractMiddlePart(processing=None))","I used to use Perl or white my own CGI's in C, but PHP is so, much easier than either.",PHP,Perl,NONE,WORSE,False,2
1647,"unigrams ('middle part', ExtractMiddlePart(processing=None))",This was one of my favourite games on the ps2 and looks fantastic on the ds: the same but better!,ds,ps2,NONE,WORSE,False,2
1648,"unigrams ('middle part', ExtractMiddlePart(processing=None))",And what better to wash down that chocolate donut beer than with a little milk?,milk,beer,BETTER,NONE,False,2
1649,"unigrams ('middle part', ExtractMiddlePart(processing=None))",I have owned a Ford F150 and I also think that the Toyota is a better driver and better built.,Ford,Toyota,NONE,WORSE,False,2
1650,"unigrams ('middle part', ExtractMiddlePart(processing=None))",1) Laptop or netbook with Bluetooth means that I don't have to plug anything into a USB port in order to use a decent mouse with the computer.,USB,Bluetooth,NONE,BETTER,False,2
1651,"unigrams ('middle part', ExtractMiddlePart(processing=None))",princeton has almost invariably played her best game against harvard--usually better than when opposing Yale.,harvard,princeton,NONE,BETTER,False,2
1652,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Amazon is, I think, in a better position (how much better, I don't know) to compete directly with Apple.",Apple,Amazon,NONE,BETTER,False,2
1653,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Compared to Perl - Ruby is much much nicer.,Ruby,Perl,NONE,WORSE,False,2
1654,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Not only are there reasonable alternatives in languages like Scala, Groovy, and C#, but there is even a better option that has already been explored for Java:",Java,Groovy,BETTER,WORSE,False,1
1655,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Not sure Ford is going to be any better than Honda in that regard.,Ford,Honda,BETTER,NONE,False,2
1656,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Much better than JavaScript e -mails/PHP.,PHP,JavaScript,NONE,WORSE,False,2
1657,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Google would not put a 2300mah battery of it didn't get decent battery life (higher quality parts can raise power efficiency so battery life can be better/worse than mah would make it seem) your mixing them up with Sony who is notorious for it.,Google,Sony,WORSE,NONE,False,2
1658,"unigrams ('middle part', ExtractMiddlePart(processing=None))","You also say, ""Additionally, it is equally as hard (I believe harder) to score a[n] incapacitating blow with a knife that with a pistol.""",knife,pistol,NONE,WORSE,False,2
1659,"unigrams ('middle part', ExtractMiddlePart(processing=None))","It was a little cooler here in michigan that it was in Florida and georgia, but in reality not all that bad for the time of year.",georgia,michigan,NONE,BETTER,False,2
1660,"unigrams ('middle part', ExtractMiddlePart(processing=None))",But my biggest worry is that the tech press will continue to do what they always do and ignore a superior product from Microsoft and flog an inferior offering because it's from Google.,Microsoft,Google,NONE,BETTER,False,2
1661,"unigrams ('middle part', ExtractMiddlePart(processing=None))",But I'm not convinced it works in JavaScript any better than it works in Perl.,Perl,JavaScript,BETTER,WORSE,False,1
1662,"unigrams ('middle part', ExtractMiddlePart(processing=None))","There is nothing particularly wrong about PHP, but it is much uglier than Python.",Python,PHP,BETTER,WORSE,False,1
1663,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The old Sigma was not that great, Tokina and Tamron (of course Nikon) was better.",Sigma,Nikon,NONE,WORSE,False,2
1664,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The Java-Cocoa bridge was maintained for years, but the advice every third-party Mac developer would give you if you asked them was that you were much better off taking the time to learn Objective-C.",Java,Objective-C,BETTER,NONE,False,2
1665,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Yeah, there's a lot of idiots here who still think OpenGL is better than Direct3D.",OpenGL,Direct3D,BETTER,WORSE,False,1
1666,"unigrams ('middle part', ExtractMiddlePart(processing=None))","So if you've built a TV library around iTunes, you own iOS devices and you rip your DVDs, the Apple TV will probably be a better choice.",iOS,Apple TV,NONE,WORSE,False,2
1667,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The whole Florida line didn't play well versus missouri, but was better against georgia.",georgia,missouri,BETTER,NONE,False,2
1668,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Unless you need USB 3.0, or better Bluetooth, or Fusion drive or something like that.....",USB,Bluetooth,NONE,WORSE,False,2
1669,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Grails uses Groovy, which IMO is easier to learn than Ruby, especially is you already know Java.",Java,Groovy,BETTER,NONE,False,2
1670,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Groovy code often looks and feels like Java code, but is almost always simpler and easier to use.",Java,Groovy,NONE,BETTER,False,2
1671,"unigrams ('middle part', ExtractMiddlePart(processing=None))","My new Dell M90 (Dual Core 2 @ 2.33Ghz, 2GB RAM, Quadro3500, SATA 7200RPM) running Vista x64 is SLOWER than building the same solution on my IBM/Lenovo T43 (Pentium M @ 1.8Ghz, 2 GB RAM..) running Windows 2003 Server.",IBM,Dell,WORSE,NONE,False,2
1672,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Unlike the Leica 19mm, the Olympus has a very sweet C Zone - but it's no better than the Contax N's which - again - we see thoroughly trounced by the Nikon above.",Nikon,Leica,BETTER,WORSE,False,1
1673,"unigrams ('middle part', ExtractMiddlePart(processing=None))","tennis is so much harder on the body than golf,"" he said.",golf,tennis,BETTER,WORSE,False,1
1674,"unigrams ('middle part', ExtractMiddlePart(processing=None))","one I know who's seen Ruby code argues that Perl is better -- but then,",Ruby,Perl,NONE,WORSE,False,2
1675,"unigrams ('middle part', ExtractMiddlePart(processing=None))","the pizza looked better than it tasted, but the soup was so yummy!",soup,pizza,BETTER,WORSE,False,1
1676,"unigrams ('middle part', ExtractMiddlePart(processing=None))","But when I do a qrun, an Apple node is designated the mother superior node but the job runs on the IBM nodes.",Apple,IBM,BETTER,NONE,False,2
1677,"unigrams ('middle part', ExtractMiddlePart(processing=None))","If OSU beats michigan State Saturday and finishes undefeated, there's a better chance for a one-loss Auburn to jump the Buckeyes than a one-loss missouri.",michigan,missouri,BETTER,NONE,False,2
1678,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Scala is a hell of a lot faster than PLT Scheme, and it plays perfectly with the vast Java ecosystem, while Scheme does not.",Java,Scala,BETTER,NONE,False,2
1679,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Renault also clinched the Constructors Championship over Ferrari.,Ferrari,Renault,NONE,BETTER,False,1
1680,"unigrams ('middle part', ExtractMiddlePart(processing=None))",california is a much harder place to practice law than is South carolina.,california,carolina,BETTER,WORSE,False,1
1681,"unigrams ('middle part', ExtractMiddlePart(processing=None))","(FWIW, Smalltalk (and to a much lesser extent, Java)",Java,Smalltalk,NONE,BETTER,False,2
1682,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Generally speaking, in a ""squeeze the brakes as hard as possible and let ABS take over"" kind of stop, the Yamaha and the Honda, with their faster cycling times, will out-stop the BMW by several feet.",Honda,BMW,NONE,BETTER,False,2
1683,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The psp sells very well in Japan, in america sometimes the ps2 sells better.",psp,ps2,NONE,WORSE,False,2
1684,"unigrams ('middle part', ExtractMiddlePart(processing=None))",for those who care about such things... i returned my Nikon 4500 10 days ago on 12th day of free 10-day trial and i traded down to a panasonic lumix LC40 with Leica lens because it had a faster shutter response and looked pretty bad ass.,Nikon,Leica,NONE,WORSE,False,2
1685,"unigrams ('middle part', ExtractMiddlePart(processing=None))",espn gets much better and fox falls apart - how can that be?,fox,espn,NONE,BETTER,False,2
1686,"unigrams ('middle part', ExtractMiddlePart(processing=None))","However, I do wish it was optimized better, but PHP is not Java.",Java,PHP,NONE,BETTER,False,2
1687,"unigrams ('middle part', ExtractMiddlePart(processing=None))",ISA is the old bus of the old IBM-compatible PCs while PCI is a newer and faster bus from Intel.,IBM,Intel,NONE,WORSE,False,2
1688,"unigrams ('middle part', ExtractMiddlePart(processing=None))",but I've found PostgreSQL to be generally superior to MySQL for essentially all of my needs).,MySQL,PostgreSQL,NONE,BETTER,False,2
1689,"unigrams ('middle part', ExtractMiddlePart(processing=None))","However, it is a thing to be aware of if you're writing world class 3D Windoze apps, but not in determining whether OpenGL is better than Direct3D.",OpenGL,Direct3D,BETTER,NONE,False,2
1690,"unigrams ('middle part', ExtractMiddlePart(processing=None))","(I was surprised that they did not cough up some virginia wines, but they limited themselves to the safer california varietals.",california,virginia,WORSE,NONE,False,2
1691,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Compared with the Mercedes-Benz C class, BMW 3 series and Audi A4, the Lexus ES sedan now offers more power (268 hp) and worse fuel economy (24 mpg combined) from its base engine.",Audi,Lexus,NONE,WORSE,False,2
1692,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Performance The Ford Fusion Energi has less horsepower than the Toyota Avalon Hybrid, so it will probably be somewhat slower.",Ford,Toyota,BETTER,WORSE,False,1
1693,"unigrams ('middle part', ExtractMiddlePart(processing=None))","For such a small self-contained task, I don't think Haskell is any better than Python.",Python,Haskell,BETTER,WORSE,False,1
1694,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Other reviews have shown these new 470 series SSDs from Samsung have significantly better scores than the rest, while still competing with Toshiba on power consumption.",Samsung,Toshiba,BETTER,NONE,False,2
1695,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Google Makes it Easier to Dump Microsoft Office #io14,Microsoft,Google,NONE,BETTER,False,2
1696,"unigrams ('middle part', ExtractMiddlePart(processing=None))","It provides d rastic JSON parsing and serialization performance improvements "" The Rick (Hightower)/ Andrey duo spent a fair amount of time optimizing our JSON support, making Groovy 2.3's JSON support usually faster than all the JSON libraries available in the Java ecosystem.",Java,Groovy,BETTER,NONE,False,2
1697,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Python would be a much better choice in my view for a variety of reasons (and I say this though I'm a Perl nut!), or hell, if you teach them Lisp they'll be horribly screwed up for the rest of their lives but at least they'll understand how registers and OOP work.",Python,Lisp,NONE,BETTER,False,2
1698,"unigrams ('middle part', ExtractMiddlePart(processing=None))","There's another damaging situation: You can complain about itunes and subscription sites being damaging to copyright owners and having inferior audio quality, but one of the worst culprits is youtube.",youtube,itunes,WORSE,BETTER,False,1
1699,"unigrams ('middle part', ExtractMiddlePart(processing=None))","I haven't tried it with this modem, but on my ADSL line the superior performance of Ethernet over USB modems is striking, particularly in terms of responsiveness.",USB,Ethernet,NONE,BETTER,False,2
1700,"unigrams ('middle part', ExtractMiddlePart(processing=None))","This is where Scala stops being a better Java, in the sense Groovy is, and becomes its own language.",Java,Scala,NONE,WORSE,False,2
1701,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Thanks to Apple removing Google maps which is 1000x better.,Apple,Google,NONE,WORSE,False,2
1702,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Are you saying that you use JavaScript outside a browser, and that you feel it is a better language in that context than Java, C++, C, Smalltalk, Lisp, Perl, Python, etc?",Python,JavaScript,BETTER,NONE,False,2
1703,"unigrams ('middle part', ExtractMiddlePart(processing=None))","These days we have the more-green-than-you symbol (hybrids, electrics, SmartCars in the US), the faster-than-you symbol (declining, but still there), the whole array of bigger-than-you symbols (extended-axle crew-cab XDuty pickups, Hummer anything, Cadillac Escalade), and the persistence of the richer-than-you symbols (denoted by brands such as Lexus at the bottom and increasing up through Porsche, and on into the boutique makers).",Cadillac,Lexus,BETTER,NONE,False,2
1704,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Even if this juice isn't your typical cider, it's just as good if not better in our opinion!",juice,cider,NONE,BETTER,False,2
1705,"unigrams ('middle part', ExtractMiddlePart(processing=None))","@tanasten Bowling is WAY better, baseball is WAY better, golf is WAY better, tennis is the same and boxing is the drizzlin' poopiedoodoocacapoopledoopledoggiepoopledoops!!!!!",baseball,tennis,BETTER,NONE,False,2
1706,"unigrams ('middle part', ExtractMiddlePart(processing=None))","We chose for PostgreSQL (not to start an MySQL pg flamewar, but pg was the more suitable for our purposes) because it's open, and thus safer.",MySQL,PostgreSQL,NONE,BETTER,False,2
1707,"unigrams ('middle part', ExtractMiddlePart(processing=None))",I was using google music but amazon is just better.,google,amazon,NONE,WORSE,False,2
1708,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Ethernet will always be faster, but if your machines are not networked, order the USB cable and use it.",USB,Ethernet,WORSE,BETTER,False,2
1709,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Windows 8 Developer desktop - looks like Windows 7, runs a hair faster.",Windows 7,Windows 8,NONE,BETTER,False,2
1710,"unigrams ('middle part', ExtractMiddlePart(processing=None))","That's true, function passing is painless in Python and a little harder in Ruby.",Ruby,Python,NONE,BETTER,False,2
1711,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Its 362 nit brightness level is one of the best we've seen, improving on the MacBook and Samsung, but the Lenovo's 646:1 contrast ratio is mediocre - the Toshiba Kira hit a mighty 2,326:1.",Samsung,Toshiba,WORSE,NONE,False,2
1712,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Whatever the ds can do , wii can do better, right?",wii,ds,NONE,WORSE,False,2
1713,"unigrams ('middle part', ExtractMiddlePart(processing=None))","While dozens of manufacturers will gladly slap an Intel, Microsoft, or NVIDIA advertisement on the palmrest of your brand new laptop, Google knows better than to partake in this annoying practice.",Google,Intel,NONE,WORSE,False,2
1714,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Don't know Perl much, its language-syntax is much harder than PHP .",PHP,Perl,BETTER,WORSE,False,1
1715,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The player is working just as well as my older Toshiba 1080p upconverting DVD player/recorder and I think the quality is actually better on my Samsung 61"" DLP 1080p HDTV.",Samsung,Toshiba,NONE,WORSE,False,2
1716,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Ferrari was still leading the constructors' championship, but only by 3 points to BMW Sauber.",Ferrari,BMW,WORSE,BETTER,False,1
1717,"unigrams ('middle part', ExtractMiddlePart(processing=None))","If you're talking about CHRP/PREP hardware, IBM and Motorola delivered PowerPC machines with lots of PC legacy, while Apple delivered much better, legacy free PowerPC Macs.",Apple,IBM,NONE,WORSE,False,2
1718,"unigrams ('middle part', ExtractMiddlePart(processing=None))",I don't see a way that Python is superior to Perl.,Python,Perl,BETTER,WORSE,False,1
1719,"unigrams ('middle part', ExtractMiddlePart(processing=None))",95% of the the things I do with my laptop on the road will be accomplished far easier and faster with the iphone.,laptop,iphone,NONE,WORSE,False,2
1720,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Unlike Ford (and the MUCH WORSE) Toyota service departments, Lincoln seems to offer very good service here in the Sunbelt.",Ford,Toyota,NONE,BETTER,False,2
1721,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Toyota gave us cheaper and better cars, not Ford/GM/Chrysler competition.",Ford,Toyota,NONE,BETTER,False,2
1722,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Java does not support Lambdas like Python or Code Blocks like Smalltalk.,Java,Smalltalk,NONE,WORSE,False,2
1723,"unigrams ('middle part', ExtractMiddlePart(processing=None))",OO in Ruby or Smalltalk is very different than OO in C# or Java.,Java,Smalltalk,BETTER,NONE,False,2
1724,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Yet, Americans keep coming to the trough, to lap up the syrupy slogans like: ""We Can Do Better"" (kennedy) ""Are You Better Off Than You Were Four Years Ago?"" (reagan) ""A Safer World and a More Hopeful America"" (G.W. Bush), ""A Stronger America"" (Kerry), ""Yes, We Can"", ""Change We Can Believe In"", ""Forward"" (Obama), and ""Believe in America"" (Romney).",kennedy,reagan,BETTER,NONE,False,2
1725,"unigrams ('middle part', ExtractMiddlePart(processing=None))","A mid-size BMW sedan equipped with a diesel engine returned better fuel economy on a 545-mile, London-to-Geneva, run than a gasoline-powered Toyota Prius.",Toyota,BMW,BETTER,NONE,False,2
1726,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Thereâ(TM)s another damaging situation: You can complain about itunes and subscription sites being damaging to copyright owners and having inferior audio quality, but one of the worst culprits is youtube.",youtube,itunes,WORSE,BETTER,False,1
1727,"unigrams ('middle part', ExtractMiddlePart(processing=None))",So in this respect Google is no better than Microsoft.,Microsoft,Google,BETTER,NONE,False,2
1728,"unigrams ('middle part', ExtractMiddlePart(processing=None))",michigan is no better than california.,california,michigan,BETTER,WORSE,False,1
1729,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Looking backwards, investing in Sears in 1890 turned out better than investing in Sony in 1950; that, more than anything, explains the relative performance of Amazon and Apple in the stock market.",Sony,Amazon,BETTER,NONE,False,2
1730,"unigrams ('middle part', ExtractMiddlePart(processing=None))","If you are like me, you understand that Ruby on Rails is way cooler these days, but do not feel ashamed to admit you're coding in PHP because sometimes it just gets the job done faster.",Ruby,PHP,WORSE,NONE,False,2
1731,"unigrams ('middle part', ExtractMiddlePart(processing=None))","ARCEE changes into a motorcycle and is very quick and acrobatic with her attacks, and BULKHEAD changes into an armoured truck and moves slower, but hits much harder.",truck,motorcycle,NONE,BETTER,False,2
1732,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Of course it's vastly inferior like hockey than to real football so that would be your answer to that question.,football,hockey,BETTER,WORSE,False,1
1733,"unigrams ('middle part', ExtractMiddlePart(processing=None))",There are not many companies better poised to take a run at Microsoft than IBM and Sun in their heydays.,Microsoft,IBM,BETTER,NONE,False,2
1734,"unigrams ('middle part', ExtractMiddlePart(processing=None))",faster Samsung SSDs in some units and significantly slower Toshiba SSDs in others).,Samsung,Toshiba,NONE,BETTER,False,2
1735,"unigrams ('middle part', ExtractMiddlePart(processing=None))","First, Motorola, then HTC and Samsung.",Samsung,Motorola,NONE,BETTER,False,2
1736,"unigrams ('middle part', ExtractMiddlePart(processing=None))","All my friends who have computers was still running Windows 98, and I recall that Windows XP ran muuuuuuuuuuuch faster than 98 in my (still outdated) AMD Athlon 700MHz.",Windows XP,Windows 98,NONE,WORSE,False,2
1737,"unigrams ('middle part', ExtractMiddlePart(processing=None))","youtube just won't cut it for a screencast, so I found hosting the video myself (amazon S3), was a better solution.",amazon,youtube,NONE,WORSE,False,2
1738,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Ruby is 1.7 times slower than Perl, TCL is 3.3 times slower, and Python is 8.2 times slower!",Ruby,Python,WORSE,BETTER,False,1
1739,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Nowdays though it seems that SE is makeing better quality built phones followed closely by Moto and Siemens (love the SL55 BTW - just i need BT) and last and IMO least - Nokia.,Nokia,Siemens,NONE,BETTER,False,2
1740,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Smalltalk had a nice bytecoded multi-platform virtual machine long before Java.,Java,Smalltalk,NONE,BETTER,False,2
1741,"unigrams ('middle part', ExtractMiddlePart(processing=None))","safer on youtube, but the google Play lists (you also work for each of languages.",google,youtube,NONE,BETTER,False,2
1742,"unigrams ('middle part', ExtractMiddlePart(processing=None))",I never said basketball was easier than baseball.,baseball,basketball,BETTER,NONE,False,2
1743,"unigrams ('middle part', ExtractMiddlePart(processing=None))",John F. kennedy did barely better against Richard nixon.,kennedy,nixon,NONE,BETTER,False,2
1744,"unigrams ('middle part', ExtractMiddlePart(processing=None))","This would probably be easier in Python, but Bash works fine after you get the quoting straightened out.",Python,Bash,NONE,WORSE,False,2
1745,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Nissan did worse than Ford or GM, its sales skidding 9.1% in May.",Ford,Nissan,NONE,WORSE,False,1
1746,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Nokia is just one of many Windows 8 phones, and not even the best because Samsung is far better!",Nokia,Samsung,NONE,WORSE,False,1
1747,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Recently, however, I've ditched the laptop for a small VGA adaptor that plugs directly into my iphone ... so much easier!",laptop,iphone,NONE,WORSE,False,2
1748,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Is the amazon Prime feed going through Roku better than renting through itunes and Apple TV?,amazon,itunes,BETTER,NONE,False,2
1749,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Setting up Python running as FastCGI on either Apache or lighttpd is much harder than creating a page of PHP.,Python,PHP,WORSE,NONE,False,2
1750,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Now, unlike Microsoft, Apple isn't selling an inferior product.",Microsoft,Apple,NONE,WORSE,False,2
1751,"unigrams ('middle part', ExtractMiddlePart(processing=None))",My first choice was Asus then Gigabyte.,Gigabyte,Asus,NONE,BETTER,False,2
1752,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Sigma makes some decent lenses, but Nikon knows their own exposure system better than anyone.",Sigma,Nikon,NONE,WORSE,False,2
1753,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Since 2003 I owned about 15 phones, and to be honest, Nokia and SonyEricsson will always stand high, but as I said, Siemens in the end just lost it due to not being smart enough to realise that there were/are better companies, and that you need to develop everything in the phone except for what they've just done, change the design.",Nokia,Siemens,NONE,BETTER,False,2
1754,"unigrams ('middle part', ExtractMiddlePart(processing=None))","We use tennis balls to start because it's safer -- less chance of getting hurt,"" said Wes Hogan of Bartlett, Wolf Pack hockey Club organizer.",tennis,hockey,NONE,BETTER,False,2
1755,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Ruby 1.9 is about 3x faster, which should put it in the 20x slower than native ballpark that Perl and Python are at today.",Ruby,Python,WORSE,BETTER,False,1
1756,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Apple computers seem to be better, and many (but not all) of the Dell laptops work good.",Apple,Dell,NONE,BETTER,False,1
1757,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Perhaps if they had more time and test code, they could've caught these problems earlier, but as it is, the Haskell code lagged far behind the Java and C++ solutions, which are so much faster that they are barely visible on this chart:",Java,Haskell,NONE,WORSE,False,2
1758,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Reliability for domestic autos is much better for long term reliability than you think, In JD Powers survey for long term reliability, cars on the road for four years, domestic nameplates held 3 of the top 5 spots, Buick was in 2nd place Lexus placed 1st, Cadillac and Lincoln also placed in the top 5.",Cadillac,Lexus,NONE,BETTER,False,2
1759,"unigrams ('middle part', ExtractMiddlePart(processing=None))","We had an option to go West, but the starter housing prices at the time in california made the decision to come to georgia a bit easier.",california,georgia,NONE,WORSE,False,2
1760,"unigrams ('middle part', ExtractMiddlePart(processing=None))","While a USB dongle is certainly possible, a software solution using the Ethernet port is a much better solution.",USB,Ethernet,NONE,WORSE,False,2
