id,a,b,raw_text,text_html,text_readable,type,marker,label_gold,label_gold_reason,_golden
G958989852,Honda,Nissan,Honda (12.6%) and Nissan (7.1%).,"<span style=""color: #9A14B2; font-weight: bold"">Honda:[OBJECT_A]</span> (12.6%) and <span style=""color: #6CB219; font-weight: bold"">Nissan:[OBJECT_B]</span> (7.1%).",*Honda* (12.6%) and §Nissan$ (7.1%).,brands,False,,,False
F868077568,Google,Intel,"Heck, just have a Twitter or  Google News keyword of ""Metasploit"" and you'll get some pretty decent Intel on what the world is looking at.","Heck, just have a Twitter or  <span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span> News keyword of ""Metasploit"" and you'll get some pretty decent <span style=""color: #6CB219; font-weight: bold"">Intel:[OBJECT_B]</span> on what the world is looking at.","Heck, just have a Twitter or  *Google* News keyword of ""Metasploit"" and you'll get some pretty decent §Intel$ on what the world is looking at.",brands,True,,,False
B326115235,Apple,Amazon,Apple cloud music will be better than Google or Amazon says industry source,"<span style=""color: #9A14B2; font-weight: bold"">Apple:[OBJECT_A]</span> cloud music will be better than Google or <span style=""color: #6CB219; font-weight: bold"">Amazon:[OBJECT_B]</span> says industry source",*Apple* cloud music will be better than Google or §Amazon$ says industry source,brands,True,,,False
E566894205,Google,Amazon,"Depending on the definition of ""gain,"" will the Google business grow at a faster rate than Amazon?","Depending on the definition of ""gain,"" will the <span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span> business grow at a faster rate than <span style=""color: #6CB219; font-weight: bold"">Amazon:[OBJECT_B]</span>?","Depending on the definition of ""gain,"" will the *Google* business grow at a faster rate than §Amazon$?",brands,True,,,False
T3210905476,Cadillac,Buick,"Worse, the lens is a hard to find item used only on 1937 and 38 Pontiac, Olds, Buick, Cadillac, and LaSalle automobiles, with different lenses for left and right sides.","Worse, the lens is a hard to find item used only on 1937 and 38 Pontiac, Olds, <span style=""color: #9A14B2; font-weight: bold"">Buick:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Cadillac:[OBJECT_B]</span>, and LaSalle automobiles, with different lenses for left and right sides.","Worse, the lens is a hard to find item used only on 1937 and 38 Pontiac, Olds, *Buick*, §Cadillac$, and LaSalle automobiles, with different lenses for left and right sides.",brands,True,,,False
G935187087,Dell,Hewlett-Packard,"Hewlett-Packard Co grew faster than leader Dell Inc, which again lost market share in the US.","<span style=""color: #9A14B2; font-weight: bold"">Hewlett-Packard:[OBJECT_A]</span> Co grew faster than leader <span style=""color: #6CB219; font-weight: bold"">Dell:[OBJECT_B]</span> Inc, which again lost market share in the US.","*Hewlett-Packard* Co grew faster than leader §Dell$ Inc, which again lost market share in the US.",brands,True,,,False
N2262562284,Apple,Sony,Sony has once again produced a gadget which cranks out tunes better than any Apple PMP.,"<span style=""color: #9A14B2; font-weight: bold"">Sony:[OBJECT_A]</span> has once again produced a gadget which cranks out tunes better than any <span style=""color: #6CB219; font-weight: bold"">Apple:[OBJECT_B]</span> PMP.",*Sony* has once again produced a gadget which cranks out tunes better than any §Apple$ PMP.,brands,True,,,False
D480379048,Ford,Chrysler,"Chrysler, Ford","<span style=""color: #9A14B2; font-weight: bold"">Chrysler:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Ford:[OBJECT_B]</span>","*Chrysler*, §Ford$",brands,False,,,False
G959023737,Honda,BMW,Honda has a far better record for reliability than BMW models.,"<span style=""color: #9A14B2; font-weight: bold"">Honda:[OBJECT_A]</span> has a far better record for reliability than <span style=""color: #6CB219; font-weight: bold"">BMW:[OBJECT_B]</span> models.",*Honda* has a far better record for reliability than §BMW$ models.,brands,True,,,False
K1713666741,Microsoft,Dell,"Microsoft has also laughed off competition from Apple on Windows desktops , but the Mac maker has since surpassed Dell and HP in valuation because Apple's sales are growing several times faster than its PC rivals.","<span style=""color: #9A14B2; font-weight: bold"">Microsoft:[OBJECT_A]</span> has also laughed off competition from Apple on Windows desktops , but the Mac maker has since surpassed <span style=""color: #6CB219; font-weight: bold"">Dell:[OBJECT_B]</span> and HP in valuation because Apple's sales are growing several times faster than its PC rivals.","*Microsoft* has also laughed off competition from Apple on Windows desktops , but the Mac maker has since surpassed §Dell$ and HP in valuation because Apple's sales are growing several times faster than its PC rivals.",brands,True,,,False
F740053280,Ford,Chrysler,"Ford, Chrysler each announce large recalls","<span style=""color: #9A14B2; font-weight: bold"">Ford:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Chrysler:[OBJECT_B]</span> each announce large recalls","*Ford*, §Chrysler$ each announce large recalls",brands,False,,,False
E705826585,Nike,Adidas,Fierce competition The bad news is that soccer fans relate much better to Nike ( NYSE:NKE ) and Adidas ( NASDAQOTH:ADDYY ) .,"Fierce competition The bad news is that soccer fans relate much better to <span style=""color: #9A14B2; font-weight: bold"">Nike:[OBJECT_A]</span> ( NYSE:NKE ) and <span style=""color: #6CB219; font-weight: bold"">Adidas:[OBJECT_B]</span> ( NASDAQOTH:ADDYY ) .",Fierce competition The bad news is that soccer fans relate much better to *Nike* ( NYSE:NKE ) and §Adidas$ ( NASDAQOTH:ADDYY ) .,brands,True,,,False
C346227625,Samsung,AMD,"As always, we started by picking the hardware: the Intel Core i7 2600K CPU, Prolimatech Genesis cooler, dual AMD Radeon HD 6970 GPUs, 8GB OCZ RAM, Asrock P67 Extreme6 motherboard, two 750GB Samsung HDDs, a single Intel SSD 320 300GB, and an OCZ ZX 1250w PSU.","As always, we started by picking the hardware: the Intel Core i7 2600K CPU, Prolimatech Genesis cooler, dual <span style=""color: #9A14B2; font-weight: bold"">AMD:[OBJECT_A]</span> Radeon HD 6970 GPUs, 8GB OCZ RAM, Asrock P67 Extreme6 motherboard, two 750GB <span style=""color: #6CB219; font-weight: bold"">Samsung:[OBJECT_B]</span> HDDs, a single Intel SSD 320 300GB, and an OCZ ZX 1250w PSU.","As always, we started by picking the hardware: the Intel Core i7 2600K CPU, Prolimatech Genesis cooler, dual *AMD* Radeon HD 6970 GPUs, 8GB OCZ RAM, Asrock P67 Extreme6 motherboard, two 750GB §Samsung$ HDDs, a single Intel SSD 320 300GB, and an OCZ ZX 1250w PSU.",brands,True,,,False
K1697583730,Ferrari,Renault,"McLaren (1980), Renault, Ferrari.","McLaren (1980), <span style=""color: #9A14B2; font-weight: bold"">Renault:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Ferrari:[OBJECT_B]</span>.","McLaren (1980), *Renault*, §Ferrari$.",brands,False,,,False
H1179614671,Ibuprofen,Advil,"I like the side effects of Ibuprofen, Advil, or THC much better, even if there are not as clinically effective.","I like the side effects of <span style=""color: #9A14B2; font-weight: bold"">Ibuprofen:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Advil:[OBJECT_B]</span>, or THC much better, even if there are not as clinically effective.","I like the side effects of *Ibuprofen*, §Advil$, or THC much better, even if there are not as clinically effective.",brands,True,,,False
H1087912473,Google,Intel,"I found the better CPU (the CR-48 has a single core Intel Atom processor, the commercial units have dual-core Atoms) and improved trackpad made a huge difference and the Acer has become a favorite web-surfing, Google Docs-writing, Flash-game playing machine around our house.","I found the better CPU (the CR-48 has a single core <span style=""color: #9A14B2; font-weight: bold"">Intel:[OBJECT_A]</span> Atom processor, the commercial units have dual-core Atoms) and improved trackpad made a huge difference and the Acer has become a favorite web-surfing, <span style=""color: #6CB219; font-weight: bold"">Google:[OBJECT_B]</span> Docs-writing, Flash-game playing machine around our house.","I found the better CPU (the CR-48 has a single core *Intel* Atom processor, the commercial units have dual-core Atoms) and improved trackpad made a huge difference and the Acer has become a favorite web-surfing, §Google$ Docs-writing, Flash-game playing machine around our house.",brands,True,,,False
P2576192824,Cadillac,Buick,"The new Voice Command button also offers better integration with the new infotainment systems in vehicles such as Chevrolet MyLink , Cadillac CUE , and Buick/GMC IntelliLink - since the touchscreens of these systems provide access to OnStar's voice command services by pressing the same logo as the one located on the mirror; pressing the Voice Command icon on the touchscreen will result in on-screen access to the services on the screen, while pressing the button on the mirror will allow access using voice commands.","The new Voice Command button also offers better integration with the new infotainment systems in vehicles such as Chevrolet MyLink , <span style=""color: #9A14B2; font-weight: bold"">Cadillac:[OBJECT_A]</span> CUE , and <span style=""color: #6CB219; font-weight: bold"">Buick:[OBJECT_B]</span>/GMC IntelliLink - since the touchscreens of these systems provide access to OnStar's voice command services by pressing the same logo as the one located on the mirror; pressing the Voice Command icon on the touchscreen will result in on-screen access to the services on the screen, while pressing the button on the mirror will allow access using voice commands.","The new Voice Command button also offers better integration with the new infotainment systems in vehicles such as Chevrolet MyLink , *Cadillac* CUE , and §Buick$/GMC IntelliLink - since the touchscreens of these systems provide access to OnStar's voice command services by pressing the same logo as the one located on the mirror; pressing the Voice Command icon on the touchscreen will result in on-screen access to the services on the screen, while pressing the button on the mirror will allow access using voice commands.",brands,True,,,False
F757195347,Gigabyte,Asus,For price of Asus vs msi vs Gigabyte vs AsRock.,"For price of <span style=""color: #9A14B2; font-weight: bold"">Asus:[OBJECT_A]</span> vs msi vs <span style=""color: #6CB219; font-weight: bold"">Gigabyte:[OBJECT_B]</span> vs AsRock.",For price of *Asus* vs msi vs §Gigabyte$ vs AsRock.,brands,False,,,False
I1335185188,Samsung,Toshiba,"I really had been leaning to a 61"" Samsung but after looking at both again decided the Toshiba was just as good, 4"" larger AND a much better buy.","I really had been leaning to a 61"" <span style=""color: #9A14B2; font-weight: bold"">Samsung:[OBJECT_A]</span> but after looking at both again decided the <span style=""color: #6CB219; font-weight: bold"">Toshiba:[OBJECT_B]</span> was just as good, 4"" larger AND a much better buy.","I really had been leaning to a 61"" *Samsung* but after looking at both again decided the §Toshiba$ was just as good, 4"" larger AND a much better buy.",brands,True,,,False
O2289575960,Samsung,Toshiba,"SSDs are also not a large product category, but it seems that companies like Hitachi, Samsung and Toshiba are better prepared to expand in the growing market of flash-based storage solutions than Seagate.","SSDs are also not a large product category, but it seems that companies like Hitachi, <span style=""color: #9A14B2; font-weight: bold"">Samsung:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Toshiba:[OBJECT_B]</span> are better prepared to expand in the growing market of flash-based storage solutions than Seagate.","SSDs are also not a large product category, but it seems that companies like Hitachi, *Samsung* and §Toshiba$ are better prepared to expand in the growing market of flash-based storage solutions than Seagate.",brands,True,,,False
D537139168,Cadillac,Buick,"CR 's latest survey shows 69% of 2011 models sold by GM 's four brands - Buick , Cadillac , Chevrolet , GMC - now have predicted reliability rates of average or better, up from 43% a year ago.","CR 's latest survey shows 69% of 2011 models sold by GM 's four brands - <span style=""color: #9A14B2; font-weight: bold"">Buick:[OBJECT_A]</span> , <span style=""color: #6CB219; font-weight: bold"">Cadillac:[OBJECT_B]</span> , Chevrolet , GMC - now have predicted reliability rates of average or better, up from 43% a year ago.","CR 's latest survey shows 69% of 2011 models sold by GM 's four brands - *Buick* , §Cadillac$ , Chevrolet , GMC - now have predicted reliability rates of average or better, up from 43% a year ago.",brands,True,,,False
R2938205302,Toyota,BMW,Toyota Vice Chairman Takeshi Uchiyamada declared that the cooperation with BMW will offer the company the possibility to develop faster.,"<span style=""color: #9A14B2; font-weight: bold"">Toyota:[OBJECT_A]</span> Vice Chairman Takeshi Uchiyamada declared that the cooperation with <span style=""color: #6CB219; font-weight: bold"">BMW:[OBJECT_B]</span> will offer the company the possibility to develop faster.",*Toyota* Vice Chairman Takeshi Uchiyamada declared that the cooperation with §BMW$ will offer the company the possibility to develop faster.,brands,True,,,False
N2222830635,Ford,Chevrolet,"Small-block supercharged Chevrolet V-8, external headers, custom tubular dropped front axle with semi-elliptic transverse leaf spring, solid Ford rear axle, American 12-spoke front and five-spoke rear wheels, no front brakes, rear drums.","Small-block supercharged <span style=""color: #9A14B2; font-weight: bold"">Chevrolet:[OBJECT_A]</span> V-8, external headers, custom tubular dropped front axle with semi-elliptic transverse leaf spring, solid <span style=""color: #6CB219; font-weight: bold"">Ford:[OBJECT_B]</span> rear axle, American 12-spoke front and five-spoke rear wheels, no front brakes, rear drums.","Small-block supercharged *Chevrolet* V-8, external headers, custom tubular dropped front axle with semi-elliptic transverse leaf spring, solid §Ford$ rear axle, American 12-spoke front and five-spoke rear wheels, no front brakes, rear drums.",brands,True,,,False
G992838149,Samsung,Motorola,"HTC, Samsung, Motorola, etc.)?","HTC, <span style=""color: #9A14B2; font-weight: bold"">Samsung:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Motorola:[OBJECT_B]</span>, etc.)?","HTC, *Samsung*, §Motorola$, etc.)?",brands,False,,,False
I1272460067,Nokia,Siemens,In my book that is much worse than what Siemens and Nokia did.,"In my book that is much worse than what <span style=""color: #9A14B2; font-weight: bold"">Siemens:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Nokia:[OBJECT_B]</span> did.",In my book that is much worse than what *Siemens* and §Nokia$ did.,brands,True,,,False
I1281750549,Nissan,Renault,"In partnership with Renault-Nissan, Better Place hopes to introduce subsidized electric cars to the Israeli market in the coming two years.","In partnership with <span style=""color: #9A14B2; font-weight: bold"">Renault:[OBJECT_A]</span>-<span style=""color: #6CB219; font-weight: bold"">Nissan:[OBJECT_B]</span>, Better Place hopes to introduce subsidized electric cars to the Israeli market in the coming two years.","In partnership with *Renault*-§Nissan$, Better Place hopes to introduce subsidized electric cars to the Israeli market in the coming two years.",brands,True,,,False
N2128480964,Ford,Chevrolet,"Sales were slipping, and Chevrolet, whose cars were more expensive but also far more modern and better equipped, began to outsell Ford.","Sales were slipping, and <span style=""color: #9A14B2; font-weight: bold"">Chevrolet:[OBJECT_A]</span>, whose cars were more expensive but also far more modern and better equipped, began to outsell <span style=""color: #6CB219; font-weight: bold"">Ford:[OBJECT_B]</span>.","Sales were slipping, and *Chevrolet*, whose cars were more expensive but also far more modern and better equipped, began to outsell §Ford$.",brands,True,,,False
P2545582056,Nike,Adidas,The likes of Adidas and Nike are usually better prepared for such a scenario.,"The likes of <span style=""color: #9A14B2; font-weight: bold"">Adidas:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Nike:[OBJECT_B]</span> are usually better prepared for such a scenario.",The likes of *Adidas* and §Nike$ are usually better prepared for such a scenario.,brands,True,,,False
B326502198,Apple,Intel,"Apple refreshed the MBA with swifter NVIDIA graphics, cooler running and slightly swifter Intel Penryn processors, and greater mass storage choices.","<span style=""color: #9A14B2; font-weight: bold"">Apple:[OBJECT_A]</span> refreshed the MBA with swifter NVIDIA graphics, cooler running and slightly swifter <span style=""color: #6CB219; font-weight: bold"">Intel:[OBJECT_B]</span> Penryn processors, and greater mass storage choices.","*Apple* refreshed the MBA with swifter NVIDIA graphics, cooler running and slightly swifter §Intel$ Penryn processors, and greater mass storage choices.",brands,True,,,False
B326402515,Apple,Intel,"Apple last updated the miniature desktop Mac system in October 2009, having added a faster Intel Core 2 Duo chip.","<span style=""color: #9A14B2; font-weight: bold"">Apple:[OBJECT_A]</span> last updated the miniature desktop Mac system in October 2009, having added a faster <span style=""color: #6CB219; font-weight: bold"">Intel:[OBJECT_B]</span> Core 2 Duo chip.","*Apple* last updated the miniature desktop Mac system in October 2009, having added a faster §Intel$ Core 2 Duo chip.",brands,True,,,False
D489227210,Nikon,Leica,"Clearly you've never used good Leica or Zeiss lenses, they sure produce better image quality than ostensive good Nikon lenses.","Clearly you've never used good <span style=""color: #9A14B2; font-weight: bold"">Leica:[OBJECT_A]</span> or Zeiss lenses, they sure produce better image quality than ostensive good <span style=""color: #6CB219; font-weight: bold"">Nikon:[OBJECT_B]</span> lenses.","Clearly you've never used good *Leica* or Zeiss lenses, they sure produce better image quality than ostensive good §Nikon$ lenses.",brands,True,,,False
K1597129683,Ford,Chrysler,Labor Pacts Reached at Ford and Chrysler,"Labor Pacts Reached at <span style=""color: #9A14B2; font-weight: bold"">Ford:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Chrysler:[OBJECT_B]</span>",Labor Pacts Reached at *Ford* and §Chrysler$,brands,False,,,False
Q2656400215,Samsung,Toshiba,"There is just no need for a data plan to be able to enjoy a tablet... like all larger cities, the Toronto area is full of hot spots, and with Wi-Fi at home, I'll wait for whoever (Samsung, LG, HTC, Toshiba) to release a Wi-Fi version with any screen around 9 to 10 inches and decent specs...","There is just no need for a data plan to be able to enjoy a tablet... like all larger cities, the Toronto area is full of hot spots, and with Wi-Fi at home, I'll wait for whoever (<span style=""color: #9A14B2; font-weight: bold"">Samsung:[OBJECT_A]</span>, LG, HTC, <span style=""color: #6CB219; font-weight: bold"">Toshiba:[OBJECT_B]</span>) to release a Wi-Fi version with any screen around 9 to 10 inches and decent specs...","There is just no need for a data plan to be able to enjoy a tablet... like all larger cities, the Toronto area is full of hot spots, and with Wi-Fi at home, I'll wait for whoever (*Samsung*, LG, HTC, §Toshiba$) to release a Wi-Fi version with any screen around 9 to 10 inches and decent specs...",brands,True,,,False
I1278249498,Nokia,Siemens,"In other LTE technology developments, Nokia Siemens Networks: launched its ""FlexiZone"" approach to mobile broadband coverage, which will deliver faster and more flexible 4G across areas with a very high user density more efficiently and cost effectively; and expanded its portfolio, to enable smooth 4G rollouts using the 'Digital Dividend' in the Asia Pacific region, Latin America and other parts of the world.","In other LTE technology developments, <span style=""color: #9A14B2; font-weight: bold"">Nokia:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">Siemens:[OBJECT_B]</span> Networks: launched its ""FlexiZone"" approach to mobile broadband coverage, which will deliver faster and more flexible 4G across areas with a very high user density more efficiently and cost effectively; and expanded its portfolio, to enable smooth 4G rollouts using the 'Digital Dividend' in the Asia Pacific region, Latin America and other parts of the world.","In other LTE technology developments, *Nokia* §Siemens$ Networks: launched its ""FlexiZone"" approach to mobile broadband coverage, which will deliver faster and more flexible 4G across areas with a very high user density more efficiently and cost effectively; and expanded its portfolio, to enable smooth 4G rollouts using the 'Digital Dividend' in the Asia Pacific region, Latin America and other parts of the world.",brands,True,,,False
T3172652070,Nokia,Samsung,Why are Nokia and IPhone known to be easier to use than Samsung?,"Why are <span style=""color: #9A14B2; font-weight: bold"">Nokia:[OBJECT_A]</span> and IPhone known to be easier to use than <span style=""color: #6CB219; font-weight: bold"">Samsung:[OBJECT_B]</span>?",Why are *Nokia* and IPhone known to be easier to use than §Samsung$?,brands,True,,,False
B215589547,Nikon,Leica,Also I think the high end canon lenses are better than the top Nikon ones these day (although neither matches zeiss/Leica lenses).,"Also I think the high end canon lenses are better than the top <span style=""color: #9A14B2; font-weight: bold"">Nikon:[OBJECT_A]</span> ones these day (although neither matches zeiss/<span style=""color: #6CB219; font-weight: bold"">Leica:[OBJECT_B]</span> lenses).",Also I think the high end canon lenses are better than the top *Nikon* ones these day (although neither matches zeiss/§Leica$ lenses).,brands,True,,,False
M1959703305,Nokia,Siemens,"Over the past few years, Siemens had ditched its handset business to focus more on infrastructure, while Nokia had a decent infrastructure business and booming handset sales.","Over the past few years, <span style=""color: #9A14B2; font-weight: bold"">Siemens:[OBJECT_A]</span> had ditched its handset business to focus more on infrastructure, while <span style=""color: #6CB219; font-weight: bold"">Nokia:[OBJECT_B]</span> had a decent infrastructure business and booming handset sales.","Over the past few years, *Siemens* had ditched its handset business to focus more on infrastructure, while §Nokia$ had a decent infrastructure business and booming handset sales.",brands,True,,,False
G1035290037,Microsoft,Intel,"Iconic stocks such as Microsoft (MSFT), Intel (INTC), EMC, and Dell (DELL) have been trading sideways, or worse, for years.","Iconic stocks such as <span style=""color: #9A14B2; font-weight: bold"">Microsoft:[OBJECT_A]</span> (MSFT), <span style=""color: #6CB219; font-weight: bold"">Intel:[OBJECT_B]</span> (INTC), EMC, and Dell (DELL) have been trading sideways, or worse, for years.","Iconic stocks such as *Microsoft* (MSFT), §Intel$ (INTC), EMC, and Dell (DELL) have been trading sideways, or worse, for years.",brands,True,,,False
D445132738,Apple,Amazon,Can Apple and Amazon Make TV Better?,"Can <span style=""color: #9A14B2; font-weight: bold"">Apple:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Amazon:[OBJECT_B]</span> Make TV Better?",Can *Apple* and §Amazon$ Make TV Better?,brands,True,,,False
T3199702093,Apple,Amazon,"With the $199  Kindle Fire out of the gate, the inevitable questions pops into mind: Which is faster overall, the Amazon or Apple tablet?","With the $199  Kindle Fire out of the gate, the inevitable questions pops into mind: Which is faster overall, the <span style=""color: #9A14B2; font-weight: bold"">Amazon:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">Apple:[OBJECT_B]</span> tablet?","With the $199  Kindle Fire out of the gate, the inevitable questions pops into mind: Which is faster overall, the *Amazon* or §Apple$ tablet?",brands,True,,,False
H1069639470,Ford,Honda,"If CART does their job right, their road racing focused series would give Ford, Honda, and hopefully some new manufacturers, better value than they get today.","If CART does their job right, their road racing focused series would give <span style=""color: #9A14B2; font-weight: bold"">Ford:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Honda:[OBJECT_B]</span>, and hopefully some new manufacturers, better value than they get today.","If CART does their job right, their road racing focused series would give *Ford*, §Honda$, and hopefully some new manufacturers, better value than they get today.",brands,True,,,False
O2372997244,Apple,Amazon,"That said, Amazon will never produce better hardware than Apple does, even if it tries.","That said, <span style=""color: #9A14B2; font-weight: bold"">Amazon:[OBJECT_A]</span> will never produce better hardware than <span style=""color: #6CB219; font-weight: bold"">Apple:[OBJECT_B]</span> does, even if it tries.","That said, *Amazon* will never produce better hardware than §Apple$ does, even if it tries.",brands,True,,,False
S3109497256,Apple,Dell,what is better (6:45pm EST Sat Aug 20 2005) what is better to buy a Dell laptop or a Apple laptop - by rianfg,"what is better (6:45pm EST Sat Aug 20 2005) what is better to buy a <span style=""color: #9A14B2; font-weight: bold"">Dell:[OBJECT_A]</span> laptop or a <span style=""color: #6CB219; font-weight: bold"">Apple:[OBJECT_B]</span> laptop - by rianfg",what is better (6:45pm EST Sat Aug 20 2005) what is better to buy a *Dell* laptop or a §Apple$ laptop - by rianfg,brands,True,,,False
G959023668,Honda,Nissan,"Honda has Acura, Nissan and Infinity.","<span style=""color: #9A14B2; font-weight: bold"">Honda:[OBJECT_A]</span> has Acura, <span style=""color: #6CB219; font-weight: bold"">Nissan:[OBJECT_B]</span> and Infinity.","*Honda* has Acura, §Nissan$ and Infinity.",brands,False,,,False
S3044490055,Cadillac,Buick,"We expect 2010 to continue to get better, said Brent Morgan, dealer/operator for Integrity Buick GMC Cadillac in Chattanooga.","We expect 2010 to continue to get better, said Brent Morgan, dealer/operator for Integrity <span style=""color: #9A14B2; font-weight: bold"">Buick:[OBJECT_A]</span> GMC <span style=""color: #6CB219; font-weight: bold"">Cadillac:[OBJECT_B]</span> in Chattanooga.","We expect 2010 to continue to get better, said Brent Morgan, dealer/operator for Integrity *Buick* GMC §Cadillac$ in Chattanooga.",brands,True,,,False
P2487765565,Nokia,Siemens,"The Finnish company, which has been losing market share to Samsung ( 005930.KS ) and Apple ( AAPL.O ), said the better-than-expected result was also helped by cost cuts, a stronger-than-expected performance from its Nokia Siemens Networks unit and 50 million euros in patent royalties.","The Finnish company, which has been losing market share to Samsung ( 005930.KS ) and Apple ( AAPL.O ), said the better-than-expected result was also helped by cost cuts, a stronger-than-expected performance from its <span style=""color: #9A14B2; font-weight: bold"">Nokia:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">Siemens:[OBJECT_B]</span> Networks unit and 50 million euros in patent royalties.","The Finnish company, which has been losing market share to Samsung ( 005930.KS ) and Apple ( AAPL.O ), said the better-than-expected result was also helped by cost cuts, a stronger-than-expected performance from its *Nokia* §Siemens$ Networks unit and 50 million euros in patent royalties.",brands,True,,,False
I1389512622,Honda,BMW,I think someone would be more inclinded to take better care of a BMW the a Honda.......just a thought.,"I think someone would be more inclinded to take better care of a <span style=""color: #9A14B2; font-weight: bold"">BMW:[OBJECT_A]</span> the a <span style=""color: #6CB219; font-weight: bold"">Honda:[OBJECT_B]</span>.......just a thought.",I think someone would be more inclinded to take better care of a *BMW* the a §Honda$.......just a thought.,brands,True,,,False
D427882571,Toyota,BMW,Buying a BMW of course it is better than Toyota.,"Buying a <span style=""color: #9A14B2; font-weight: bold"">BMW:[OBJECT_A]</span> of course it is better than <span style=""color: #6CB219; font-weight: bold"">Toyota:[OBJECT_B]</span>.",Buying a *BMW* of course it is better than §Toyota$.,brands,True,,,False
I1405133994,Audi,Mercedes-Benz,"It is designed to better target the Audi A6, BMW 5 Series and Mercedes-Benz E-Class.","It is designed to better target the <span style=""color: #9A14B2; font-weight: bold"">Audi:[OBJECT_A]</span> A6, BMW 5 Series and <span style=""color: #6CB219; font-weight: bold"">Mercedes-Benz:[OBJECT_B]</span> E-Class.","It is designed to better target the *Audi* A6, BMW 5 Series and §Mercedes-Benz$ E-Class.",brands,True,,,False
I1249639367,Apple,IBM,"Indeed, MS's overall competitive position is now worse than Apple, Google, Oracle, and even IBM (which will overtake MS's valuation in the next few days).","Indeed, MS's overall competitive position is now worse than <span style=""color: #9A14B2; font-weight: bold"">Apple:[OBJECT_A]</span>, Google, Oracle, and even <span style=""color: #6CB219; font-weight: bold"">IBM:[OBJECT_B]</span> (which will overtake MS's valuation in the next few days).","Indeed, MS's overall competitive position is now worse than *Apple*, Google, Oracle, and even §IBM$ (which will overtake MS's valuation in the next few days).",brands,True,,,False
B259320205,Samsung,Toshiba,"And I heard that the new MBA are coming with the Toshiba SSD (That is slower) and the Samsung SSD (that is much faster).... my question is, how do I know with one Im getting before I buy it !! because I don't want to spend all that money to get the best MBA and when I see I get the slower SSD....","And I heard that the new MBA are coming with the <span style=""color: #9A14B2; font-weight: bold"">Toshiba:[OBJECT_A]</span> SSD (That is slower) and the <span style=""color: #6CB219; font-weight: bold"">Samsung:[OBJECT_B]</span> SSD (that is much faster).... my question is, how do I know with one Im getting before I buy it !! because I don't want to spend all that money to get the best MBA and when I see I get the slower SSD....","And I heard that the new MBA are coming with the *Toshiba* SSD (That is slower) and the §Samsung$ SSD (that is much faster).... my question is, how do I know with one Im getting before I buy it !! because I don't want to spend all that money to get the best MBA and when I see I get the slower SSD....",brands,True,,,False
G959044871,Honda,Nissan,"Honda, Nissan, Hyundai)?","<span style=""color: #9A14B2; font-weight: bold"">Honda:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Nissan:[OBJECT_B]</span>, Hyundai)?","*Honda*, §Nissan$, Hyundai)?",brands,False,,,False
L1813340555,Nokia,Motorola,"Nokia, Motorola ahead of the game?","<span style=""color: #9A14B2; font-weight: bold"">Nokia:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Motorola:[OBJECT_B]</span> ahead of the game?","*Nokia*, §Motorola$ ahead of the game?",brands,False,,,False
K1744924465,Nokia,Motorola,"Motorola moto x, Nokia X, hmmm.....","<span style=""color: #9A14B2; font-weight: bold"">Motorola:[OBJECT_A]</span> moto x, <span style=""color: #6CB219; font-weight: bold"">Nokia:[OBJECT_B]</span> X, hmmm.....","*Motorola* moto x, §Nokia$ X, hmmm.....",brands,False,,,False
F824568415,Microsoft,Google,"Google is worse than most other greedy giants like Microsoft, Apple, etc.","<span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span> is worse than most other greedy giants like <span style=""color: #6CB219; font-weight: bold"">Microsoft:[OBJECT_B]</span>, Apple, etc.","*Google* is worse than most other greedy giants like §Microsoft$, Apple, etc.",brands,True,,,False
