,caption,gold,id,idr,most_frequent_percentage,object_a,object_b,origin,paths,pred_if,pred_lex,predicted,repeated,s_len,sentence,sentencer
1755,middle_paths_unrestricted_16,ARG,1479.0,I1405472427,1.0,Windows 7,Windows 8,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ than/ADP/prep/V Y/PROPN/pobj/<']]",,,NONE,True,66,"When compared to Windows 7 , Windows 8 has a faster booting time .","(It is easier to find a hosting provider, and many people are more', 'familiar to PHP than Ruby.)"
1759,middle_paths_unrestricted_16,NONE,2425.0,N2223379500,1.0,harvard,dartmouth,lex (unique),[['X/PROPN/nmod/> c++/PROPN/ROOT/^ Y/PROPN/conj/<']],,,ARG,True,123,"A sweep this weekend would put them 1 point behind harvard for second, and move them to no worse than a tie with dartmouth.","Smalltalk (C++, C#, Java, Flavors, Common Loops, CLOS, Scheme, Dylan,', 'Simula, Self)"
1761,middle_paths_unrestricted_16,ARG,1470.0,K1625057634,1.0,OpenGL,Direct3D,lex (unique),[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],,,NONE,True,316,"As for performance, this primarily comes down to the individual driver implementations of GPU makers, which in NVIDIA's case, we've seen it's possible to achieve OpenGL performance in-line with and, even superior to that, of Direct3D, once the firm had enough incentive to optimise its drivers and remove pesky bugs.",LG beats Samsung & Motorola
1762,middle_paths_unrestricted_16,ARG,181.0,K1744943605,0.8,Sony,Amazon,lex (unique),"[['X/PROPN/nsubj/> try/VERB/ROOT/^ differentiate/VERB/xcomp/<', 'from/ADP/prep/< Y/PROPN/pobj/<']]",,,NONE,False,319,"As a Netflix subscriber (and also short since $140) I do agree with most of the comments about the indy-type films being better views than Starz content; however, I can get the indy stuff elsewhere, most of the Stars -- especially Sony content is the high priced stuff that's harder to find elsewhere (ie Amazon, Hulu).",Motorola tries to differentiate from Nokia!
1764,middle_paths_unrestricted_16,NONE,1592.0,D555582210,1.0,jeep,suv,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ server/PROPN/conj/V Y/PROPN/conj/<']]",,,ARG,True,75,The jeep Commander is a solid suv with good features and a spacey interior.,"DBMoto from HiT Software is one of those products that cuts to the', 'chase and supplies snapshot and real-time replication capabilities for', 'all the major database platforms (IBM DB2 UDB, Oracle, Microsoft SQL', 'Server, Sybase ASE, SQL Anywhere, Cloudscape, MySQL, Informix, Ingres,', 'PostgreSQL, Microsoft Access, Gupta SQLBase, Firebird, and Solid)."
1765,middle_paths_unrestricted_16,ARG,1179.0,M2036698559,1.0,Honda,Ford,lex (unique),[['NOPATH']],,,NONE,False,115,"Honda quality has gone downhill in recent years, Hyundai or Ford is a much better value if shopping for a new 2012.",Pristine fishing/swimming lake.
1766,middle_paths_unrestricted_16,NONE,802.0,R2938103535,1.0,USB,Bluetooth,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<']]",,,ARG,True,107,"Pros: Plays from USB, has Bluetooth streaming, has an app for my android to control and view titles easier.",Toyota and Honda vehicles are:
1767,middle_paths_unrestricted_16,NONE,1277.0,D550515903,1.0,Java,Smalltalk,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ postgresql/PROPN/conj/V Y/PROPN/conj/<']]",,,ARG,False,39,What did Java do that Smalltalk didn't?,"- Databases: DB2, Oracle, PostgreSQL, MySQL."
1769,middle_paths_unrestricted_16,NONE,1611.0,T3178002380,1.0,pennsylvania,carolina,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ amd/PROPN/conj/V Y/PROPN/conj/<']]",,,ARG,False,220,"In the days before the conventions begin, Obama has taken a solid lead in Minnesota, leads outside the margin of error in Michigan, pennsylvania and New Mexico, and he is within 2% in red Florida, North carolina, Nevada.","Why would Intel, AMD, IBM or any other tech firm stop developing', 'desktops since they are so much cheaper and easier to put together for', 'enterprise solutions?"
1771,middle_paths_unrestricted_16,ARG,1612.0,B246537071,0.6,Python,Perl,lex (unique),"[['X/PROPN/compound/> work/VERB/ROOT/^ usb/PROPN/appos/< to/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,NONE,False,48,"Python grew out of the need for a ""better"" Perl.","And arguably the Archos has plenty better features such as the', 'integrated 3G stick compartment, full sized and Micro-USB Host', 'connectors, Kick-stand which is a lot more practical than having to', 'buy a $150 keyboard dock, any $5 USB or Bluetooth keyboard works fine,', 'any NTFS/FAT32/ETX3 hard drives work fine, even USB to Ethernet', 'adaptors (for smooth 1080p mkv streaming) work fine."
1772,middle_paths_unrestricted_16,ARG,2139.0,P2542809229,1.0,psp,ps2,lex (unique),[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],,,NONE,False,76,"The psp sells very well in Japan, in america sometimes the ps2 sells better.","The leaf shutter placed lenses farther away from the focal plane,', ""ensuring Voigtlander's best could never compete with the faster or"", 'wider lenses of Leica, Nikon or Canon."
1773,middle_paths_unrestricted_16,NONE,829.0,J1558707701,0.6,Microsoft,IBM,lex (unique),"[['X/PROPN/nsubj/> have/VERB/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/nsubj/> have/VERB/ROOT/^ decent/ADJ/amod/V Y/PROPN/dobj/<']]",,,ARG,True,170,"Microsoft, contracted to provide the operating system for IBM, was also building a spreadsheet, but it was based on code built for machines with slower, 8-bit processors.",Jolly pasta has decent pizza.
1775,middle_paths_unrestricted_16,ARG,1545.0,M1996477808,0.6,Perl,Ruby,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ good/ADJ/acomp/< than/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,NONE,False,150,"I tried creating a version that mimics the Perl one (because Ruby also has the -n option), but in the end this seemed easier (and much more readable):","PHP is not better than Java, it is just better for ""typical"" web', 'applications."
1776,middle_paths_unrestricted_16,NONE,1431.0,J1545112705,1.0,reagan,kennedy,lex (unique),"[['X/PROPN/nsubjpass/> consider/VERB/ROOT/^ bad/ADJ/oprd/<', 'than/ADP/prep/< Y/PROPN/pobj/<']]",,,ARG,False,222,"It moved quickly, it had high tempo, at times inspiring, then it became more intimate, slower, all along sort of interweaving a main theme about America's promise, echoes of Lincoln, of King, even of reagan and of kennedy.","JavaScript is widely considered even worse than PHP and yet is', 'unavoidable in Web development."
1779,middle_paths_unrestricted_16,NONE,1077.0,F835966144,1.0,Nokia,Samsung,lex (unique),[['X/PROPN/compound/> Y/PROPN/ROOT/^']],,,ARG,False,163,The phone's auto image stabilization is digital rather than the superior optical image stabilization on the Nokia Lumia cameras and the coming Samsung Galaxy Zoom.,Grooved cement concrete floor is still better.
1782,middle_paths_unrestricted_16,NONE,239.0,N2136561640,1.0,Bluetooth,USB,lex (unique),"[['X/PROPN/compound/> be/VERB/ROOT/^ slow/ADJ/advmod/< paper/NOUN/conj/<', 'Y/PROPN/conj/<']]",,,ARG,False,100,Wi-SB BOX brings superior WiFi and Bluetooth signal quality and even provides 2 front USB 3.0 ports.,"Sawdust and wood shavings are ok as they de-compose slower, paper and', 'cardboard are good too."
1783,middle_paths_unrestricted_16,ARG,1726.0,I1383296626,0.8,Ethernet,USB,lex (unique),"[['X/PROPN/nsubj/> have/VERB/ROOT/^ selection/NOUN/dobj/< than/ADP/prep/<', 'b&n/PROPN/pobj/< Y/PROPN/conj/<']]",,,NONE,True,109,Full 10/100 Mbps Fast Ethernet performance over USB 2.0's 480 Mbps bus--faster than most wireless connections,"I think Amazon has a much better selection of fly fishing books than', 'either B&N or Apple."
1787,middle_paths_unrestricted_16,NONE,1944.0,O2388564543,0.6,california,carolina,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ over/ADP/prep/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ the/DET/det/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ 4100v8/NOUN/compound/V Y/PROPN/pobj/<']]",,,ARG,False,114,"Perhaps it is easier to be ""from"" Alaska or california or Arizona that it is to be ""from"" Maine or South carolina.","The 1979-1985 E-bodys had presence and as long as you got the', 'Oldsmobile or Buick over the 4100V8 Cadillac you got a decent engine', 'too."
1788,middle_paths_unrestricted_16,NONE,1511.0,L1754036133,1.0,missouri,michigan,lex (unique),[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],,,ARG,False,118,"missouri is much easier, since you just throw them in with Illinois and Northwestern and put them in the michigan pod.","Much better in the Cadillac, Lexus and acura."
1792,middle_paths_unrestricted_16,NONE,1387.0,G995632985,0.6,Kingston,Intel,lex (unique),[['X/PROPN/compound/> Y/PROPN/ROOT/^']],,,ARG,False,185,"Memory manufacturer Kingston Technology entered the Solid State Drive (SSD) market through a partnership with Intel, selling rebranded versions of its Enterprise and Mainstream devices.","Hunting Seat Insulated Cooler Outdoor Camo Folding Swivel Sport', 'camping fishing Brand New Free Shipping."
1793,middle_paths_unrestricted_16,NONE,1231.0,R2907866793,0.6,CUDA,OpenCL,lex (unique),[['X/PROPN/compound/> Y/PROPN/ROOT/^']],,,ARG,False,172,"I'll repeat with a GTX580 on the next tests - I imagine CUDA does not improve PP6 over FCPX when you have a faster, higher spec Nvidia card that also boosts OpenCL on FCPX.","T-Mobile and Nokia Siemens plan to keep 3G HSPA alive and moving at a', 'faster ..."
1796,middle_paths_unrestricted_16,ARG,2276.0,O2345744622,1.0,Google,Microsoft,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<']]",,,NONE,False,75,"Google is the main player now, Microsoft are just plain inferior in Mobile.",TechRadar: Things have only got easier for Microsoft and Sony.
1798,middle_paths_unrestricted_16,ARG,607.0,K1712967246,0.6,Renault,Ferrari,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ good/ADJ/acomp/< than/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,NONE,True,57,Alonso/Renault got the better of Michael/Ferrari in 2006.,michigan is no better than california.
1799,middle_paths_unrestricted_16,NONE,517.0,F824293615,0.8,Renault,Nissan,lex (unique),"[['X/PROPN/compound/> be/VERB/ROOT/^ on/PART/prep/< Y/PROPN/pobj/<'], ['X/PROPN/compound/> be/VERB/ROOT/^ on/PART/prep/< my/ADJ/poss/V', 'Y/PROPN/pobj/<'], ['X/PROPN/compound/> be/VERB/ROOT/^ on/PART/prep/< old/ADJ/amod/V', 'Y/PROPN/pobj/<']]",,,ARG,False,206,Renault revives the Gordini brand; nitrogen in your tyres can mean safer driving; something fishy at Nissan; prize for a professor; the latest F1 news and the ultimate present for frustrated racing drivers.,Google Chrome is even worse on my old IBM ThinkPad.
1800,middle_paths_unrestricted_16,NONE,229.0,R2936176963,1.0,harvard,princeton,lex (unique),[['NOPATH']],,,ARG,False,107,harvard Head Coach Tim Murphy opening statement: Obviously it as a very solid win over princeton last week.,"Touch, almost no change iPhone same(bad) form factor after 1.5 years', 'MacBooks, no changes apart from actualizing components iOS boring', 'changes OSX Lion, overall bad changes and direction looks bad as well', 'Nano, classic etc.? Crickets Apple TV nada Mini, worse than before (no', 'DVD player in a media pc?) iPad2, flatter (actually important but not', 'really nice)"
1802,middle_paths_unrestricted_16,ARG,704.0,N2155322514,1.0,Windows 98,Windows XP,lex (unique),"[['X/ADJ/amod/> Y/PROPN/ROOT/^'], ['X/ADJ/amod/> bunting/NOUN/compound/V Y/PROPN/ROOT/^'], ['X/ADJ/amod/> byd/PROPN/compound/V Y/PROPN/ROOT/^']]",,,NONE,False,168,"All my friends who have computers was still running Windows 98, and I recall that Windows XP ran muuuuuuuuuuuch faster than 98 in my (still outdated) AMD Athlon 700MHz.","Select ABAR AC ACCE ADLY ADMI AIE AIXAM AJS ALFA ROMEO ALL ALPH ALPI', 'AMC AMS APAC APPL APRI APRILIA ARCT ARMSTRONG ASCA ASHO ASTA ASTON', 'MARTIN ASTR AUDI AUSTIN B & BAIMO BAJA BAJAJ BANH BAOTIAN BARO BARON', 'BASHAN BB C BCC2 BEELINE BELLA BEND BENELLI BENTLEY BETTER BIKE BIMOTA', ""BMW BMW' BOAT BOMBARDIER BOOM BOX BRANSON BRIL BRIS BRITISH TRACKSTAR"", 'BSA BTM BUELL Buick BUNTING BYD Cadillac CAGIVA CAMC CAN-AM CARAVAN', '(1980)?"
1803,middle_paths_unrestricted_16,ARG,1663.0,D443268022,0.6,Windows Vista,Windows XP,lex (unique),[['X/PROPN/nsubj/> sweep/VERB/ROOT/^ Y/PROPN/dobj/<']],,,NONE,False,130,"Windows Vista provides a comprehensive backup experience, much easier to use than the basic backup utility included in Windows XP.","CAMBRIDGE, Mass - Behind solid pitching and four home runs, dartmouth', 'swept harvard, 8-2 and 9-2, to claim back-to-back Ivy League North', 'Division Championships on Monday afternoon."
1804,middle_paths_unrestricted_16,ARG,1659.0,G935169944,1.0,PHP,JavaScript,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ hockey/NOUN/conj/V Y/PROPN/conj/<']]",,,NONE,True,54,I want to use PHP as I know it better than JavaScript.,"Hewitt, better known as ""Rip,"" attended Baltimore Polytechnic', 'Institute where he won letters and was an outstanding athlete in', 'football, ice hockey and lacrosse."
1805,middle_paths_unrestricted_16,ARG,1126.0,T3205044716,1.0,Java,Lisp,lex (unique),[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],,,NONE,False,164,"Maybe Java code is longer but it is much easier to read because it is talking to You and has a clean structure, whereas this Lisp is nesting and neting and nesting.","WKOG admin: Aside from embracing misogyny , more recently, Unilever,', ""with Kellogg's, General Mills, Coca-Cola, Pepsi, Kraft, and other"", 'corporate entities\xa0 funneled big money into defeating Prop 37. Now,', 'Unilever, one of the largest consumer products corporations in the', 'world, is looking to\xa0 employ "" effective story-telling "" to help', 'Unilever ""engage with people more meaningfully"" in order to ""create a', 'better future for children."""
1808,middle_paths_unrestricted_16,ARG,1.0,M1941541803,1.0,Windows Vista,Windows XP,lex (unique),"[['X/PROPN/compound/> include/VERB/ROOT/^ Y/PROPN/appos/<'], ['X/PROPN/compound/> include/VERB/ROOT/^ ex/PROPN/compound/V', 'Y/PROPN/appos/<']]",,,NONE,False,235,"Note, that because of my own terrible experiences with Windows Vista, I had dutifully remained on Windows XP, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.","Others who'll be inducted at the Tigers football game with Miami on"", 'Sept. 17, include PGA Tour player Charles Warren, ex-volleyball star', 'Cindy Stern-DeMartino, longtime Clemson team physician Dr. Byron', 'Harder and former Clemson administrator Ken Vickery."
1809,middle_paths_unrestricted_16,NONE,1786.0,Q2639032989,1.0,Bluetooth,USB,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ than/ADP/prep/V Y/PROPN/pobj/<']]",,,ARG,True,81,"Even better, the Bluetooth controller has its own battery, charged via micro USB.","There are many things that I can do faster in Perl than in Java, C,', 'C++, or various other languages."
1813,middle_paths_unrestricted_16,NONE,476.0,N2262581783,1.0,Ruby,Python,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ good/ADJ/acomp/< than/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,ARG,True,105,"Ruby vs other dynamicaly typed interpreted languages like Python, Perl, PHP, ... it really is not slower.",Sony is better at gaming things than Microsoft.
1815,middle_paths_unrestricted_16,ARG,826.0,Q2736487353,0.8,itunes,youtube,lex (unique),"[[""X/PROPN/nsubj/> be/VERB/ROOT/^ good/ADJ/acomp/< 're/VERB/advcl/<"", 'close/ADJ/acomp/< to/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> or/CONJ/cc/V be/VERB/ROOT/^ good/ADJ/acomp/<', ""'re/VERB/advcl/< close/ADJ/acomp/< to/ADP/prep/< Y/PROPN/pobj/<""], ['X/PROPN/nsubj/> scala/PROPN/conj/V be/VERB/ROOT/^ good/ADJ/acomp/<', ""'re/VERB/advcl/< close/ADJ/acomp/< to/ADP/prep/< Y/PROPN/pobj/<""]]",,,NONE,False,204,"Thereâ(TM)s another damaging situation: You can complain about itunes and subscription sites being damaging to copyright owners and having inferior audio quality, but one of the worst culprits is youtube.","The thing is that when I look at Ruby, or maybe Groovy or Scala is', ""even better since they're closer to Java, these languages have sets of"", 'features that support each other."
1816,middle_paths_unrestricted_16,ARG,1523.0,M2067883798,1.0,espn,fox,lex (unique),"[['X/PROPN/nsubj/> roll/VERB/ROOT/^ include/VERB/conj/<', 'spankin/NOUN/dobj/< o/NOUN/appos/< power/VERB/acl/< by/ADP/agent/<', 'Y/PROPN/pobj/<']]",,,NONE,False,60,espn gets much better and fox falls apart - how can that be?,"Rather than pack in ever more pixels or flex its screens , Sony is', 'rolling out a number of technical and design tweaks aimed to make', 'their benchmark-setting UHD televisions even better this year-and that', ""includes a brand spankin' new OS powered by Google."
1817,middle_paths_unrestricted_16,ARG,1011.0,N2262584159,1.0,Windows XP,Windows 98,lex (unique),[['X/PROPN/nsubj/> move/VERB/ROOT/^ with/ADP/prep/< Y/PROPN/pobj/<']],,,NONE,False,109,I have it installed on my Windows XP system as well as an older (and considerably slower) Windows 98 machine.,"Sony is finally moving away from propriety standards, with Apple it', 'would end up being worse than ever before."
1821,middle_paths_unrestricted_16,ARG,260.0,P2471221792,1.0,Windows Vista,Windows XP,lex (unique),"[['X/PROPN/compound/> murano/PROPN/nmod/> be/VERB/ROOT/^ than/ADP/prep/<', 'vehicle/NOUN/pobj/< like/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/compound/> murano/PROPN/nmod/> be/VERB/ROOT/^ than/ADP/prep/<', 'vehicle/NOUN/pobj/< like/ADP/prep/< the/DET/det/V Y/PROPN/pobj/<']]",,,NONE,False,127,Windows Backup is a truly useful addition to Windows Vista and much nicer than the Backup utility that shipped with Windows XP.,"The Edge's true segment is with the Nissan Murano and Toyota Venza,"", 'crossovers that try to have a more edgy image and are simply easier to', 'park than vehicles like the Ford Explorer and Toyota Highlander."
1822,middle_paths_unrestricted_16,ARG,208.0,I1329664494,0.8,Windows XP,Windows 98,lex (unique),"[['X/PROPN/nsubj/> try/VERB/ROOT/^ get/VERB/xcomp/< at/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> basketball/NOUN/conj/V try/VERB/ROOT/^', 'get/VERB/xcomp/< at/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> and/CONJ/cc/V try/VERB/ROOT/^ get/VERB/xcomp/<', 'at/ADP/prep/< Y/PROPN/pobj/<']]",,,NONE,False,123,It is easier to install and seems to work well with Windows XP but crashed a lot on Windows 98 (at least when I tested it).,"I play football, basketball, and am trying to get better at lacrosse."
1823,middle_paths_unrestricted_16,ARG,458.0,M2088982978,1.0,Sony,Apple,lex (unique),"[['X/PROPN/compound/> be/VERB/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/compound/> be/VERB/ROOT/^ the/DET/det/V Y/PROPN/dobj/<']]",,,NONE,True,198,"Sony Xperia Tablet Z has a better processor, much better form factor, slightly larger display, better connectivity options, better compatibility, better performance, etc., as compared to Apple iPad.","Remember the Dell display is a little smaller, but I am guessing the', 'Intel processer is a little better (not sure though)."
1824,middle_paths_unrestricted_16,ARG,875.0,B214139001,0.8,Direct3D,OpenGL,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<']]",,,NONE,True,281,"John Carmack, the co-founder of id Software who pretty much helped invent the first-person shooter genre, not to mention an all-around fantastic gentleman (we hung on his every word during last year's QuakeCon ), has said that he now believes Direct3D is a superior API to OpenGL .","Also, I'd probably be able to offer better help, but I need to study"", 'AWK and Sed more."
1825,middle_paths_unrestricted_16,ARG,2050.0,D538988864,1.0,OpenCL,CUDA,lex (unique),[['X/PROPN/nsubj/> be/VERB/ROOT/^ want/VERB/conj/< Y/PROPN/dobj/<']],,,NONE,True,208,"However, this does not take into consideration whether the code is optimized better for a specific platform, the quality of the drivers and the OpenCL stack (which does not perform as well as CUDA on NVidia).","CUDA is still strong because it has better support, but we all want', 'OpenCL to win out in the long run (even if they have to update it', 'majorly before that happens)"
1826,middle_paths_unrestricted_16,ARG,451.0,F889036509,1.0,Ruby,Perl,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ fast/ADJ/acomp/< than/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,NONE,True,43,"Ruby better than they currently know Perl"".","Hell, I think Perl is faster at string manipulation than Java is, and', ""it's a hell of a lot easier."
1827,middle_paths_unrestricted_16,ARG,505.0,E594704008,0.8,Microsoft,Dell,lex (unique),[['X/PROPN/nsubj/> collaborate/VERB/ROOT/^ with/ADP/prep/< Y/PROPN/pobj/<']],,,NONE,True,153,"Downloading the media yourself, installing, and then using the ""phone Microsoft to activate"" option might be faster than waiting for the media from Dell.","Does your source know if Apple will collaborate with Amazon for a', 'better version of the Kindle?"
1828,middle_paths_unrestricted_16,ARG,726.0,L1752848996,1.0,suv,jeep,lex (unique),"[['X/PROPN/nsubj/> join/VERB/ROOT/^ with/ADP/prep/< card/NOUN/pobj/<', 'one/NUM/appos/< stick/VERB/relcl/< to/PART/prep/< Y/PROPN/pobj/<']]",,,NONE,True,111,"I like this suv better than any of my past vehicles- jeep Grand Cherokee, MB ML320, Cadillac SRX, Infiniti QX4.","MSI joined the GeForce GTX 760 launch party with two graphics cards,', 'one which sticks to Nvidia-reference design, and the other being its', 'GTX 760 Gaming Series, which features the same TwinFrozr III cooler as', 'its GTX 770 Gaming Series."
1830,middle_paths_unrestricted_16,ARG,418.0,M1977311012,0.8333333333333334,PostgreSQL,Oracle,lex (unique),"[['X/PROPN/compound/> windows/PROPN/ROOT/^ Y/PROPN/appos/<'], ['X/PROPN/compound/> windows/PROPN/ROOT/^ 2000/NUM/nummod/V', 'Y/PROPN/appos/<']]",,,NONE,False,348,"People might choose to use PostgreSQL because they hate Oracle, or MySQL because it's easier to find hosting, or either product because they know it better, and that's totally legitimate and perhaps worth talking about, but - partly in the interests of harmony among communities that ought to be allies - it's not what I'm going to talk about here.","PC: IBM Compatible PC with Pentium processor or faster CD/DVD-ROM', 'drive for software installation At least 50MB hard disk space At least', '64MB of RAM Available USB port Operating System(s): Windows 2003', 'Windows XP Windows Me Windows 2000 Windows 98"
1831,middle_paths_unrestricted_16,NONE,563.0,O2389374684,1.0,IBM,Microsoft,lex (unique),"[['X/PROPN/compound/> overtake/VERB/ROOT/^ of/ADP/prep/<', 'fusion/PROPN/pobj/< sonata/PROPN/conj/< Y/PROPN/conj/<']]",,,ARG,True,135,IBM connects to existing Microsoft SharePoint repositories to better manage content and mitigate compliance risk across the enterprise.,"The 2013 Chevrolet Malibu may not overtake the likes of the Ford', 'Fusion, Hyundai Sonata and Toyota Camry, but it stands ready and', 'willing to give them an even better run for their money."
1832,middle_paths_unrestricted_16,NONE,1865.0,E635895165,1.0,Amazon,Apple,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ 637/NUM/appos/V Y/PROPN/conj/<']]",,,ARG,False,116,"And if Amazon can get a decent selection of music available, then this will be a major shot across the bow of Apple.","Eclipse: 637, NetBeans: 7"
1834,middle_paths_unrestricted_16,ARG,159.0,M2047701284,1.0,Chevrolet,Ford,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<']]",,,NONE,False,153,I drive a Chevrolet Trailblazer...not much different than the Envoy...and don't think it's outdated...I don't think Ford or Chrysler has done any better?,"P.S mit and stanford have higher acceptance to applicant ratio than', ""IIT's but still provide better students and Noble Laureats."
1836,middle_paths_unrestricted_16,NONE,258.0,M1926920083,0.6,cider,juice,lex (unique),[['X/PROPN/compound/> Y/PROPN/ROOT/^']],,,ARG,True,94,An easier--but not easy--way to make ice cider is by freezing the juice rather than the apple.,Oracle MySQL & Database 12C
1837,middle_paths_unrestricted_16,NONE,259.0,E617936342,1.0,cement,wood,lex (unique),"[['X/PROPN/compound/> networking/NOUN/ROOT/^ drive/NOUN/conj/<', 'Y/PROPN/appos/<'], ['X/PROPN/compound/> networking/NOUN/ROOT/^ drive/NOUN/conj/<', 'two/NUM/nummod/V Y/PROPN/appos/<']]",,,ARG,False,32,Fiber cement vs. engineered wood,"Dubbed the ""One"", we can confirm that it will have Wi-Fi connectivity,', 'Ethernet networking, a solid-state hard drive, at least two USB ports', 'and audio jacks."
1838,middle_paths_unrestricted_16,NONE,271.0,L1805195115,1.0,laptop,mobile,lex (unique),[['X/PROPN/nsubj/> give/VERB/ROOT/^ to/ADP/prep/< Y/PROPN/pobj/<']],,,ARG,False,101,(Some older desktop/laptop browser versions may also work better with the direct mobile Zimbra link.),"Nikon gave to Sigma a first ""wake-up call"" with the cheaper and much', 'better 35mm 1.8DX."
1839,middle_paths_unrestricted_16,ARG,1880.0,K1667848424,0.8,nixon,reagan,lex (unique),"[['X/PROPN/compound/> llc/PROPN/ROOT/^ trail/VERB/relcl/<', 'behind/ADP/prep/< Y/PROPN/pobj/<']]",,,NONE,True,152,"It is fair to say that Wilson was the most racist of all post-Civil War Presidents: worse than Andrew Johnson, worse than nixon, worse even than reagan.","Making matters worse for the company is the fact that its sales were', 'eclipsed last month by Chrysler Group LLC, an automaker that almost', 'ceased to exist a couple of years ago and one which historically has', 'always trailed far behind Toyota."
1840,middle_paths_unrestricted_16,NONE,960.0,T3194960478,1.0,Honda,BMW,lex (unique),[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],,,ARG,True,174,"Coming from an unkillable and rock solid Honda Accord that I've had my entire adulthood, I'm a bit scared of reliability/cost for repair, but I'm ready for my little BMW now!","With Netflix,\xa0hulu, amazon and others pushing harder into the game,', 'this needs to be addressed immediately across all categories."
1841,middle_paths_unrestricted_16,ARG,1610.0,C346342286,1.0,Sigma,Nikon,lex (unique),"[['X/PROPN/npadvmod/> be/VERB/ROOT/^ alternative/NOUN/attr/<', 'than/ADP/prep/< Y/PROPN/pobj/<']]",,,NONE,True,86,"The Sigma will probably be BETTER than most wide angle primes, like a 28mm f2.8 Nikon.","As a matter of fact, for web-programming these days PHP, Ruby are a', 'better alternative than Java."
1842,middle_paths_unrestricted_16,ARG,276.0,D527569884,1.0,Lisp,Python,lex (unique),"[['X/NOUN/compound/> script/NOUN/ROOT/^ Y/PROPN/conj/<'], ['X/NOUN/compound/> script/NOUN/ROOT/^ would/VERB/aux/V Y/PROPN/conj/<']]",,,NONE,True,137,"I will admit to only one significant thing I like about Lisp better than Python, and that's easy programmatic manipulation of other code.","Could I do this with a Bash script or would Python or Perl be a better', 'option?"
1846,middle_paths_unrestricted_16,NONE,1953.0,B231907232,0.8,Sony,Google,lex (unique),[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],,,ARG,False,186,"The Sony Xperia Z is already a TechRadar-recommended smartphone, but the Android device's interface may get even better thanks to a report that says a Google Nexus edition is on the way.","amazon played their cards right on this one I love apple and all their', 'products but you have to admit apple is a little big headed right now,', 'just like they caught microsoft ,Dell, Sony etc sleeping I think', 'amazon just caught them , they can try to play the ipad 3 shortage', 'game like they did for the ipad 2 if they want they just better hope', 'they sell enough to break even."
